Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"72Dejan LovrenLyon, 36, D(C)","Dejan Lovren Lyon, 36, D(C)",17,1462,1,-,2,-,0.8,88.2,2.8,-,6.91
"73Neto BorgesClermont Foot, 29, D(CL),M(L)","Neto Borges Clermont Foot, 29, D(CL),M(L)",33,2840,3,1,2,2,0.7,79.5,1.1,4,6.91
"74Khéphren ThuramNice, 25, DMC,M(L)","Khéphren Thuram Nice, 25, DMC,M(L)",30(5),2560,2,4,3,-,1.1,86.9,0.5,1,6.91
"75Folarin BalogunReims, 24, FW","Folarin Balogun Reims, 24, FW",34(3),3013,21,2,5,-,3.5,72.5,0.4,4,6.9
"76Azor MatusiwaReims, 27, DMC","Azor Matusiwa Reims, 27, DMC",29(1),2492,-,-,4,-,0.4,85.7,1.1,-,6.89
"77Mateusz LisTroyes, 29, GK","Mateusz Lis Troyes, 29, GK",8(1),749,-,-,1,-,-,63.2,0.1,-,6.89
"78Youssouf FofanaMonaco, 27, DMC","Youssouf Fofana Monaco, 27, DMC",35(1),3089,2,2,1,2,1.2,82.5,0.6,-,6.89
"79Fabián RuizPSG, 30, M(CL)","Fabián Ruiz PSG, 30, M(CL)",21(6),1899,3,2,-,-,1,92.3,0.2,1,6.89
"80Junya ItoReims, 33, M(LR),FW","Junya Ito Reims, 33, M(LR),FW",34(1),2930,6,5,3,1,1.2,71.3,0.8,3,6.89
"81Romain Del CastilloBrest, 30, AM(CLR),FW","Romain Del Castillo Brest, 30, AM(CLR),FW",16(11),1429,6,6,2,-,1.3,72.3,0.7,2,6.88
"82Gianluigi DonnarummaPSG, 27, GK","Gianluigi Donnarumma PSG, 27, GK",38,3410,-,-,3,-,-,84.0,0.3,3,6.88
"83Marshall MunetsiReims, 29, D(C),M(C)","Marshall Munetsi Reims, 29, D(C),M(C)",31(3),2708,7,3,6,-,2,75.3,1.7,-,6.88
"84Youcef BelaïliAC Ajaccio, 34, AM(L)","Youcef Belaïli AC Ajaccio, 34, AM(L)",15(2),1162,6,3,2,-,1.9,75.7,0.4,2,6.88
"85Paul JolyAuxerre, 25, D(R),M(R)","Paul Joly Auxerre, 25, D(R),M(R)",10,867,-,-,2,-,0.7,81.1,0.6,1,6.87
"86Cengiz ÜnderMarseille, 28, M(CLR)","Cengiz Ünder Marseille, 28, M(CLR)",28(9),2497,5,4,3,-,1.9,77.1,0.3,4,6.87
"87Elye WahiMontpellier, 23, AM(L),FW","Elye Wahi Montpellier, 23, AM(L),FW",29(4),2530,19,5,8,1,1.9,70.7,0.6,2,6.87
"88Rony LopesTroyes, 30, AM(CLR),FW","Rony Lopes Troyes, 30, AM(CLR),FW",29(3),2360,7,5,2,-,1.8,75.2,0.6,2,6.87
"89Nicolás TagliaficoLyon, 33, D(CL),M(L)","Nicolás Tagliafico Lyon, 33, D(CL),M(L)",34,2995,1,3,5,-,0.7,85.8,1.3,1,6.86
"90Malo GustoLyon, 22, D(LR),M(R)","Malo Gusto Lyon, 22, D(LR),M(R)",19(2),1602,-,1,1,-,0.3,85.1,0.4,1,6.86
"91Benoît BadiashileMonaco, 25, D(C)","Benoît Badiashile Monaco, 25, D(C)",9(2),839,2,-,3,-,0.5,86.1,1.9,-,6.86
"92Gaëtan LabordeRennes, 31, AM(CLR),FW","Gaëtan Laborde Rennes, 31, AM(CLR),FW",3(1),251,2,-,-,-,2.8,69.0,1.5,-,6.86
"93Morgan SansonStrasbourg, 31, M(CLR)","Morgan Sanson Strasbourg, 31, M(CLR)",18,1429,1,2,1,-,1.8,81.8,0.8,-,6.86
"94Nuno TavaresMarseille, 26, D(L),M(L)","Nuno Tavares Marseille, 26, D(L),M(L)",23(8),2349,6,-,6,1,2.1,79.1,0.7,1,6.86
"95Jordan VeretoutMarseille, 33, M(C)","Jordan Veretout Marseille, 33, M(C)",31(7),2864,4,3,4,-,0.8,87.9,0.5,1,6.85
"96Baptiste SantamaríaRennes, 31, DMC","Baptiste Santamaría Rennes, 31, DMC",20(5),1815,2,-,2,-,0.8,85.5,2.4,1,6.84
"97Rafael RatãoToulouse, 30, AM(LR)","Rafael Ratão Toulouse, 30, AM(LR)",25(5),1871,5,4,2,-,1.0,77.7,0.3,1,6.84
"98Frédéric GuilbertStrasbourg, 31, D(CLR),M(R)","Frédéric Guilbert Strasbourg, 31, D(CLR),M(R)",17(1),1465,-,1,3,-,0.7,76.6,1.6,-,6.84
"99Axel DisasiMonaco, 28, D(CR)","Axel Disasi Monaco, 28, D(CR)",37(1),3330,3,3,3,-,0.8,83.8,2.6,1,6.83
"100Samuel GigotMarseille, 32, D(C)","Samuel Gigot Marseille, 32, D(C)",24(2),1889,2,2,3,2,0.5,87.3,2.2,2,6.83
"101Breel EmboloMonaco, 29, AM(CR),FW","Breel Embolo Monaco, 29, AM(CR),FW",19(13),1856,12,2,3,-,1.3,70.1,1.1,1,6.83
"102Adrien TruffertRennes, 24, D(L),M(L)","Adrien Truffert Rennes, 24, D(L),M(L)",24(4),1962,-,6,2,-,0.4,80.8,1.2,1,6.83
"103IsmailyLille, 36, D(L)","Ismaily Lille, 36, D(L)",21(2),1785,2,1,-,-,0.6,81.0,1.6,-,6.83
"104Corentin TolissoLyon, 31, D(R),M(CR)","Corentin Tolisso Lyon, 31, D(R),M(CR)",25(5),2050,1,2,3,-,1,88.8,1.2,1,6.82
"105Jaouen HadjamNantes, 23, D(L)","Jaouen Hadjam Nantes, 23, D(L)",8(5),806,-,1,1,-,0.5,81.1,0.5,-,6.82
"106Alexis FlipsReims, 26, M(CLR)","Alexis Flips Reims, 26, M(CLR)",28(5),1998,4,6,3,1,1.6,72.6,0.4,2,6.82
"107Mory DiawClermont Foot, 32, GK","Mory Diaw Clermont Foot, 32, GK",37,3330,-,-,-,-,-,66.8,0.1,3,6.82
"108Nathan ZézéNantes, 20, D(C)","Nathan Zézé Nantes, 20, D(C)",1,60,-,-,-,-,-,69.2,1.0,-,6.82
"109Hamari TraoréRennes, 34, D(R),M(R)","Hamari Traoré Rennes, 34, D(R),M(R)",28(3),2531,1,4,5,-,1,87.0,1.1,-,6.82
"110Djed SpenceRennes, 25, D(LR),M(LR)","Djed Spence Rennes, 25, D(LR),M(LR)",7(1),575,-,-,-,-,0.4,88.8,0.5,-,6.82
"111Sergio RamosPSG, 40, D(CR)","Sergio Ramos PSG, 40, D(CR)",31(2),2709,2,1,3,1,0.6,94.8,1.7,-,6.82
"112Jordan LotombaNice, 27, D(LR),M(R)","Jordan Lotomba Nice, 27, D(LR),M(R)",27(6),2456,-,2,4,-,0.4,85.2,0.8,2,6.82
"113Chancel MbembaMarseille, 31, D(CLR),DMC","Chancel Mbemba Marseille, 31, D(CLR),DMC",32(4),2850,5,-,2,-,0.8,84.4,2.0,1,6.82
"114Angelo FulginiLens, 29, AM(CLR),FW","Angelo Fulgini Lens, 29, AM(CLR),FW",12(5),866,1,1,-,-,0.7,83.1,0.2,2,6.81
"115Stijn SpieringsToulouse, 30, M(C)","Stijn Spierings Toulouse, 30, M(C)",35(1),3123,2,-,6,-,0.7,86.1,0.6,-,6.81
"116Pau LópezMarseille, 31, GK","Pau López Marseille, 31, GK",32(1),2925,-,2,3,-,-,76.0,0.3,1,6.81
"117Alban LafontNantes, 27, GK","Alban Lafont Nantes, 27, GK",37,3330,-,-,-,1,-,64.6,0.2,5,6.81
"118Luis SuárezMarseille, 28, AM(L),FW","Luis Suárez Marseille, 28, AM(L),FW",2(5),291,3,1,1,-,2.3,67.9,0.9,-,6.81
"119Florian TardieuTroyes, 34, DMC","Florian Tardieu Troyes, 34, DMC",11(4),1010,3,-,2,-,0.9,90.4,0.5,-,6.81
"120Mikkel DeslerToulouse, 31, D(R),M(R)","Mikkel Desler Toulouse, 31, D(R),M(R)",26(1),2262,1,2,4,1,0.4,86.2,0.9,1,6.8
"121Facundo MedinaLens, 26, D(CL)","Facundo Medina Lens, 26, D(CL)",32,2784,2,4,7,-,0.6,90.8,1.2,1,6.8
"122Maxime DupéToulouse, 33, GK","Maxime Dupé Toulouse, 33, GK",38,3420,-,-,1,-,-,75.2,0.3,4,6.8
