Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"276CopeteMallorca, 26, D(C)","Copete Mallorca, 26, D(C)",16(9),1523,-,-,6,-,0.2,84.2,1.1,2,6.52
"277Javi MuñozLas Palmas, 31, M(CR)","Javi Muñoz Las Palmas, 31, M(CR)",28(7),2590,1,3,6,-,0.7,79.8,0.4,1,6.51
"278Vicente GuaitaCelta Vigo, 39, GK","Vicente Guaita Celta Vigo, 39, GK",34,3060,-,-,-,-,-,77.9,0.3,2,6.51
"279PepeluValencia, 27, DMC","Pepelu Valencia, 27, DMC",18(16),1734,2,2,7,1,0.4,84.1,0.7,-,6.51
"280Alfonso PedrazaVillarreal, 30, D(L),M(L)","Alfonso Pedraza Villarreal, 30, D(L),M(L)",4(8),454,-,2,-,-,0.4,78.7,0.4,-,6.51
"281Manu MorlanesMallorca, 27, DMC","Manu Morlanes Mallorca, 27, DMC",15(8),1341,-,-,7,-,0.5,89.6,0.5,-,6.51
"282Gorka GuruzetaAthletic Club, 29, FW","Gorka Guruzeta Athletic Club, 29, FW",21(15),1845,7,2,2,-,1.6,74.0,1.0,1,6.51
"283Jesús VallejoReal Madrid, 29, D(CR)","Jesús Vallejo Real Madrid, 29, D(CR)",1(3),136,-,1,-,-,-,89.6,0.8,-,6.51
"284Sergi AltimiraReal Betis, 24, DMC","Sergi Altimira Real Betis, 24, DMC",22(10),1978,-,1,4,-,0.7,89.7,0.4,-,6.51
"285Lucas RosaReal Valladolid, 26, D(LR)","Lucas Rosa Real Valladolid, 26, D(LR)",21,1890,-,1,6,-,0.4,79.9,0.9,1,6.51
"286Antonio SiveraDeportivo Alaves, 29, GK","Antonio Sivera Deportivo Alaves, 29, GK",32,2812,-,-,6,1,-,51.1,0.2,-,6.5
"287SusoSevilla, 32, AM(CLR),FW","Suso Sevilla, 32, AM(CLR),FW",4(12),600,-,2,3,-,1,84.6,0.1,-,6.5
