Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"302Niccolò PierozziSalernitana, 24, D(C)","Niccolò Pierozzi Salernitana, 24, D(C)",11(1),874,1,-,6,-,0.7,78.1,1.4,1,6.45
"303Matteo CancellieriEmpoli, 24, AM(CLR),FW","Matteo Cancellieri Empoli, 24, AM(CLR),FW",18(18),1785,4,2,7,-,1.1,65.5,0.9,2,6.45
"304Tommaso PobegaAC Milan, 26, M(C)","Tommaso Pobega AC Milan, 26, M(C)",3(8),314,-,-,-,-,0.5,78.0,0.3,-,6.45
"305Davide FaraoniVerona, 34, D(R),M(R)","Davide Faraoni Verona, 34, D(R),M(R)",7(4),606,-,1,5,-,0.6,77.0,0.8,-,6.45
"306Morten ThorsbyGenoa, 29, M(CLR)","Morten Thorsby Genoa, 29, M(CLR)",9(15),1145,2,2,2,-,0.5,62.6,2.8,-,6.44
"307Koffi DjidjiTorino, 33, D(CL)","Koffi Djidji Torino, 33, D(CL)",8(5),760,-,-,2,-,0.2,87.1,0.6,-,6.44
"308Stefano SabelliGenoa, 33, D(R),M(LR)","Stefano Sabelli Genoa, 33, D(R),M(LR)",30(2),2452,-,1,5,-,0.3,63.4,0.5,-,6.44
"309Georgios KyriakopoulosMonza, 30, D(L),M(L)","Georgios Kyriakopoulos Monza, 30, D(L),M(L)",20(8),1718,-,3,3,-,0.9,85.9,0.4,-,6.44
"310Mërgim VojvodaTorino, 31, D(CLR),M(LR)","Mërgim Vojvoda Torino, 31, D(CLR),M(LR)",15(13),1372,-,3,3,-,0.3,83.0,0.2,-,6.44
"311Adam MasinaTorino, 32, D(CL),M(L)","Adam Masina Torino, 32, D(CL),M(L)",10(6),1021,-,-,-,-,0.3,87.3,1.4,-,6.44
"312Charalampos LykogiannisBologna, 32, D(CL),M(L)","Charalampos Lykogiannis Bologna, 32, D(CL),M(L)",10(12),902,2,1,2,-,0.7,82.0,0.7,-,6.44
"313Jaime BáezFrosinone, 31, AM(L)","Jaime Báez Frosinone, 31, AM(L)",6(5),504,1,-,1,-,0.8,73.9,0.4,-,6.44
"314Youssef MalehEmpoli, 27, AM(C)","Youssef Maleh Empoli, 27, AM(C)",30(4),2612,-,1,11,-,0.5,79.7,0.5,2,6.44
"315Hans HateboerAtalanta, 32, D(CR),M(R)","Hans Hateboer Atalanta, 32, D(CR),M(R)",10(13),1106,-,1,5,-,0.5,85.8,0.8,-,6.44
"316Stefano TuratiFrosinone, 24, GK","Stefano Turati Frosinone, 24, GK",31,2746,-,-,-,-,-,68.9,0.1,1,6.44
"317Gaetano OristanioCagliari, 23, AM(CLR),FW","Gaetano Oristanio Cagliari, 23, AM(CLR),FW",11(14),1105,2,1,1,-,0.9,74.5,0.7,-,6.43
"318Juan CuadradoInter, 37, D(R),M(CLR),FW","Juan Cuadrado Inter, 37, D(R),M(CLR),FW",0(10),259,-,2,1,-,0.5,91.6,-,-,6.43
"319Junior SambiaSalernitana, 29, D(R),M(CLR)","Junior Sambia Salernitana, 29, D(R),M(CLR)",10(8),1034,1,2,4,-,0.7,80.9,1.3,1,6.43
"320Jens OdgaardBologna, 27, AM(CR),FW","Jens Odgaard Bologna, 27, AM(CR),FW",5(5),431,2,-,1,-,1.1,73.8,1.2,-,6.43
"321Caleb EkubanGenoa, 32, AM(CLR),FW","Caleb Ekuban Genoa, 32, AM(CLR),FW",10(19),1126,4,1,-,-,0.9,66.7,1.1,2,6.43
"322Nicolò CasaleLazio, 28, D(C)","Nicolò Casale Lazio, 28, D(C)",16(4),1558,-,-,5,-,0.4,91.8,1.2,-,6.43
"323NatanNapoli, 25, D(CL)","Natan Napoli, 25, D(CL)",11(3),956,-,-,1,1,0.4,87.6,1.9,-,6.43
"324Valentino LazaroTorino, 30, D(R),M(CLR)","Valentino Lazaro Torino, 30, D(R),M(CLR)",21(14),1988,-,4,3,-,0.5,82.0,0.4,-,6.43
"325Samuele BirindelliMonza, 26, D(R),M(R)","Samuele Birindelli Monza, 26, D(R),M(R)",22(13),2016,-,2,7,-,0.7,83.1,0.2,-,6.43
"326ReinierFrosinone, 24, AM(C),FW","Reinier Frosinone, 24, AM(C),FW",13(9),1066,2,2,3,-,0.6,81.3,0.4,-,6.43
"327Luka JovicAC Milan, 28, FW","Luka Jovic AC Milan, 28, FW",8(15),872,6,1,2,1,1,74.6,0.7,1,6.43
"328Jesper KarlssonBologna, 27, AM(CLR),FW","Jesper Karlsson Bologna, 27, AM(CLR),FW",4(3),344,-,-,-,-,0.9,76.8,-,-,6.43
"329Michel AebischerBologna, 29, M(CLR)","Michel Aebischer Bologna, 29, M(CLR)",26(10),2234,-,1,8,-,0.5,91.9,0.3,-,6.43
"330Andrea ConsigliSassuolo, 39, GK","Andrea Consigli Sassuolo, 39, GK",35,3150,-,-,1,-,-,63.9,0.3,1,6.42
"331Jacopo FazziniEmpoli, 23, AM(C)","Jacopo Fazzini Empoli, 23, AM(C)",14(17),1228,1,1,6,-,0.7,74.3,0.5,-,6.42
"332Zeki ÇelikRoma, 29, D(CR),M(R)","Zeki Çelik Roma, 29, D(CR),M(R)",6(11),667,-,-,1,-,0.1,87.2,0.2,-,6.42
"333Luca LipaniSassuolo, 20, DMC","Luca Lipani Sassuolo, 20, DMC",5(3),387,-,-,-,-,0.4,78.7,0.6,-,6.42
"334Vincenzo FiorilloSalernitana, 36, GK","Vincenzo Fiorillo Salernitana, 36, GK",5,361,-,-,1,1,-,37.6,0.4,-,6.42
"335Josh DoigSassuolo, 23, D(CL),M(L)","Josh Doig Sassuolo, 23, D(CL),M(L)",15(1),1347,-,2,5,-,0.5,69.0,0.9,-,6.42
"336Luis MurielAtalanta, 35, AM(CL),FW","Luis Muriel Atalanta, 35, AM(CL),FW",2(16),398,2,1,-,-,1.3,75.4,0.3,-,6.42
"337Pol LirolaFrosinone, 28, D(CR),M(LR)","Pol Lirola Frosinone, 28, D(CR),M(LR)",18(7),1541,2,1,1,-,0.4,78.6,0.6,-,6.42
"338Antonín BarákFiorentina, 31, AM(CR)","Antonín Barák Fiorentina, 31, AM(CR)",8(13),802,2,3,2,-,1,86.2,0.6,-,6.42
"339Guillermo OchoaSalernitana, 40, GK","Guillermo Ochoa Salernitana, 40, GK",21,1890,-,-,-,-,-,55.5,0.1,-,6.41
"340Kevin StrootmanGenoa, 36, DMC","Kevin Strootman Genoa, 36, DMC",15(12),1212,-,2,4,-,-,82.9,0.3,-,6.41
"341Nicola ZalewskiRoma, 24, D(L),M(CLR)","Nicola Zalewski Roma, 24, D(L),M(CLR)",10(12),965,-,1,1,1,0.7,78.6,0.5,-,6.41
"342Riccardo MarchizzaFrosinone, 28, D(L)","Riccardo Marchizza Frosinone, 28, D(L)",13,1149,-,4,1,-,0.6,76.2,0.7,-,6.41
"343Lorenzo PirolaSalernitana, 24, D(C)","Lorenzo Pirola Salernitana, 24, D(C)",24(3),1993,1,-,4,-,0.6,83.4,2.1,-,6.41
"344M'Bala NzolaFiorentina, 29, FW","M'Bala Nzola Fiorentina, 29, FW",15(18),1550,3,3,2,-,1.0,82.7,1.6,-,6.41
"345Eljif ElmasNapoli, 26, M(CLR),FW","Eljif Elmas Napoli, 26, M(CLR),FW",4(7),334,2,-,2,-,0.5,90.1,0.1,-,6.41
"346Noah OkaforAC Milan, 25, AM(CL),FW","Noah Okafor AC Milan, 25, AM(CL),FW",6(22),872,6,2,1,-,0.8,69.9,0.3,-,6.41
"347Cyril NgongeNapoli, 25, AM(CR),FW","Cyril Ngonge Napoli, 25, AM(CR),FW",1(12),307,1,-,2,-,1.3,81.1,0.3,-,6.41
"348Aarón MartínGenoa, 29, D(L),M(L)","Aarón Martín Genoa, 29, D(L),M(L)",17(5),1382,-,1,2,1,0.2,78.3,0.5,1,6.41
"349Gabriele ZappaCagliari, 26, D(CR),M(R)","Gabriele Zappa Cagliari, 26, D(CR),M(R)",25(13),2560,1,3,2,-,0.5,73.5,0.5,-,6.41
"350Jens CajusteNapoli, 26, DMC","Jens Cajuste Napoli, 26, DMC",11(15),1009,-,2,7,-,0.6,86.0,0.6,1,6.41
"351Matteo PratiCagliari, 22, DMC","Matteo Prati Cagliari, 22, DMC",19(7),1973,1,1,4,-,1.4,75.4,0.3,-,6.41
"352Domagoj BradaricSalernitana, 26, D(L),M(L)","Domagoj Bradaric Salernitana, 26, D(L),M(L)",30(4),2754,-,3,5,-,0.6,81.6,0.7,-,6.4
"353Simone BastoniEmpoli, 29, D(L),DMC,M(L)","Simone Bastoni Empoli, 29, D(L),DMC,M(L)",9(7),748,1,-,3,-,0.4,71.1,0.6,-,6.4
