Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"85Leandro TrossardArsenal, 31, M(CLR),FW","Leandro Trossard Arsenal, 31, M(CLR),FW",10(10),930,1,10,-,-,0.9,84.3,0.1,2,6.84
"86Gabriel MagalhãesArsenal, 28, D(C)","Gabriel Magalhães Arsenal, 28, D(C)",38,3411,3,-,5,-,0.8,89.7,2.6,1,6.84
"87Lisandro MartínezMan Utd, 28, D(CL),DMC","Lisandro Martínez Man Utd, 28, D(CL),DMC",24(3),2117,1,-,6,-,0.4,87.3,1.2,-,6.84
"88Morgan Gibbs-WhiteNottingham Forest, 26, AM(CLR),FW","Morgan Gibbs-White Nottingham Forest, 26, AM(CLR),FW",34(1),2978,5,8,5,-,1.7,69.0,1.6,5,6.83
"89Kalidou KoulibalyChelsea, 34, D(C)","Kalidou Koulibaly Chelsea, 34, D(C)",20(3),1801,2,1,5,1,0.5,87.1,1.4,-,6.83
"90Jadon SanchoMan Utd, 26, AM(CLR)","Jadon Sancho Man Utd, 26, AM(CLR)",21(5),1699,6,3,-,-,0.8,85.0,0.1,-,6.82
"91Çaglar SöyüncüLeicester, 29, D(C)","Çaglar Söyüncü Leicester, 29, D(C)",6(1),529,1,-,2,-,0.7,78.8,3.4,1,6.82
"92Philip BillingBournemouth, 29, M(C),FW","Philip Billing Bournemouth, 29, M(C),FW",34(2),2787,7,1,5,-,1.1,79.4,1.4,3,6.82
"93AntonyMan Utd, 26, AM(R)","Antony Man Utd, 26, AM(R)",23(2),1819,4,2,5,-,2.9,82.2,0.2,1,6.82
"94Michael KeaneEverton, 33, D(CR)","Michael Keane Everton, 33, D(CR)",10(2),983,1,2,-,-,1.2,70.1,5.6,1,6.82
"95Alex IwobiEverton, 29, D(R),M(CLR)","Alex Iwobi Everton, 29, D(R),M(CLR)",38,3382,2,7,2,-,1.1,78.8,0.3,-,6.82
"96Thiago AlcântaraLiverpool, 35, M(C)","Thiago Alcântara Liverpool, 35, M(C)",14(4),1256,-,-,2,-,0.6,86.5,0.8,1,6.82
"97Wilfried ZahaCrystal Palace, 33, AM(LR),FW","Wilfried Zaha Crystal Palace, 33, AM(LR),FW",27,2295,7,2,5,-,2.4,81.3,0.2,2,6.82
"98Mathias JensenBrentford, 30, M(CR)","Mathias Jensen Brentford, 30, M(CR)",37,2830,5,6,5,-,0.6,75.7,0.3,3,6.82
"99John McGinnAston Villa, 31, M(CLR)","John McGinn Aston Villa, 31, M(CLR)",30(4),2698,1,3,7,-,1.2,81.5,0.6,2,6.81
"100Kepa ArrizabalagaChelsea, 31, GK","Kepa Arrizabalaga Chelsea, 31, GK",29,2566,-,-,1,-,-,80.7,0.4,2,6.81
"101Jarrod BowenWest Ham, 29, AM(CLR),FW","Jarrod Bowen West Ham, 29, AM(CLR),FW",36(2),3237,6,5,2,-,2.0,72.7,0.9,3,6.8
"102Tomás SoucekWest Ham, 31, M(C)","Tomás Soucek West Ham, 31, M(C)",32(4),2820,2,3,3,-,0.9,72.1,3.2,1,6.8
"103Bernardo SilvaMan City, 31, M(CLR),FW","Bernardo Silva Man City, 31, M(CLR),FW",24(10),2203,4,5,5,-,0.7,89.1,0.1,-,6.8
"104Allan Saint-MaximinNewcastle, 29, AM(CLR),FW","Allan Saint-Maximin Newcastle, 29, AM(CLR),FW",12(13),1119,1,5,1,-,1.1,75.1,0.1,2,6.8
"105Noni MaduekeChelsea, 24, AM(LR),FW","Noni Madueke Chelsea, 24, AM(LR),FW",7(5),646,1,-,-,-,1.0,82.3,0.2,-,6.8
"106Jordan AyewCrystal Palace, 34, AM(CLR),FW","Jordan Ayew Crystal Palace, 34, AM(CLR),FW",31(7),2721,4,3,5,-,0.8,80.5,1.3,1,6.8
"107Enzo FernándezChelsea, 25, M(C)","Enzo Fernández Chelsea, 25, M(C)",18,1551,-,2,3,-,1.1,89.1,0.4,-,6.8
"108John StonesMan City, 31, D(CR),DMC","John Stones Man City, 31, D(CR),DMC",21(2),1849,2,2,2,-,0.5,93.2,1.4,-,6.8
"109Cristian RomeroTottenham, 27, D(C)","Cristian Romero Tottenham, 27, D(C)",26(1),2365,-,1,9,1,0.4,87.7,2.1,1,6.8
"110Youri TielemansLeicester, 28, M(C)","Youri Tielemans Leicester, 28, M(C)",27(4),2351,3,2,4,-,1.0,82.1,0.8,1,6.8
"111Rúben DiasMan City, 28, D(C)","Rúben Dias Man City, 28, D(C)",22(4),1999,-,-,3,-,0.4,92.7,1.7,-,6.79
"112Joachim AndersenCrystal Palace, 29, D(C)","Joachim Andersen Crystal Palace, 29, D(C)",32,2784,1,-,8,-,0.7,79.7,2.7,-,6.79
"113Hamed TraoréBournemouth, 26, AM(CLR)","Hamed Traoré Bournemouth, 26, AM(CLR)",5(2),429,-,-,-,-,0.9,71.1,0.4,-,6.79
"114Darwin NúñezLiverpool, 26, AM(CL),FW","Darwin Núñez Liverpool, 26, AM(CL),FW",19(10),1701,9,3,1,1,2.9,67.1,1.2,2,6.79
"115Pervis EstupiñánBrighton, 28, D(L),M(L)","Pervis Estupiñán Brighton, 28, D(L),M(L)",31(4),2683,1,5,4,-,0.8,84.0,1.0,2,6.79
"116Dominic SolankeBournemouth, 28, FW","Dominic Solanke Bournemouth, 28, FW",32(1),2873,6,7,2,-,2.3,69.8,1.6,3,6.79
"117Ibrahima KonatéLiverpool, 26, D(C)","Ibrahima Konaté Liverpool, 26, D(C)",17(1),1551,-,-,5,-,0.6,87.2,2.6,-,6.79
"118Mohammed SalisuSouthampton, 27, D(CL)","Mohammed Salisu Southampton, 27, D(CL)",21(1),1973,-,1,5,-,0.9,76.8,2.5,-,6.78
"119Ben WhiteArsenal, 28, D(CR),DMC","Ben White Arsenal, 28, D(CR),DMC",36(2),3068,2,5,5,-,0.3,86.6,0.9,-,6.78
"120Andy RobertsonLiverpool, 32, D(L),M(L)","Andy Robertson Liverpool, 32, D(L),M(L)",29(5),2588,-,8,3,-,0.4,84.2,0.6,-,6.78
"121Julio EncisoBrighton, 22, AM(CL),FW","Julio Enciso Brighton, 22, AM(CL),FW",7(13),802,4,2,1,-,1.9,72.7,0.3,1,6.78
"122Dejan KulusevskiTottenham, 26, AM(CR),FW","Dejan Kulusevski Tottenham, 26, AM(CR),FW",23(7),2079,2,7,2,-,1.4,82.5,0.1,1,6.78
"123William SalibaArsenal, 25, D(C)","William Saliba Arsenal, 25, D(C)",27,2416,2,1,4,-,0.2,91.0,2.0,1,6.77
"124Emerson RoyalTottenham, 27, D(CLR),M(R)","Emerson Royal Tottenham, 27, D(CLR),M(R)",20(6),1737,2,1,2,1,0.7,83.1,1.1,1,6.77
"125Dan BurnNewcastle, 33, D(CL),M(L)","Dan Burn Newcastle, 33, D(CL),M(L)",35(3),3117,1,-,6,-,0.6,78.6,2.2,1,6.77
"126NetoBournemouth, 36, GK","Neto Bournemouth, 36, GK",27,2386,-,-,4,-,-,56.0,0.2,2,6.76
"127Vicente GuaitaCrystal Palace, 39, GK","Vicente Guaita Crystal Palace, 39, GK",27,2430,-,-,1,-,-,67.5,0.4,2,6.76
"128Danny WelbeckBrighton, 35, AM(CLR),FW","Danny Welbeck Brighton, 35, AM(CLR),FW",21(10),1859,6,3,-,-,2,84.7,1.0,2,6.76
"129Kai HavertzChelsea, 26, M(CR),FW","Kai Havertz Chelsea, 26, M(CR),FW",30(5),2580,7,1,5,-,2,82.4,2.3,2,6.75
"130Nathan AkéMan City, 31, D(CL),DMC","Nathan Aké Man City, 31, D(CL),DMC",22(4),1876,1,-,2,-,0.3,91.1,1.4,-,6.75
"131Antonee RobinsonFulham, 28, D(L),M(L)","Antonee Robinson Fulham, 28, D(L),M(L)",35,3089,-,1,8,-,0.1,76.9,1.1,-,6.75
"132Tyrone MingsAston Villa, 33, D(CL)","Tyrone Mings Aston Villa, 33, D(CL)",35,3150,1,2,7,-,0.2,85.3,1.8,1,6.75
"133Sven BotmanNewcastle, 26, D(C)","Sven Botman Newcastle, 26, D(C)",35(1),3129,-,-,2,-,0.6,86.8,2.1,-,6.74
"134Ivan PerisicTottenham, 37, M(CLR),FW","Ivan Perisic Tottenham, 37, M(CLR),FW",23(11),2112,1,8,6,-,0.9,72.3,1.0,1,6.74
"135Tosin AdarabioyoFulham, 28, D(CR)","Tosin Adarabioyo Fulham, 28, D(CR)",23(2),2084,1,-,4,-,0.6,82.4,2.4,-,6.74
"136Dango OuattaraBournemouth, 24, D(L),M(LR),FW","Dango Ouattara Bournemouth, 24, D(L),M(LR),FW",15(4),1246,1,3,1,-,1.4,65.8,1.6,1,6.74
"137Raheem SterlingChelsea, 31, M(CLR),FW","Raheem Sterling Chelsea, 31, M(CLR),FW",23(5),1905,6,3,4,-,1.5,78.9,0.2,2,6.74
"138Diogo JotaLiverpool, 29, AM(CLR),FW","Diogo Jota Liverpool, 29, AM(CLR),FW",12(10),1133,7,4,2,-,1.6,75.9,0.8,1,6.74
"139Jason SteeleBrighton, 35, GK","Jason Steele Brighton, 35, GK",15,1350,-,1,1,-,-,88.0,0.1,-,6.73
"140Sam JohnstoneCrystal Palace, 33, GK","Sam Johnstone Crystal Palace, 33, GK",9,810,-,-,1,-,-,69.7,0.3,1,6.73
"141Tyler AdamsLeeds, 27, D(R),M(CR)","Tyler Adams Leeds, 27, D(R),M(CR)",24,2157,-,-,4,1,0.2,82.4,1.1,-,6.73
"142James JustinLeicester, 28, D(CLR),M(LR)","James Justin Leicester, 28, D(CLR),M(LR)",14,1254,-,-,-,-,0.4,81.5,1.6,-,6.73
"143Andreas PereiraFulham, 30, M(CLR)","Andreas Pereira Fulham, 30, M(CLR)",33,2718,4,6,8,-,1.9,73.7,0.3,3,6.73
