Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"94Phillip TietzAugsburg, 28, FW","Phillip Tietz Augsburg, 28, FW",31(3),2406,8,4,1,-,1.5,63.4,3.1,3,6.81
"95Florian GrillitschHoffenheim, 30, D(C),M(CL)","Florian Grillitsch Hoffenheim, 30, D(C),M(CL)",25(5),2297,1,6,8,-,0.7,86.0,1.1,-,6.81
"96Kevin BehrensUnion Berlin, 35, FW","Kevin Behrens Union Berlin, 35, FW",14(4),1266,4,-,3,-,2.3,65.5,5.2,2,6.81
"97Mohamed SimakanRBL, 25, D(CR)","Mohamed Simakan RBL, 25, D(CR)",23(9),2140,2,3,8,-,0.9,86.3,1.9,1,6.79
"98Kristijan JakicAugsburg, 28, D(CR),DMC,M(R)","Kristijan Jakic Augsburg, 28, D(CR),DMC,M(R)",13(1),1056,2,1,4,-,0.9,80.6,1.0,1,6.79
"99Robin HackBorussia M.Gladbach, 27, AM(CLR),FW","Robin Hack Borussia M.Gladbach, 27, AM(CLR),FW",14(15),1348,10,2,2,-,1.5,77.6,0.6,4,6.78
"100Frederik RønnowUnion Berlin, 33, GK","Frederik Rønnow Union Berlin, 33, GK",33,2970,-,-,2,-,0.1,68.2,0.4,4,6.78
"101Pavel KaderábekHoffenheim, 34, D(R),M(LR)","Pavel Kaderábek Hoffenheim, 34, D(R),M(LR)",28(1),2421,3,4,7,-,0.7,71.2,2.1,-,6.78
"102Lukás HrádeckyLeverkusen, 36, GK","Lukás Hrádecky Leverkusen, 36, GK",33,2970,-,-,2,-,-,75.8,0.2,-,6.78
"103Daniel BatzMainz, 35, GK","Daniel Batz Mainz, 35, GK",4,360,-,-,-,-,-,64.7,0.3,-,6.78
"104Amine AdliLeverkusen, 25, AM(CLR),FW","Amine Adli Leverkusen, 25, AM(CLR),FW",8(15),892,4,4,5,-,1.2,82.9,0.9,1,6.78
"105Julian RyersonBorussia Dortmund, 28, D(CLR),M(CLR)","Julian Ryerson Borussia Dortmund, 28, D(CLR),M(CLR)",20(1),1772,4,1,3,-,0.9,88.4,0.4,2,6.78
"106Lucas HölerFreiburg, 31, AM(CLR),FW","Lucas Höler Freiburg, 31, AM(CLR),FW",26(7),2311,7,2,7,-,1,67.8,2.5,2,6.78
"107Edmond TapsobaLeverkusen, 27, D(C)","Edmond Tapsoba Leverkusen, 27, D(C)",23(5),2085,-,1,4,-,0.4,91.4,1.4,-,6.78
