"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Abner,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,D,24,Brazil,Lyon,,"
"Mama Baldé,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,F,29,Guinea-Bissau,Brest,,"
"Duje Caleta-Car,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,D,28,Croatia,Lyon,,"
"Ruben Aguilar,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,D,32,France,Lens,,"
"Steve Mandanda,,""$ 27,191"",""$ 1,413,924"",,""$ 1,413,924"",""$ 1,413,924"",Active,K,39,France,Rennes,,"
"Rubén Blanco,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,K,29,Spain,Marseille,,"
"Pierre Lees-Melou,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,31,France,Brest,,"
"Romain Faivre,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Loan,M,26,France,Brest,,"
"Malang Sarr,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,26,France,Lens,,"
"Ali Abdi,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,31,Tunisia,Nice,,"
"Djibril Sidibé,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,32,France,Toulouse,,"
"Rasmus Nicolaisen,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,27,Denmark,Toulouse,,"
"Joshua King,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,33,Norway,Toulouse,,"
"Haris Belkebla,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,31,Algeria,Angers,,"
"Mousa Al-Tamari,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,27,Jordan,Rennes,,"
"Benjamin André,,""$ 25,886"",""$ 1,346,055"",,""$ 1,346,055"",""$ 1,346,055"",Active,M,34,France,Lille,,"
"Ludovic Ajorque,,""$ 25,886"",""$ 1,346,055"",,""$ 1,346,055"",""$ 1,346,055"",Loan,F,30,France,Brest,,"
"Aïssa Mandi,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,D,33,Algeria,Lille,,"
"Alexsandro,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,D,25,Brazil,Lille,,"
"Baptiste Santamaria,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Loan,M,29,France,Nice,,"
"Wesley Saïd,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,F,29,France,Lens,,"
"Edimilson Fernandes,,""$ 23,710"",""$ 1,232,942"",,""$ 1,232,942"",""$ 1,232,942"",Loan,M,28,Switzerland,Brest,,"
"Jonathan David,,""$ 23,275"",""$ 1,210,319"",,""$ 1,210,319"",""$ 1,210,319"",Active,F,25,Canada,Lille,,"
"Jordan Teze,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,D,25,Netherlands,Monaco,,"
"Wilfried Stephane Singo,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,D,24,Cote d'Ivoire,Monaco,,"
"Deiver Machado,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,31,Colombia,Lens,,"
"Clinton Mata,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,32,Angola,Lyon,,"
"Carlens Arcus,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,28,Haiti,Angers,,"
"Kenny Lala,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,33,France,Brest,,"
"Angelo Fulgini,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,28,France,Lens,,"
"Daler Kuzyaev,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,32,Russia,Le Havre,,"
"Lilian Brassier,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,25,France,Rennes,,"
"Benjamin Lecomte,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,K,33,France,Montpellier,,"
"Nabil Bentaleb,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,30,Algeria,Lille,,"
"Jordan Lefort,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,31,France,Angers,,"
"André Ayew,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,35,Ghana,Le Havre,,"
"Miha Zajc,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,30,Slovenia,Toulouse,,"
"Florian Sotoca,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,34,France,Lens,,"
"Amar Dedic,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,22,Bosnia-Herzegovina,Marseille,,"
"Ulisses Garcia,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,29,Switzerland,Marseille,,"
"Hamed Junior Traoré,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,F,24,Cote d'Ivoire,Auxerre,,"
"Ismaily,,""$ 21,535"",""$ 1,119,828"",,""$ 1,119,828"",""$ 1,119,828"",Active,D,35,Brazil,Lille,,"
"Joseph Okumu,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,27,Kenya,Reims,,"
"Facundo Medina,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,25,Argentina,Lens,,"
"Florent Mollet,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,33,France,Nantes,,"
"Hugo Magnetti,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,26,France,Brest,,"
"Tiago Santos,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,22,Portugal,Lille,,"
"Anthony Rouault,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,23,France,Rennes,,"
"Keito Nakamura,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,24,Japan,Reims,,"
"Mark McKenzie,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,25,United States,Toulouse,,"
"Jim Allevinah,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,29,Gabon,Angers,,"
"Rémy Descamps,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,K,28,France,Lyon,,"
"Bafodé Diakité,,""$ 18,707"",""$ 972,780"",,""$ 972,780"",""$ 972,780"",Active,D,24,France,Lille,,"
"Gideon Mensah,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,D,26,Ghana,Auxerre,,"
"Chuba Akpom,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Loan,F,29,England,Lille,,"
"Djordje Petrovic,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Loan,K,25,Serbia,Strasbourg,,"
"Sékou Mara,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,F,22,France,Strasbourg,,"
"Hicham Boudaoui,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,M,25,Algeria,Nice,,"
"Andrew Omobamidele,,""$ 18,055"",""$ 938,845"",,""$ 938,845"",""$ 938,845"",Loan,D,22,Ireland,Strasbourg,,"
"Ki-Jana Hoever,,""$ 18,055"",""$ 938,845"",,""$ 938,845"",""$ 938,845"",Loan,D,23,Netherlands,Auxerre,,"
"Alban Lafont,,""$ 18,055"",""$ 938,845"",,""$ 938,845"",""$ 938,845"",Active,K,26,France,Nantes,,"
"Mohamed Daramy,,""$ 18,055"",""$ 938,845"",,""$ 938,845"",""$ 938,845"",Active,F,23,Denmark,Reims,,"
"Arnaud Kalimuendo,,""$ 18,055"",""$ 938,845"",,""$ 938,845"",""$ 938,845"",Active,F,23,France,Rennes,,"
"Hans Hateboer,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,31,Netherlands,Rennes,,"
