"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Alexandre Olliero,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,K,28,France,Reims,,"
"Oualid El Hajjam,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,33,Morocco,Le Havre,,"
"Grégoire Coudert,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,K,25,France,Brest,,"
"Pape Diong,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,M,18,Senegal,Strasbourg,,"
"Tanguy Coulibaly,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,23,France,Montpellier,,"
"Malcolm Jeng,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,19,Sweden,Reims,,"
"Zakaria Aboukhlal,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,F,24,Morocco,Toulouse,,"
"Khalil Fayad,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,M,20,Morocco,Montpellier,,"
"Josué Casimir,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,F,23,Guadeloupe,Le Havre,,"
"Arthur Desmas,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,K,30,France,Le Havre,,"
"Bamo Meïté,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Loan,D,23,Cote d'Ivoire,Montpellier,,"
"Kjetil Haug,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,K,26,Norway,Toulouse,,"
"Mahdi Camara,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,M,26,France,Brest,,"
"Juma Bah,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,D,18,Sierra Leone,Lens,,"
"Hiroki Sekine,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,22,Japan,Reims,,"
"Ayanda Sishuba,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,20,Belgium,Rennes,,"
"Hamzat Ojediran,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,21,Nigeria,Lens,,"
"Théo De Percin,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,24,France,Auxerre,,"
"Abdoul Ouattara,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,19,Cote d'Ivoire,Strasbourg,,"
"Moïse Sahi Dion,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,23,Cote d'Ivoire,Strasbourg,,"
"Sidiki Chérif,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,18,France,Angers,,"
"Emmanuel Sabbi,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,F,27,United States,Le Havre,,"
"Fredrik Oppegård,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,D,22,Norway,Auxerre,,"
"Boubacar Fall,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,K,24,Senegal,St-Etienne,,"
"Vito Mannone,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,K,36,Italy,Lille,,"
"Yahia Fofana,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,K,24,Cote d'Ivoire,Angers,,"
"Warren Kamanzi,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,D,24,Norway,Toulouse,,"
"Ben Old,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,F,22,New Zealand,St-Etienne,,"
"Denis Petric,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,K,36,Slovenia,Lens,,"
"Christopher Wooh,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,D,23,Cameroon,Rennes,,"
"Louis Mouton,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,M,22,France,St-Etienne,,"
"Shavy Babicka,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,F,24,Gabon,Toulouse,,"
"Eros Maddy,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,F,24,Netherlands,Auxerre,,"
"Melvin Zinga,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,K,22,Congo,Angers,,"
"Justin Kalumba,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,F,20,France,Angers,,"
"Elysée Logbo,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,F,20,France,Le Havre,,"
"Jeremy Agbonifo,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Loan,F,19,Sweden,Lens,,"
"Doğan Alemdar,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,K,22,Turkey,Rennes,,"
"Yann Kitala,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,F,26,Democratic Republic of the Congo,Le Havre,,"
"Pierre Ekwah,,""$ 2,393"",""$ 124,425"",,""$ 124,425"",""$ 124,425"",Loan,M,23,France,St-Etienne,,"
"Lucas Mincarelli,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,21,France,Montpellier,,"
"Halid Sabanovic,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,25,Bosnia-Herzegovina,Angers,,"
"Yann Lienard,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,21,France,Monaco,,"
"Antoine Joujou,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Loan,F,21,France,Le Havre,,"
"Amidou Doumbouya,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,D,17,France,Nice,,"
"Jelle Van Neck,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,20,Belgium,Marseille,,"
"Belmin Dizdarevic,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,23,Bosnia-Herzegovina,Montpellier,,"
"Justin Bourgault,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,D,19,France,Brest,,"
"Ümit Akdağ,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Loan,D,21,Romania,Toulouse,,"
"Zinédine Ould Khaled,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,25,France,Angers,,"
"Geoffrey Lembet,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,36,Central African Republic,Rennes,,"
"Lilian Raolisoa,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,D,24,France,Angers,,"
"Neil El Aynaoui,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,23,Morocco,Lens,,"
"Darryl Bakola,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,F,17,France,Marseille,,"
"Amadou Koné,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,19,Cote d'Ivoire,Reims,,"
"Hugo Barbet,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,23,France,Nantes,,"
"Keyliane Abdallah,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,F,18,France,Marseille,,"
"Raphaël Adiceam,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,34,France,Auxerre,,"
"Gaël Lafont,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,18,France,Marseille,,"
"Justin Lacombe,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,21,France,Toulouse,,"
"John Patrick,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,21,Ireland,Reims,,"
"Kévin Danois,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,20,France,Auxerre,,"
"Mamadou Diakhon,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,F,19,France,Reims,,"
"Falaye Sacko,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,D,29,Mali,Montpellier,,"
"Ange Loic N'Gatta,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,21,France,Auxerre,,"
"Aloïs Confais,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,28,France,Le Havre,,"
"Nicolas Pays,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,21,France,Montpellier,,"
"Nathan Buayi-Kiala,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,20,France,Auxerre,,"
"Mahamadou Nagida,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,19,Cameroon,Rennes,,"
"Othmane Maamma,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,19,Morocco,Montpellier,,"
"Abdoul Koné,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,19,France,Reims,,"
"Wilson Samaké,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,20,Mali,Rennes,,"
"Rabby Nzingoula,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Loan,M,19,France,Montpellier,,"
"Ibrahim Mbaye,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,17,France,PSG,,"
"Victor Orakpo,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,19,Nigeria,Nice,,"
"Teddy Boulhendi,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,K,23,Algeria,Nice,,"
"Tom Pouilly,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,21,France,Lens,,"
"Badredine Bouanani,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,20,Algeria,Nice,,"
"Samuel Amo-Ameyaw,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,18,England,Strasbourg,,"
"Dimitry Bertaud,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,K,26,Democratic Republic of the Congo,Montpellier,,"
"Tidiane Diallo,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,18,France,Strasbourg,,"
"Yoni Gomis,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,19,France,Strasbourg,,"
"Ylies Aradj,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,19,France,Toulouse,,"
"Enzo Tchato,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,22,Cameroon,Montpellier,,"
"Glenn Ngosso,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,21,Cameroon,Montpellier,,"
"Dehmaine Tabibou,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,19,France,Nantes,,"
"Joris Chotard,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,23,France,Montpellier,,"
"Nhoa Sangui,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,18,France,Reims,,"
"Tom Negrel,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,K,21,France,Auxerre,,"
"Luck Zogbé,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,D,19,Cote d'Ivoire,Brest,,"
"Ben Viadere,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,19,France,Auxerre,,"
"Noah Jauny,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,K,20,Ireland,Brest,,"
"Aristide Zossou,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Active,F,19,Cote d'Ivoire,Auxerre,,"
"Oumar Pona,,$ 870,""$ 45,246"",,""$ 45,246"",""$ 45,246"",Active,K,18,France,Angers,,"
"Ismaïl Bouneb,,$ 870,""$ 45,246"",,""$ 45,246"",""$ 45,246"",Active,F,18,France,Le Havre,,"
"Ruben Londja,,$ 870,""$ 45,246"",,""$ 45,246"",""$ 45,246"",Active,F,18,Switzerland,Le Havre,,"
Gabriel Moscardo,,,,,,,Inactive,M,18,Brazil,PSG,,
Carlos Soler,,,,,,,Inactive,M,27,Spain,PSG,,
Nordi Mukiele,,,,,,,Inactive,D,26,France,PSG,,
Przemyslaw Frankowski,,,,,,,Inactive,M,29,Poland,Lens,,
