"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ilyes Chetti,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,D,28,Algeria,Angers,,"
"Warren Kamanzi,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,D,22,Norway,Toulouse,,"
"Mathieu Coutadeur,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,M,36,France,Ajaccio,,"
"Jean-Kévin Duverne,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 133,716"",Active,D,25,France,Brest,,"
"Stéphane Diarra,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 133,716"",Active,F,24,Cote d'Ivoire,Lorient,,"
"Samuel Moutoussamy,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 133,716"",Active,M,26,Democratic Republic of the Congo,Nantes,,"
"Noah Fadiga,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 133,716"",Active,D,23,Senegal,Brest,,"
"Kevin Spadanuda,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 133,716"",Active,F,26,Switzerland,Ajaccio,,"
"Melvin Bard,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 122,573"",Active,D,22,France,Nice,,"
"Jessy Moulin,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 122,573"",Active,K,37,France,Troyes,,"
"Nicolas Penneteau,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 122,573"",Active,K,41,France,Reims,,"
"Alexis Flips,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 122,573"",Active,F,23,France,Reims,,"
"Alberth Elis,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 122,573"",Loan,F,26,Honduras,Brest,,"
"Ousmane Camara,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 111,430"",Active,F,21,Guinea,Auxerre,,"
"Rares Ilie,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 111,430"",Active,F,19,Romania,Nice,,"
"Denis Genreau,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 111,430"",Active,F,23,Australia,Toulouse,,"
"Yoann Cathline,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 111,430"",Active,F,20,France,Lorient,,"
"Yohann Magnin,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 111,430"",Active,M,25,France,Clermont,,"
"Stijn Spierings,,""$ 1,873"",""$ 97,402"",,""$ 97,402"",""$ 100,287"",Active,M,26,Netherlands,Toulouse,,"
"Kenji-Van Boto,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,26,Madagascar,Auxerre,,"
"Riad Nouri,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,F,37,France,Ajaccio,,"
"Yoann Touzghar,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,F,36,Tunisia,Ajaccio,,"
"Alassane N'Diaye,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,M,31,France,Ajaccio,,"
"Yannick Pandor,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,K,21,Comoros,Lens,,"
"Maxime Estève,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,20,France,Montpellier,,"
"Mohamed El Arouch,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,M,18,France,Lyon,,"
"Waniss Taïbi,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,F,20,France,Angers,,"
"Noah Jean Holm,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Loan,F,21,Norway,Reims,,"
"Zinédine Ould Khaled,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,M,23,France,Angers,,"
"Adrien Truffert,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,21,France,Rennes,,"
"Thierno Baldé,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,20,France,Troyes,,"
"Guéla Doué,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,20,France,Rennes,,"
"Oumar Gonzalez,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,24,Cameroon,Ajaccio,,"
"Falaye Sacko,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Loan,D,27,Mali,Montpellier,,"
"Billal Brahimi,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,F,22,Algeria,Nice,,"
"Elbasan Rashani,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,F,29,Kosovo,Clermont,,"
"Dogan Alemdar,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,K,20,Turkey,Rennes,,"
"Rhys Healey,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,F,28,England,Toulouse,,"
"Jim Allevinah,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,F,27,Gabon,Clermont,,"
"Rémy Descamps,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,K,26,France,Nantes,,"
"Lucas Lavallée,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,K,19,France,PSG,,"
"Farès Chaïbi,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,F,20,France,Toulouse,,"
"Teddy Boulhendi,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,K,21,Algeria,Nice,,"
"Maghnes Akliouche,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 111,430"",Active,F,20,France,Monaco,,"
"Rémy Dugimont,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,F,36,France,Auxerre,,"
"Thijs Dallinga,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Active,F,22,Netherlands,Toulouse,,"
"Joaquín Blázquez,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 78,001"",Loan,K,22,Argentina,Brest,,"
"Dimitry Bertaud,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,K,24,France,Montpellier,,"
"Castello Lukeba,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,D,20,France,Lyon,,"
"Enzo Le Fée,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,F,22,France,Lorient,,"
"Elye Wahi,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,F,20,France,Montpellier,,"
"Saîf-Eddine Khaoui,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,F,27,Tunisia,Clermont,,"
"Baïla Diallo,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,D,21,Senegal,Clermont,,"
"Dion Lopy,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,M,20,Senegal,Reims,,"
"Lucas Perrin,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,D,24,France,Strasbourg,,"
"Mohamed Youssouf,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,D,34,Comoros,Ajaccio,,"
"Jean Botué,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,F,20,Burkina Faso,Ajaccio,,"
"François-Joseph Sollacaro,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 66,858"",Active,K,28,France,Ajaccio,,"
"Halid Sabanovic,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,D,23,Bosnia-Herzegovina,Angers,,"
"Yuito Suzuki,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Loan,F,21,Japan,Strasbourg,,"
"Lilian Brassier,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,D,23,France,Brest,,"
"Chaker Alhadhur,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,D,31,Comoros,Ajaccio,,"
"Siriné Doucouré,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,F,20,France,Lorient,,"
"Enzo Tchato,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,D,20,Cameroon,Montpellier,,"
"Carlos Baleba,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,M,19,Cameroon,Lille,,"
"Kayne Bonnevie,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,K,21,France,Lyon,,"
"Lukasz Poreba,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,M,22,Poland,Lens,,"
"Antoine Mendy,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,D,18,France,Nice,,"
"Anthony Rouault,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,D,21,France,Toulouse,,"
"Bartug Elmaz,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,M,19,Turkey,Marseille,,"
"Ghjuvanni Quilichini,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,K,20,France,Ajaccio,,"
"Ulrick Eneme-Ella,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,F,21,Gabon,Angers,,"
"Yllan Okou,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 89,144"",Active,D,20,France,Monaco,,"
"Melvin Zinga,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,K,21,France,Angers,,"
"Simon Ngapandouetnbu,,$ 833,""$ 43,290"",,""$ 43,290"",""$ 44,572"",Active,K,19,Cameroon,Marseille,,"
"Maxime Wackers,,$ 833,""$ 43,290"",,""$ 43,290"",""$ 44,572"",Active,D,25,France,Lorient,,"
"Quentin Merlin,,$ 833,""$ 43,290"",,""$ 43,290"",""$ 44,572"",Active,D,20,France,Nantes,,"
"Cyrille Bayala,,$ 833,""$ 43,290"",,""$ 43,290"",""$ 44,572"",Active,F,26,Burkina Faso,Ajaccio,,"
"Moussa Diarra,,$ 833,""$ 43,290"",,""$ 43,290"",""$ 44,572"",Active,D,22,Mali,Toulouse,,"
"Ismaël Diallo,,$ 833,""$ 43,290"",,""$ 43,290"",""$ 44,572"",Active,D,26,Cote d'Ivoire,Ajaccio,,"
"Brayann Pereira,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,19,France,Auxerre,,"
"Lassine Sinayoko,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,23,Mali,Auxerre,,"
"Ousoumane Camara,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,24,France,Auxerre,,"
"Ali Kalla,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,24,France,Angers,,"
"Karamoko Dembélé,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,19,England,Brest,,"
"Taïryk Arconte,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,19,France,Brest,,"
"Reda Belahyane,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,18,France,Nice,,"
"Kévin Keben,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,19,Cameroon,Toulouse,,"
"Yaya Fofana,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,18,Mali,Lens,,"
"Joris Chotard,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,21,France,Montpellier,,"
"Eric N'Jo,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,18,France,Troyes,,"
"Yann Lienard,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 55,715"",Active,K,19,France,Monaco,,"
"Levi Lumeka,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,24,England,Troyes,,"
"Tanguy Zoukrou,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,19,France,Troyes,,"
"Kays Ruiz-Atil,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,20,Morocco,Auxerre,,"
"Lohann Doucet,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,20,France,Nantes,,"
"Robin Voisine,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,20,France,Nantes,,"
"Josué Escartin,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,19,France,Brest,,"
"Natanaël Bouekou,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,20,France,Auxerre,,"
"Elias Damergy,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,K,20,Tunisia,Rennes,,"
"Ruan Levine,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Loan,F,24,Brazil,Ajaccio,,"
"Badredine Bouanani,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,18,France,Nice,,"
"Théo Borne,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,K,20,France,Angers,,"
"Oliver Kamdem,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,D,20,France,Clermont,,"
"Félix Lemaréchal,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Loan,M,19,France,Brest,,"
"Idjessi Metsoko,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,20,Togo,Auxerre,,"
"Samuel Yépié Yépié,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,F,20,France,Nantes,,"
"Eliot Matazo,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 33,429"",Active,M,20,Belgium,Monaco,,"
"Daouda Traoré,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,M,16,France,Nice,,"
"Bradley Locko,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Loan,D,20,France,Brest,,"
"Vincenzo Cozzella,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,K,21,Italy,Auxerre,,"
"Florent Duparchy,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,K,22,France,Reims,,"
"Lesley Ugochukwu,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,M,18,France,Rennes,,"
"Kamory Doumbia,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,F,19,Mali,Reims,,"
"Wilson Odobert,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,F,18,France,Troyes,,"
"Nordine Kandil,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,F,21,France,Strasbourg,,"
"Kévin Danois,,$ 416,""$ 21,645"",,""$ 21,645"",""$ 22,286"",Active,F,18,France,Auxerre,,"
"Jeanuël Belocian,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,D,17,France,Rennes,,"
"Yanis Massolin,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,M,20,France,Clermont,,"
"Adrien Louveau,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,D,23,France,Lens,,"
"Yassin Belkhdim,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,M,20,Morocco,Angers,,"
"Jean-Mattéo Bahoya,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,F,17,France,Angers,,"
"Matthis Abline,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Loan,F,19,France,Auxerre,,"
"Lucas Margueron,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,K,21,France,Clermont,,"
"Teddy Bartouche,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,K,25,France,Lorient,,"
"Béni Makouana,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,F,20,Congo,Montpellier,,"
"Souleymane Cissé,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,D,20,France,Clermont,,"
"Alexandre Pierre,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,K,21,Haiti,Strasbourg,,"
"Grégoire Coudert,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,K,23,France,Brest,,"
"Warmed Omari,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,D,22,France,Rennes,,"
"Théo De Percin,,$ 354,""$ 18,398"",,""$ 18,398"",""$ 18,943"",Active,K,21,France,Auxerre,,"
"Yasser Larouci,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,D,22,France,Troyes,,"
"Matis Carvalho,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,K,23,Portugal,Montpellier,,"
"Yanis Cimignani,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,M,21,France,Ajaccio,,"
"Clément Vidal,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,D,22,France,Ajaccio,,"
"Florian Chabrolle,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,F,24,France,Ajaccio,,"
"Ouparine Djoco,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,K,24,France,Clermont,,"
"Mamadou Camara,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,M,20,Senegal,Lens,,"
"Mounaïm El Idrissy,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,F,23,France,Ajaccio,,"
"Thomas Himeur,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,K,22,France,Toulouse,,"
"Gor Manvelyan,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,F,20,France,Nantes,,"
"Ismaël Boura,,$ 229,""$ 11,905"",,""$ 11,905"",""$ 12,257"",Active,D,22,France,Lens,,"
Marlos Moreno,,,,,,,Inactive,F,26,Colombia,Troyes,,
Layvin Kurzawa,,,,,,,Inactive,D,29,France,PSG,,
Leandro Paredes,,,,,,,Inactive,M,28,Argentina,PSG,,
Arkadiusz Milik,,,,,,,Inactive,F,28,Poland,Marseille,,
Akim Zedadka,,,,,,,Inactive,D,27,Algeria,Lille,,
