"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Vitinha,,""$ 34,340"",""$ 1,785,704"",,""$ 1,785,704"",""$ 1,838,592"",Active,F,22,Portugal,Marseille,,"
"Wahbi Khazri,,""$ 34,340"",""$ 1,785,704"",,""$ 1,785,704"",""$ 1,838,592"",Active,F,31,Tunisia,Montpellier,,"
"Vanderson,,""$ 54,320"",""$ 2,824,659"",,""$ 2,824,659"",""$ 2,908,318"",Active,D,21,Brazil,Monaco,,"
"Martin Terrier,,""$ 34,340"",""$ 1,785,704"",,""$ 1,785,704"",""$ 1,838,592"",Active,F,25,France,Rennes,,"
"Krépin Diatta,,""$ 54,112"",""$ 2,813,837"",,""$ 2,813,837"",""$ 2,897,175"",Active,F,23,Senegal,Monaco,,"
"Adrien Thomasson,,""$ 33,300"",""$ 1,731,592"",,""$ 1,731,592"",""$ 1,782,877"",Active,F,29,France,Lens,,"
"Arthur Theate,,""$ 33,300"",""$ 1,731,592"",,""$ 1,731,592"",""$ 1,782,877"",Active,D,22,Belgium,Rennes,,"
"Adam Ounas,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,671,447"",Active,F,26,Algeria,Lille,,"
"Nicolás Tagliafico,,""$ 31,219"",""$ 1,623,367"",""$ 1,082,245"",""$ 2,705,612"",""$ 2,785,745"",Active,D,30,Argentina,Lyon,,"
"Caio Henrique,,""$ 48,909"",""$ 2,543,276"",,""$ 2,543,276"",""$ 2,618,600"",Active,D,25,Brazil,Monaco,,"
"Morgan Sanson,,""$ 29,762"",""$ 1,547,610"",,""$ 1,547,610"",""$ 1,593,446"",Loan,M,28,France,Strasbourg,,"
"Sead Kolasinac,,""$ 29,554"",""$ 1,536,788"",,""$ 1,536,788"",""$ 1,582,303"",Active,D,29,Bosnia-Herzegovina,Marseille,,"
"Sofiane Diop,,""$ 29,137"",""$ 1,515,143"",,""$ 1,515,143"",""$ 1,560,017"",Active,F,22,France,Nice,,"
"Andy Delort,,""$ 28,929"",""$ 1,504,321"",,""$ 1,504,321"",""$ 1,548,874"",Loan,F,31,Algeria,Nantes,,"
"Rubén Blanco,,""$ 26,848"",""$ 1,396,096"",,""$ 1,396,096"",""$ 1,437,444"",Loan,K,27,Spain,Marseille,,"
"Benjamin Bourigeaud,,""$ 26,016"",""$ 1,352,806"",,""$ 1,352,806"",""$ 1,392,873"",Active,M,29,France,Rennes,,"
"Steve Mandanda,,""$ 26,016"",""$ 1,352,806"",,""$ 1,352,806"",""$ 1,392,873"",Active,K,37,France,Rennes,,"
"Samuel Gigot,,""$ 26,016"",""$ 1,352,806"",,""$ 1,352,806"",""$ 1,392,873"",Active,D,29,France,Marseille,,"
"Rony Lopes,,""$ 25,183"",""$ 1,309,516"",,""$ 1,309,516"",""$ 1,348,301"",Loan,F,27,Portugal,Troyes,,"
"Benjamin André,,""$ 24,767"",""$ 1,287,872"",,""$ 1,287,872"",""$ 1,326,015"",Active,M,32,France,Lille,,"
"Hamari Traoré,,""$ 24,767"",""$ 1,287,872"",,""$ 1,287,872"",""$ 1,326,015"",Active,D,31,Mali,Rennes,,"
"Sergio Rico,,""$ 23,518"",""$ 1,222,937"",,""$ 1,222,937"",""$ 1,259,157"",Active,K,29,Spain,PSG,,"
"Pierre Lees-Melou,,""$ 23,310"",""$ 1,212,114"",,""$ 1,212,114"",""$ 1,248,014"",Active,M,29,France,Brest,,"
"Wesley Saïd,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,225,728"",Active,F,27,France,Lens,,"
"Jonathan David,,""$ 22,269"",""$ 1,158,002"",,""$ 1,158,002"",""$ 1,192,299"",Active,F,23,Canada,Lille,,"
"Valère Germain,,""$ 21,021"",""$ 1,093,067"",,""$ 1,093,067"",""$ 1,125,441"",Active,F,32,France,Montpellier,,"
"Deiver Machado,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,114,298"",Active,D,29,Colombia,Lens,,"
"Angelo Fulgini,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,114,298"",Loan,F,26,France,Lens,,"
"Florian Sotoca,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,114,298"",Active,F,32,France,Lens,,"
"Ionut Radu,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,114,298"",Loan,K,25,Romania,Auxerre,,"
"Benjamin Lecomte,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,114,298"",Active,K,31,France,Montpellier,,"
"Yvon Mvogo,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,114,298"",Active,K,28,Switzerland,Lorient,,"
"Ismaily,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Active,D,33,Brazil,Lille,,"
"Youcef Atal,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Active,D,26,Algeria,Nice,,"
"Joe Bryan,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Loan,D,29,England,Nice,,"
"Mohamed Bayo,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Active,F,24,Guinea,Lille,,"
"Guillermo Maripán,,""$ 32,675"",""$ 1,699,125"",,""$ 1,699,125"",""$ 1,749,448"",Active,D,28,Chile,Monaco,,"
"Seko Fofana,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Active,M,27,Cote d'Ivoire,Lens,,"
"Moses Simon,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Active,F,27,Nigeria,Nantes,,"
"Folarin Balogun,,""$ 20,604"",""$ 1,071,423"",,""$ 1,071,423"",""$ 1,103,155"",Loan,F,21,England,Reims,,"
"Mostafa Mohamed,,""$ 20,188"",""$ 1,049,778"",,""$ 1,049,778"",""$ 1,080,869"",Loan,F,25,Egypt,Nantes,,"
"José Fonte,,""$ 19,147"",""$ 995,665"",,""$ 995,665"",""$ 1,025,154"",Active,D,39,Portugal,Lille,,"
"Nuno Tavares,,""$ 19,147"",""$ 995,665"",,""$ 995,665"",""$ 1,025,154"",Loan,D,23,Portugal,Marseille,,"
"Florent Mollet,,""$ 18,731"",""$ 974,020"",,""$ 974,020"",""$ 1,002,868"",Active,F,31,France,Nantes,,"
"João Victor,,""$ 18,731"",""$ 974,020"",,""$ 974,020"",""$ 1,002,868"",Loan,D,24,Brazil,Nantes,,"
"Baptiste Santamaria,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 958,296"",Active,M,27,France,Rennes,,"
"Jérémy Doku,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 958,296"",Active,F,20,Belgium,Rennes,,"
"Lovro Majer,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 958,296"",Active,F,25,Croatia,Rennes,,"
"Birger Meling,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 958,296"",Active,D,28,Norway,Rennes,,"
"Ross Barkley,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 958,296"",Active,M,29,England,Nice,,"
"Karl Toko Ekambi,,""$ 17,482"",""$ 909,086"",,""$ 909,086"",""$ 936,010"",Loan,F,30,Cameroon,Rennes,,"
"Amin Sarr,,""$ 17,274"",""$ 898,263"",,""$ 898,263"",""$ 924,867"",Active,F,21,Sweden,Lyon,,"
"Xeka,,""$ 17,274"",""$ 898,263"",,""$ 898,263"",""$ 924,867"",Active,M,28,Portugal,Rennes,,"
"Ruben Aguilar,,""$ 27,264"",""$ 1,417,741"",,""$ 1,417,741"",""$ 1,459,730"",Active,D,29,France,Monaco,,"
"Arnaud Kalimuendo,,""$ 17,274"",""$ 898,263"",,""$ 898,263"",""$ 924,867"",Active,F,21,France,Rennes,,"
"Flavien Tait,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 880,295"",Active,M,29,France,Rennes,,"
"Jonathan Bamba,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 880,295"",Active,F,26,France,Lille,,"
"Rémy Cabella,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 880,295"",Active,F,32,France,Lille,,"
"Jordan Ferri,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 880,295"",Active,M,30,France,Montpellier,,"
"Kévin Gameiro,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 880,295"",Active,F,35,France,Strasbourg,,"
"Nuno Mendes,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 880,295"",Active,D,20,Portugal,PSG,,"
"Myron Boadu,,""$ 25,599"",""$ 1,331,161"",,""$ 1,331,161"",""$ 1,370,587"",Active,F,22,Netherlands,Monaco,,"
"Loïs Diony,,""$ 15,609"",""$ 811,684"",,""$ 811,684"",""$ 835,724"",Active,F,30,France,Angers,,"
"Youssouf Koné,,""$ 15,609"",""$ 811,684"",,""$ 811,684"",""$ 835,724"",Loan,D,27,Mali,Ajaccio,,"
"Nicolas Pallois,,""$ 15,193"",""$ 790,039"",,""$ 790,039"",""$ 813,438"",Active,D,35,France,Nantes,,"
"Téji Savanier,,""$ 15,193"",""$ 790,039"",,""$ 790,039"",""$ 813,438"",Active,F,31,France,Montpellier,,"
"Frédéric Guilbert,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 780,009"",Active,D,28,France,Strasbourg,,"
"Djed Spence,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 780,009"",Loan,D,22,England,Rennes,,"
"Jean-Victor Makengo,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 780,009"",Active,M,24,France,Lorient,,"
"Hicham Boudaoui,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 780,009"",Active,M,23,Algeria,Nice,,"
"Abdallah Sima,,""$ 14,152"",""$ 735,927"",,""$ 735,927"",""$ 757,723"",Loan,F,21,Senegal,Angers,,"
"Junya Ito,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,F,29,Japan,Reims,,"
"Jeff Reine-Adélaïde,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Loan,F,25,France,Troyes,,"
"Mohamed Camara,,""$ 21,645"",""$ 1,125,535"",,""$ 1,125,535"",""$ 1,158,870"",Active,M,23,Mali,Monaco,,"
"Romain Faivre,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Loan,M,24,France,Lorient,,"
"Jeffinho,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,F,23,Brazil,Lyon,,"
"Yunis Abdelhamid,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,D,35,Morocco,Reims,,"
"Amine Gouiri,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,F,22,France,Rennes,,"
"Alexis Claude-Maurice,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Loan,F,24,France,Lens,,"
"Brice Samba,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,K,28,France,Lens,,"
"Edon Zhegrova,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,F,23,Kosovo,Lille,,"
"Benoît Costil,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,K,35,France,Lille,,"
"Paul Bernardoni,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 735,437"",Active,K,25,France,Angers,,"
"Jean-Clair Todibo,,""$ 13,528"",""$ 703,459"",,""$ 703,459"",""$ 724,294"",Active,D,23,France,Nice,,"
"Myziane Maolida,,""$ 13,112"",""$ 681,814"",,""$ 681,814"",""$ 702,008"",Loan,F,23,France,Reims,,"
"Habib Diarra,,""$ 13,112"",""$ 681,814"",,""$ 681,814"",""$ 702,008"",Active,M,19,France,Strasbourg,,"
"Lucas Chevalier,,""$ 13,112"",""$ 681,814"",,""$ 681,814"",""$ 702,008"",Active,K,21,France,Lille,,"
"Fabien Centonze,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 668,579"",Active,D,27,France,Nantes,,"
"Faouzi Ghoulam,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 668,579"",Active,D,32,Algeria,Angers,,"
"Maxime Busi,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 668,579"",Active,D,23,Belgium,Reims,,"
