"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kylian Mbappé,,""$ 824,145"",""$ 42,855,556"",""$ 35,712,963"",""$ 78,568,519"",""$ 79,310,069"",Active,F,25,France,PSG,,"
"Malick Fofana,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,310,910"",Active,M,18,Belgium,Lyon,,"
"Pierre Lees-Melou,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,310,910"",Active,M,30,France,Brest,,"
"Rasmus Nicolaisen,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,310,910"",Active,D,27,Denmark,Toulouse,,"
"Benjamin André,,""$ 24,766"",""$ 1,287,831"",,""$ 1,287,831"",""$ 1,299,986"",Active,M,33,France,Lille,,"
"Sergio Rico,,""$ 23,517"",""$ 1,222,898"",,""$ 1,222,898"",""$ 1,234,440"",Active,K,30,Spain,PSG,,"
"Baptiste Santamaria,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,201,668"",Active,M,28,France,Rennes,,"
"Iliman Ndiaye,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,201,668"",Active,F,23,Senegal,Marseille,,"
"Rubén Blanco,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,201,668"",Active,K,28,Spain,Marseille,,"
"Wesley Saïd,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,201,668"",Active,F,28,France,Lens,,"
"Imrân Louza,,""$ 22,477"",""$ 1,168,788"",,""$ 1,168,788"",""$ 1,179,819"",Loan,M,24,Morocco,Lorient,,"
"Jonathan David,,""$ 22,269"",""$ 1,157,966"",,""$ 1,157,966"",""$ 1,168,895"",Active,F,24,Canada,Lille,,"
"Ivan Cavaleiro,,""$ 21,228"",""$ 1,103,855"",,""$ 1,103,855"",""$ 1,114,274"",Active,F,30,Angola,Lille,,"
"Wilfried Stephane Singo,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,747,880"",Active,D,23,Cote d'Ivoire,Monaco,,"
"Deiver Machado,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,D,30,Colombia,Lens,,"
"Angelo Fulgini,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,F,27,France,Lens,,"
"Romain Perraud,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Loan,D,26,France,Nice,,"
"Florian Sotoca,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,F,33,France,Lens,,"
"Orel Mangala,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Loan,M,25,Belgium,Lyon,,"
"Yann Karamoh,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Loan,F,25,France,Montpellier,,"
"Alexsandro,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,D,24,Brazil,Lille,,"
"Benjamin Lecomte,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,K,32,France,Montpellier,,"
"Gift Emmanuel Orban,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,F,21,Nigeria,Lyon,,"
"Clinton Mata,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,D,31,Angola,Lyon,,"
"Nabil Bentaleb,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,M,29,Algeria,Lille,,"
"Yvon Mvogo,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,K,29,Switzerland,Lorient,,"
"Daler Kuzyaev,,""$ 20,604"",""$ 1,071,389"",,""$ 1,071,389"",""$ 1,081,501"",Active,M,31,Russia,Le Havre,,"
"Mohamed Bayo,,""$ 20,604"",""$ 1,071,389"",,""$ 1,071,389"",""$ 1,081,501"",Loan,F,25,Guinea,Le Havre,,"
"Guillermo Maripán,,""$ 32,674"",""$ 1,699,071"",,""$ 1,699,071"",""$ 1,715,108"",Active,D,29,Chile,Monaco,,"
"Youcef Atal,,""$ 20,604"",""$ 1,071,389"",,""$ 1,071,389"",""$ 1,081,501"",Active,D,27,Algeria,Nice,,"
"Ismaily,,""$ 20,604"",""$ 1,071,389"",,""$ 1,071,389"",""$ 1,081,501"",Active,D,34,Brazil,Lille,,"
"Mostafa Mohamed,,""$ 20,187"",""$ 1,049,745"",,""$ 1,049,745"",""$ 1,059,652"",Active,F,26,Egypt,Nantes,,"
"Facundo Medina,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 983,183"",Active,D,24,Argentina,Lens,,"
"Keito Nakamura,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 983,183"",Active,F,23,Japan,Reims,,"
"Florent Mollet,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 983,183"",Active,F,32,France,Nantes,,"
"Joseph Okumu,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 983,183"",Active,D,26,Kenya,Reims,,"
"Hicham Boudaoui,,""$ 17,690"",""$ 919,879"",,""$ 919,879"",""$ 928,561"",Active,M,24,Algeria,Nice,,"
"Przemyslaw Frankowski,,""$ 17,690"",""$ 919,879"",,""$ 919,879"",""$ 928,561"",Active,M,28,Poland,Lens,,"
"André Ayew,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,F,34,Ghana,Le Havre,,"
