"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Clément Lenglet,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Loan,D,28,France,Aston Villa,,"
"Alexis Mac Allister,,""$ 105,427"",""$ 5,482,191"",""$ 1,098,994"",""$ 6,581,185"",""$ 6,833,736"",Active,M,25,Argentina,Liverpool,,"
"Lucas Paquetá,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,F,26,Brazil,West Ham,,"
"Ibrahima Konaté,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,D,24,France,Liverpool,,"
"Joelinton,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,M,27,Brazil,Newcastle,,"
"Luke Shaw,,""$ 105,427"",""$ 5,482,191"",""$ 1,827,397"",""$ 7,309,588"",""$ 7,590,091"",Active,D,28,England,Manchester United,,"
"Youri Tielemans,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,M,26,Belgium,Aston Villa,,"
"Darwin Núñez,,""$ 98,300"",""$ 5,111,600"",,""$ 5,111,600"",""$ 5,307,756"",Active,F,24,Uruguay,Liverpool,,"
"Diogo Jota,,""$ 98,300"",""$ 5,111,600"",,""$ 5,111,600"",""$ 5,307,756"",Active,F,27,Portugal,Liverpool,,"
"Moussa Diaby,,""$ 91,419"",""$ 4,753,788"",,""$ 4,753,788"",""$ 4,936,213"",Active,F,24,France,Aston Villa,,"
"Matheus Nunes,,""$ 91,419"",""$ 4,753,788"",,""$ 4,753,788"",""$ 4,936,213"",Active,M,25,Portugal,Manchester City,,"
"Abdoulaye Doucouré,,""$ 91,419"",""$ 4,753,788"",,""$ 4,753,788"",""$ 4,936,213"",Active,M,31,Mali,Everton,,"
"Bernd Leno,,""$ 91,419"",""$ 4,753,788"",,""$ 4,753,788"",""$ 4,936,213"",Active,K,31,Germany,Fulham,,"
"Ollie Watkins,,""$ 91,419"",""$ 4,753,788"",,""$ 4,753,788"",""$ 4,936,213"",Active,F,28,England,Aston Villa,,"
"Jordan Pickford,,""$ 87,979"",""$ 4,574,882"",,""$ 4,574,882"",""$ 4,750,442"",Active,K,29,England,Everton,,"
"Kurt Zouma,,""$ 87,979"",""$ 4,574,882"",,""$ 4,574,882"",""$ 4,750,442"",Active,D,29,France,West Ham,,"
"Danny Ings,,""$ 87,979"",""$ 4,574,882"",,""$ 4,574,882"",""$ 4,750,442"",Active,F,31,England,West Ham,,"
"Emiliano Martínez,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,K,31,Argentina,Aston Villa,,"
"Lucas Digne,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,D,30,France,Aston Villa,,"
"Leon Bailey,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,F,26,Jamaica,Aston Villa,,"
"John McGinn,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,M,29,Scotland,Aston Villa,,"
"Alexander Isak,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,F,24,Sweden,Newcastle,,"
"André Onana,,""$ 84,292"",""$ 4,383,197"",""$ 2,926,391"",""$ 7,309,588"",""$ 7,590,091"",Active,K,27,Cameroon,Manchester United,,"
"Alphonse Areola,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,K,30,France,West Ham,,"
"Idrissa Gueye,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,M,34,Senegal,Everton,,"
"Boubacar Kamara,,""$ 84,292"",""$ 4,383,197"",""$ 1,098,994"",""$ 5,482,191"",""$ 5,692,569"",Active,M,24,France,Aston Villa,,"
"Dominik Szoboszlai,,""$ 84,292"",""$ 4,383,197"",""$ 1,098,994"",""$ 5,482,191"",""$ 5,692,569"",Active,M,23,Hungary,Liverpool,,"
"Aaron Ramsdale,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,K,25,England,Arsenal,,"
"Cody Gakpo,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,F,24,Netherlands,Liverpool,,"
"Lisandro Martínez,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,D,26,Argentina,Manchester United,,"
"Divock Origi,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Loan,F,28,Belgium,Nottingham Forest,,"
"Kieran Trippier,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,D,33,England,Newcastle,,"
"Malang Sarr,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,D,25,France,Chelsea,,"
"Victor Lindelöf,,""$ 84,292"",""$ 4,383,197"",,""$ 4,383,197"",""$ 4,551,401"",Active,D,29,Sweden,Manchester United,,"
"James Ward-Prowse,,""$ 80,852"",""$ 4,204,291"",,""$ 4,204,291"",""$ 4,365,629"",Active,M,29,England,West Ham,,"
"André Gomes,,""$ 78,886"",""$ 4,102,059"",,""$ 4,102,059"",""$ 4,259,474"",Active,M,30,Portugal,Everton,,"
"Thiago Silva,,""$ 77,411"",""$ 4,025,385"",,""$ 4,025,385"",""$ 4,179,858"",Active,D,39,Brazil,Chelsea,,"
"Jorginho,,""$ 77,411"",""$ 4,025,385"",,""$ 4,025,385"",""$ 4,179,858"",Active,M,32,Italy,Arsenal,,"
"Dejan Kulusevski,,""$ 77,411"",""$ 4,025,385"",,""$ 4,025,385"",""$ 4,179,858"",Active,F,23,Sweden,Tottenham,,"
"Antony,,""$ 73,725"",""$ 3,833,700"",,""$ 3,833,700"",""$ 3,980,817"",Active,F,23,Brazil,Manchester United,,"
"Eberechi Eze,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,25,England,Crystal Palace,,"
"Levi Colwill,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,20,England,Chelsea,,"
"Pau Torres,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,27,Spain,Aston Villa,,"
"Dele Alli,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,27,England,Everton,,"
"Pierre-Emile Højbjerg,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,M,28,Denmark,Tottenham,,"
"James Tarkowski,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,31,England,Everton,,"
"Takehiro Tomiyasu,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,25,Japan,Arsenal,,"
"Ederson,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,K,30,Brazil,Manchester City,,"
"Eddie Nketiah,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,24,England,Arsenal,,"
"Reiss Nelson,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,24,England,Arsenal,,"
"Edson Álvarez,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,M,26,Mexico,West Ham,,"
"Michael Olise,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,22,France,Crystal Palace,,"
"Gabriel Magalhães,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,26,Brazil,Arsenal,,"
"Diego Carlos,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,30,Brazil,Aston Villa,,"
"Matt Targett,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,28,England,Newcastle,,"
"Joel Matip,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,32,Cameroon,Liverpool,,"
"Mykhailo Mudryk,,""$ 70,285"",""$ 3,654,794"",""$ 1,098,994"",""$ 4,753,788"",""$ 4,936,213"",Active,F,23,Ukraine,Chelsea,,"
"Dean Henderson,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,K,26,England,Crystal Palace,,"
"Tyrone Mings,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,D,30,England,Aston Villa,,"
"Raúl Jiménez,,""$ 70,285"",""$ 3,654,794"",""$ 728,403"",""$ 4,383,197"",""$ 4,551,401"",Active,F,32,Mexico,Fulham,,"
"Carney Chukwuemeka,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,M,20,England,Chelsea,,"
"Amadou Onana,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,M,22,Belgium,Everton,,"
"Julián Álvarez,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,24,Argentina,Manchester City,,"
"Dominic Calvert-Lewin,,""$ 70,285"",""$ 3,654,794"",,""$ 3,654,794"",""$ 3,795,046"",Active,F,26,England,Everton,,"
"Emerson,,""$ 66,844"",""$ 3,475,888"",,""$ 3,475,888"",""$ 3,609,274"",Active,D,29,Italy,West Ham,,"
"Jack Harrison,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Loan,F,27,England,Everton,,"
"Richarlison,,""$ 63,158"",""$ 3,284,203"",""$ 1,456,806"",""$ 4,741,009"",""$ 4,922,944"",Active,F,26,Brazil,Tottenham,,"
"Aaron Wan-Bissaka,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,D,26,England,Manchester United,,"
"Tomas Soucek,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,M,28,Czech Republic,West Ham,,"
"Odsonne Edouard,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,F,26,France,Crystal Palace,,"
"Willian,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,F,35,Brazil,Fulham,,"
"Pablo Sarabia,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,F,31,Spain,Wolverhampton,,"
"Stefan Ortega Moreno,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,K,31,Germany,Manchester City,,"
"Donny van de Beek,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Inactive,M,26,Netherlands,Manchester United,,"
"Benoît Badiashile,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,D,22,France,Chelsea,,"
"Adam Lallana,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,F,35,England,Brighton,,"
"Leandro Trossard,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,F,29,Belgium,Arsenal,,"
"Sven Botman,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,D,24,Netherlands,Newcastle,,"
