"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kevin De Bruyne,,""$ 273,636"",""$ 14,229,072"",,""$ 14,229,072"",""$ 15,269,144"",Active,F,31,Belgium,Manchester City,,"
"Mason Greenwood,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,F,21,England,Manchester United,,"
"Ben Godfrey,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,D,25,England,Everton,,"
"Wilfred Ndidi,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,M,26,Nigeria,Leicester,,"
"Georginio Rutter,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,F,20,France,Leeds,,"
"Issa Diop,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,D,26,France,Fulham,,"
"Angelo Ogbonna,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,D,34,Italy,West Ham,,"
"Ibrahima Konaté,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,D,23,France,Liverpool,,"
"Allan Saint-Maximin,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,F,25,France,Newcastle,,"
"Alex Iwobi,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,F,26,Nigeria,Everton,,"
"Joe Aribo,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,F,26,Nigeria,Southampton,,"
"Aaron Hickey,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,D,20,Scotland,Brentford,,"
"Jannik Vestergaard,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,D,30,Denmark,Leicester,,"
"Mason Holgate,,""$ 47,838"",""$ 2,487,600"",""$ 708,966"",""$ 3,196,566"",""$ 3,430,219"",Active,D,26,England,Everton,,"
"Manuel Lanzini,,""$ 47,838"",""$ 2,487,600"",""$ 708,966"",""$ 3,196,566"",""$ 3,430,219"",Active,F,29,Argentina,West Ham,,"
"Patrick Bamford,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,F,29,England,Leeds,,"
"Jacob Ramsey,,""$ 47,838"",""$ 2,487,600"",,""$ 2,487,600"",""$ 2,669,431"",Active,M,21,England,Aston Villa,,"
"Luis Sinisterra,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,F,23,Colombia,Leeds,,"
"Timothy Castagne,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,D,27,Belgium,Leicester,,"
"Maxwel Cornet,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,F,26,Cote d'Ivoire,West Ham,,"
"Lukasz Fabianski,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,K,37,Poland,West Ham,,"
"Stuart Armstrong,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,M,30,Scotland,Southampton,,"
"Pablo Fornals,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,F,26,Spain,West Ham,,"
"Nathaniel Phillips,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,D,25,England,Liverpool,,"
"Davinson Sánchez,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,D,26,Colombia,Tottenham,,"
"Pascal Groß,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,M,31,Germany,Brighton,,"
"Brandon Williams,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,D,22,England,Manchester United,,"
"Tomas Soucek,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,M,27,Czech Republic,West Ham,,"
"Moussa Djenepo,,""$ 44,490"",""$ 2,313,468"",,""$ 2,313,468"",""$ 2,482,571"",Active,F,24,Mali,Southampton,,"
"Sasa Lukic,,""$ 43,055"",""$ 2,238,840"",,""$ 2,238,840"",""$ 2,402,488"",Active,M,26,Serbia,Fulham,,"
"Nick Pope,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,K,30,England,Newcastle,,"
"Scott McTominay,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,M,26,Scotland,Manchester United,,"
"Reiss Nelson,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,F,23,England,Arsenal,,"
"Cheick Doucouré,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,M,23,Mali,Crystal Palace,,"
"Anthony Gordon,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,F,21,England,Newcastle,,"
"Jarrod Bowen,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,F,26,England,West Ham,,"
"Matheus Cunha,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Loan,F,23,Brazil,Wolverhampton,,"
"Daniel Podence,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,F,27,Portugal,Wolverhampton,,"
"Adrián,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,K,36,Spain,Liverpool,,"
"Declan Rice,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,M,24,England,West Ham,,"
"James Milner,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,M,37,England,Liverpool,,"
"Miguel Almirón,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,F,28,Paraguay,Newcastle,,"
"Moisés Caicedo,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,M,21,Ecuador,Brighton,,"
"Junior Firpo,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,D,26,Dominican Republic,Leeds,,"
"Renan Lodi,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Loan,D,24,Brazil,Nottingham Forest,,"
"Jan Bednarek,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,D,26,Poland,Southampton,,"
"Mohamed Elyounoussi,,""$ 41,141"",""$ 2,139,336"",,""$ 2,139,336"",""$ 2,295,710"",Active,F,28,Norway,Southampton,,"
"Vitaliy Mykolenko,,""$ 39,706"",""$ 2,064,708"",,""$ 2,064,708"",""$ 2,215,628"",Active,D,23,Ukraine,Everton,,"
"Jakub Kiwior,,""$ 39,706"",""$ 2,064,708"",,""$ 2,064,708"",""$ 2,215,628"",Active,D,22,Poland,Arsenal,,"
"Chris Richards,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,22,United States,Crystal Palace,,"
"Takehiro Tomiyasu,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,24,Japan,Arsenal,,"
"Jairo Riedewald,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,26,Netherlands,Crystal Palace,,"
"Seamus Coleman,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,34,Ireland,Everton,,"
"Nampalys Mendy,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,30,Senegal,Leicester,,"
"Boubacar Traoré,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Loan,M,21,Mali,Wolverhampton,,"
"Adama Traoré,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,F,27,Spain,Wolverhampton,,"
"Ryan Sessegnon,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,22,England,Tottenham,,"
"Tyler Adams,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,23,United States,Leeds,,"
"Ben Mee,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,33,England,Brentford,,"
"Adam Armstrong,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,F,25,England,Southampton,,"
"Danny Welbeck,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,F,32,England,Brighton,,"
"Ibrahima Diallo,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,23,France,Southampton,,"
"Adam Webster,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,28,England,Brighton,,"
"James McArthur,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,35,Scotland,Crystal Palace,,"
"Mohamed Elneny,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,30,Egypt,Arsenal,,"
"Stefan Ortega Moreno,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,K,30,Germany,Manchester City,,"
"Yves Bissouma,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,26,Mali,Tottenham,,"
"Conor Coady,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Loan,D,29,England,Everton,,"
"Saïd Benrahma,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,F,27,Algeria,West Ham,,"
"Luis Díaz,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,F,26,Colombia,Liverpool,,"
"Emil Krafth,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,28,Sweden,Newcastle,,"
"Dan Burn,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,D,31,England,Newcastle,,"
"Edouard Mendy,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,K,30,Senegal,Chelsea,,"
"Jefferson Lerma,,""$ 37,553"",""$ 1,952,766"",,""$ 1,952,766"",""$ 2,095,503"",Active,M,28,Colombia,Bournemouth,,"
"Alejandro Garnacho,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,18,Argentina,Manchester United,,"
"Ashley Young,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,37,England,Aston Villa,,"
"Calum Chambers,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,28,England,Aston Villa,,"
"Robin Olsen,,""$ 34,205"",""$ 1,778,634"",""$ 1,069,668"",""$ 2,848,302"",""$ 3,056,498"",Active,K,33,Sweden,Aston Villa,,"
"David Brooks,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,25,Wales,Bournemouth,,"
"Dominic Solanke,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,25,England,Bournemouth,,"
"Marcos Senesi,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,25,Argentina,Bournemouth,,"
"Neto,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,K,33,Brazil,Bournemouth,,"
"Ryan Christie,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,27,Scotland,Bournemouth,,"
"Mathias Jensen,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,27,Denmark,Brentford,,"
"Alexis Mac Allister,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,24,Argentina,Brighton,,"
"Pervis Estupiñán,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,25,Ecuador,Brighton,,"
"Solly March,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,28,England,Brighton,,"
"Conor Gallagher,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,22,England,Chelsea,,"
"Noni Madueke,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,20,England,Chelsea,,"
"Trevoh Chalobah,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,23,England,Chelsea,,"
"Albert Sambi Lokonga,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Loan,M,23,Belgium,Crystal Palace,,"
"James Tomkins,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,33,England,Crystal Palace,,"
"Jean-Philippe Mateta,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,25,France,Crystal Palace,,"
"Jeffrey Schlupp,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,30,Ghana,Crystal Palace,,"
"Marc Guéhi,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,22,England,Crystal Palace,,"
"Neal Maupay,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,26,France,Everton,,"
"Andreas Pereira,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,27,Brazil,Fulham,,"
"Daniel James,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Loan,F,25,Wales,Fulham,,"
"João Palhinha,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,27,Portugal,Fulham,,"
"Kenny Tete,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,27,Netherlands,Fulham,,"
"Willian,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,34,Brazil,Fulham,,"
"Marc Roca,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,26,Spain,Leeds,,"
"Pascal Struijk,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,23,Netherlands,Leeds,,"
"Tetê,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Loan,F,22,Brazil,Leicester,,"
"Wout Faes,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,24,Belgium,Leicester,,"
"Konstantinos Tsimikas,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,26,Greece,Liverpool,,"
"Sergio Gómez,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,22,Spain,Manchester City,,"
"Sean Longstaff,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,25,England,Newcastle,,"
"Neco Williams,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,21,Wales,Nottingham Forest,,"
"Serge Aurier,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,30,Cote d'Ivoire,Nottingham Forest,,"
"Taiwo Awoniyi,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,25,Nigeria,Nottingham Forest,,"
"Alex McCarthy,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,K,33,England,Southampton,,"
"Aaron Cresswell,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,33,England,West Ham,,"
"Nayef Aguerd,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,D,26,Morocco,West Ham,,"
"Diego Costa,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,34,Spain,Wolverhampton,,"
"Pedro Neto,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,F,22,Portugal,Wolverhampton,,"
"Rúben Neves,,""$ 34,205"",""$ 1,778,634"",,""$ 1,778,634"",""$ 1,908,643"",Active,M,25,Portugal,Wolverhampton,,"
"Callum Wilson,,""$ 31,573"",""$ 1,641,816"",,""$ 1,641,816"",""$ 1,761,824"",Active,F,30,England,Newcastle,,"
"Cheikhou Kouyaté,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,M,33,Senegal,Nottingham Forest,,"
"Tom Heaton,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,K,36,England,Manchester United,,"
"Michael Olise,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,M,21,France,Crystal Palace,,"
"Caglar Söyüncü,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,D,26,Turkey,Leicester,,"
"Stuart Dallas,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,D,31,Northern Ireland,Leeds,,"
"Mario Lemina,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,M,29,Gabon,Wolverhampton,,"
"Craig Dawson,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,D,32,England,Wolverhampton,,"
"Keinan Davis,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Inactive,F,24,England,Aston Villa,,"
"Hamed Junior Traorè,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Loan,F,22,Cote d'Ivoire,Bournemouth,,"
"Jack Stephens,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Loan,D,29,England,Bournemouth,,"
"Brenden Aaronson,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,F,22,United States,Leeds,,"
"Bryan Mbeumo,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,F,23,Cameroon,Brentford,,"
"Arnaut Danjuma,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Loan,F,26,Netherlands,Tottenham,,"
"Fábio Vieira,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,F,22,Portugal,Arsenal,,"
"Moussa Niakhaté,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,D,26,Senegal,Nottingham Forest,,"
"André Ayew,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,F,33,Ghana,Nottingham Forest,,"
"Matt Ritchie,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,M,33,Scotland,Newcastle,,"
"Jamal Lewis,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,D,25,Northern Ireland,Newcastle,,"
"Asmir Begovic,,""$ 30,856"",""$ 1,604,502"",,""$ 1,604,502"",""$ 1,721,783"",Active,K,35,Bosnia-Herzegovina,Everton,,"
"Ryan Fraser,,""$ 28,703"",""$ 1,492,560"",,""$ 1,492,560"",""$ 1,601,658"",Active,F,28,Scotland,Newcastle,,"
"Martin Dubravka,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,K,34,Slovakia,Newcastle,,"
"Philip Billing,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,M,26,Denmark,Bournemouth,,"
"Armando Broja,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,21,Albania,Chelsea,,"
"Oliver Skipp,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,M,22,England,Tottenham,,"
"Tosin Adarabioyo,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,25,England,Fulham,,"
"Emerson,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,24,Brazil,Tottenham,,"
"Andros Townsend,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,31,England,Everton,,"
"Kamaldeen Sulemana,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,20,Ghana,Southampton,,"
"Shane Duffy,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,31,Ireland,Fulham,,"
"Duje Caleta-Car,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,26,Croatia,Southampton,,"
"Emile Smith Rowe,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,22,England,Arsenal,,"
"Willy Boly,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,31,Cote d'Ivoire,Nottingham Forest,,"
"Harvey Elliott,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,19,England,Liverpool,,"
"Remo Freuler,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,M,30,Switzerland,Nottingham Forest,,"
"Jamaal Lascelles,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,29,England,Newcastle,,"
"Gabriel Slonina,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,K,18,United States,Chelsea,,"
"Sam Johnstone,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,K,29,England,Crystal Palace,,"
"Harvey Barnes,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,25,England,Leicester,,"
"Emmanuel Dennis,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,25,Nigeria,Nottingham Forest,,"
"Carlos Vinícius,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,27,Brazil,Fulham,,"
"Fábio Carvalho,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,F,20,Portugal,Liverpool,,"
"William Saliba,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,21,France,Arsenal,,"
"Rob Holding,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,27,England,Arsenal,,"
"Joël Veltman,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,31,Netherlands,Brighton,,"
"Robin Koch,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,26,Germany,Leeds,,"
"Tyrick Mitchell,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,23,England,Crystal Palace,,"
"Rasmus Kristensen,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,25,Denmark,Leeds,,"
"Danny Ward,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,K,29,Wales,Leicester,,"
"Harry Souttar,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,24,Australia,Leicester,,"
"Stefan Bajcetic,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,M,18,Spain,Liverpool,,"
"Lewis Cook,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,M,25,England,Bournemouth,,"
"Fabian Schär,,""$ 27,268"",""$ 1,417,932"",,""$ 1,417,932"",""$ 1,521,576"",Active,D,31,Switzerland,Newcastle,,"
"Matías Viña,,""$ 26,072"",""$ 1,355,742"",,""$ 1,355,742"",""$ 1,454,840"",Loan,D,25,Uruguay,Bournemouth,,"
"Alex Telles,,""$ 25,594"",""$ 1,330,866"",,""$ 1,330,866"",""$ 1,428,145"",Inactive,D,30,Brazil,Manchester United,,"
"Vladimir Coufal,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,D,30,Czech Republic,West Ham,,"
"Maximilian Wöber,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,D,24,Austria,Leeds,,"
"Harry Wilson,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,F,25,Wales,Fulham,,"
"Bobby Reid,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,F,29,Jamaica,Fulham,,"
"Jack Butland,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Loan,K,29,England,Manchester United,,"
"Will Hughes,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,M,27,England,Crystal Palace,,"
"Jordan Ayew,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,F,31,Ghana,Crystal Palace,,"
"Wout Weghorst,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Loan,F,30,Netherlands,Manchester United,,"
"Joel Ward,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,D,33,England,Crystal Palace,,"
"Marcus Bettinelli,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,K,30,England,Chelsea,,"
"Jacob Murphy,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,F,27,England,Newcastle,,"
"Javier Manquillo,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,D,28,Spain,Newcastle,,"
"Tariq Lamptey,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,D,22,Ghana,Brighton,,"
"Paul Dummett,,""$ 23,919"",""$ 1,243,800"",,""$ 1,243,800"",""$ 1,334,715"",Active,D,31,Wales,Newcastle,,"
