Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Nicola Zalewski,Roma,6.59,2210,2.0,1.0,26(7)
Alessandro Zanoli,Sampdoria,6.59,1539,2.0,2.0,16(6)
Federico Chiesa,Juventus,6.59,843,2.0,5.0,6(15)
Weston McKennie,Juventus,6.59,1060,1.0,1.0,13(2)
Alexis SaelemaekersAC,Milan,6.59,1399,2.0,3.0,14(16)
Rémi Oudin,Lecce,6.59,1315,3.0,,12(19)
Pierre KaluluAC,Milan,6.59,2544,1.0,,26(8)
Andrea Cambiaso,Bologna,6.58,2172,,3.0,25(7)
Juan Musso,Atalanta,6.58,2078,,,24
Bartlomiej Dragowski,Spezia,6.58,2948,,1.0,34
Diego Llorente,Roma,6.58,574,,,5(4)
Sasa Lukic,Torino,6.58,1195,2.0,,13(3)
Jonathan Ikoné,Fiorentina,6.58,2012,4.0,4.0,24(9)
Jean-Daniel Akpa Akpro,Empoli,6.58,1364,1.0,1.0,16(8)
Vanja Milinkovic-Savic,Torino,6.58,3420,,,38
Luca D'Andrea,Sassuolo,6.58,321,,1.0,5
Frank Tsadjout,Cremonese,6.58,1057,3.0,1.0,14(6)
Aleksa Terzic,Fiorentina,6.58,929,1.0,1.0,8(14)
Matteo Ruggeri,Atalanta,6.57,823,,1.0,8(7)
Merih Demiral,Atalanta,6.57,1525,1.0,,14(14)
Denso Kasius,Bologna,6.57,343,,2.0,4(3)
Ruslan Malinovskyi,Atalanta,6.57,548,1.0,2.0,5(10)
Pawel Dawidowicz,Verona,6.57,1636,1.0,1.0,20(3)
Matheus Henrique,Sassuolo,6.57,1951,4.0,1.0,21(9)
Manuel Lazzari,Lazio,6.56,1888,,,23(6)
Fodé Ballo-TouréAC,Milan,6.56,518,1.0,,5(5)
Lorenzo Pirola,Salernitana,6.56,1949,2.0,,23(3)
Cyril Ngonge,Verona,6.56,747,3.0,1.0,9(5)
Manolo Gabbiadini,Sampdoria,6.56,2369,7.0,2.0,27(8)
Mile Svilar,Roma,6.56,270,,,3
Alessandro FlorenziAC,Milan,6.56,200,,,2(4)
Samuele Perisan,Empoli,6.55,630,,,7
Marco Silvestri,Udinese,6.55,3420,,,38
Luka Lochoshvili,Cremonese,6.55,1850,1.0,2.0,22(3)
Ondrej Duda,Verona,6.55,1066,,,11(4)
Cristian Volpato,Roma,6.55,224,1.0,1.0,2(5)
Rogério,Sassuolo,6.55,2999,,3.0,34(2)
Leonardo Spinazzola,Roma,6.55,1656,1.0,4.0,18(8)
Filippo Bandinelli,Empoli,6.55,2284,2.0,,28(7)
Luca Ranieri,Fiorentina,6.55,505,,,5(4)
Tommaso Baldanzi,Empoli,6.55,1789,4.0,,24(2)
Alex Ferrari,Cremonese,6.54,1014,,,13(3)
Isaac Success,Udinese,6.54,1821,1.0,6.0,21(9)
Marco Sportiello,Atalanta,6.54,1340,,,14(1)
Andrea Colpani,Monza,6.54,944,4.0,1.0,10(17)
Gaetano Castrovilli,Fiorentina,6.54,717,2.0,1.0,7(8)
James Abankwah,Udinese,6.54,63,,,1(1)
Santiago Ascacíbar,Cremonese,6.54,728,,,7(6)
Jeroen Zoet,Spezia,6.54,335,,,4(1)
Caleb Okoli,Atalanta,6.54,953,,,9(8)
Matías Vecino,Lazio,6.54,1685,2.0,,17(15)
Francesco Caputo,Empoli,6.54,1719,5.0,4.0,20(1)
Mouhamadou Sarr,Cremonese,6.54,180,,,2
Fabio Depaoli,Sampdoria,6.53,134,,,1(2)
Charalampos Lykogiannis,Bologna,6.53,1105,2.0,,11(10)
Flavius Daniliuc,Salernitana,6.53,2195,,2.0,23(4)
Kevin Agudelo,Spezia,6.53,2140,,1.0,23(11)
Nadir Zortea,Atalanta,6.53,214,1.0,,1(8)
Mehdi Bourabia,Spezia,6.53,2796,1.0,3.0,36(1)
Elseid Hysaj,Lazio,6.53,1992,1.0,1.0,22(12)
Antonino Gallo,Lecce,6.53,2486,,1.0,28(4)
Luka Jovic,Fiorentina,6.53,1529,6.0,3.0,16(15)
Nicolò Fagioli,Juventus,6.53,1523,3.0,3.0,17(9)
Tommaso Augello,Sampdoria,6.52,3068,2.0,5.0,35(2)
Soualiho Meïté,Cremonese,6.52,2372,,2.0,28(3)
Valentino Lazaro,Torino,6.52,1377,,3.0,15(8)
Mario Pasalic,Atalanta,6.52,1789,5.0,2.0,24(8)
Andrea Petagna,Monza,6.51,1671,4.0,5.0,19(12)
Omar Colley,Sampdoria,6.51,1385,1.0,,15(1)
Przemyslaw Wisniewski,Spezia,6.51,1000,1.0,,11(3)
Pietro Terracciano,Fiorentina,6.51,2610,,,29
Simon KjærAC,Milan,6.51,1012,,,12(5)
Arkadiusz Reca,Spezia,6.51,2171,1.0,1.0,24(6)
Alberto Grassi,Empoli,6.51,1193,,,14(11)
Matteo Bianchetti,Cremonese,6.51,2130,1.0,,22(3)
Maxime Lopez,Sassuolo,6.51,2297,,,25(5)
Duván Zapata,Atalanta,6.51,1393,2.0,2.0,16(9)
Joakim Mæhle,Atalanta,6.5,2214,3.0,3.0,25(9)
Emanuel Aiwu,Cremonese,6.5,1653,,,17(6)
Bartosz Bereszynski,Napoli,6.5,165,,1.0,2(1)
Matías Soulé,Juventus,6.5,415,1.0,,4(9)
Nicola Sansone,Bologna,6.5,740,4.0,2.0,8(10)
Luis Muriel,Atalanta,6.5,1071,3.0,3.0,10(19)
Giangiacomo Magnani,Verona,6.5,1535,,1.0,19(5)
Koffi Djidji,Torino,6.5,2422,1.0,,26(8)
Nadir Zortea,Sassuolo,6.5,655,,1.0,7(3)
Gianluca Caprari,Monza,6.5,2466,5.0,2.0,32(5)
Leonardo Bonucci,Juventus,6.5,878,1.0,,10(7)
Josh Doig,Verona,6.5,1359,2.0,3.0,15(7)
Sam Lammers,Empoli,6.49,886,1.0,1.0,10(4)
Nemanja Radonjic,Torino,6.49,1458,2.0,2.0,16(12)
Sebastian Walukiewicz,Empoli,6.49,601,,,6(5)
Adama Soumaoro,Bologna,6.49,1873,,,22(1)
Bruno Amione,Sampdoria,6.49,2093,1.0,1.0,25(1)
Josip Brekalo,Fiorentina,6.49,228,,,1(5)
Grigoris Kastanos,Salernitana,6.49,1280,2.0,1.0,13(15)
Adam Masina,Udinese,6.49,785,2.0,,8(6)
Roberto Soriano,Bologna,6.48,1326,1.0,3.0,15(12)
Zeki Çelik,Roma,6.48,1503,,1.0,16(8)
Federico Ceccherini,Verona,6.48,1431,2.0,,18(4)
Pablo Galdames,Cremonese,6.48,740,1.0,2.0,10(3)
Mërgim Vojvoda,Torino,6.48,1717,,5.0,18(11)
Luca Caldirola,Monza,6.48,2360,2.0,,27(4)
Marco Benassi,Fiorentina,6.48,93,,,1(1)
Enzo Barrenechea,Juventus,6.47,161,,,3
Riccardo Saponara,Fiorentina,6.47,1207,4.0,3.0,14(15)
Marco Benassi,Cremonese,6.47,996,,,11(4)
Emanuele Valeri,Cremonese,6.47,2791,2.0,3.0,31(6)
Igor Julio,Fiorentina,6.47,2060,,,23(4)
Oliver Abildgaard,Verona,6.47,584,,,6(7)
Kingsley Ehizibue,Udinese,6.47,1534,2.0,,16(11)
Tonny Vilhena,Salernitana,6.46,2275,4.0,1.0,27(6)
Ante RebicAC,Milan,6.46,977,3.0,2.0,10(13)
Bram Nuytinck,Udinese,6.46,382,,,3(3)
Danilo D'Ambrosio,Inter,6.46,733,,2.0,8(7)
Sofyan Amrabat,Fiorentina,6.46,2007,,1.0,24(5)
Harry Winks,Sampdoria,6.46,1719,,,19(1)
Kevin Bonifazi,Bologna,6.45,901,,,9(4)
Rui Patrício,Roma,6.45,3150,,,35
Alex Cordaz,Inter,6.45,25,,,0(1)
Michele Castagnetti,Cremonese,6.45,1415,,1.0,14(13)
Jayden Braaf,Verona,6.45,289,,,2(4)
Kelvin Amian,Spezia,6.44,2374,,1.0,26(4)
Joshua Zirkzee,Bologna,6.44,809,2.0,2.0,5(14)
Milan Skriniar,Inter,6.44,1770,,,20(1)
Abdelhamid Sabiri,Sampdoria,6.44,1071,2.0,,12(6)
Filip Djuricic,Sampdoria,6.44,2186,3.0,,27(5)
Daniel Maldini,Spezia,6.44,622,2.0,,4(14)
Tommaso De Nipoti,Atalanta,6.44,2,,,0(1)
Robin Gosens,Inter,6.44,1168,3.0,,11(21)
William Troost-Ekong,Salernitana,6.44,441,1.0,,4(5)
Giacomo Raspadori,Napoli,6.44,903,2.0,2.0,10(15)
Bartosz Bereszynski,Sampdoria,6.43,1203,,,15
Sam Lammers,Sampdoria,6.43,1103,1.0,1.0,13(6)
Salvatore Esposito,Spezia,6.43,971,1.0,,10(5)
Liberato Cacace,Empoli,6.43,581,,,5(7)
Assan Ceesay,Lecce,6.43,1818,6.0,,20(14)
Davide Faraoni,Verona,6.42,1493,2.0,3.0,19(4)
Karol Linetty,Torino,6.42,1888,1.0,,22(10)
Paul Pogba,Juventus,6.42,108,,,1(5)
Marcos Antônio,Lazio,6.42,587,1.0,1.0,6(10)
Petar Stojanovic,Empoli,6.42,1528,,1.0,16(11)
Koray Günter,Sampdoria,6.42,776,,,8(2)
Koni De Winter,Empoli,6.42,1022,,,12(2)
Tommaso PobegaAC,Milan,6.42,877,2.0,,9(10)
Yann Karamoh,Torino,6.42,710,4.0,,7(14)
Zlatan IbrahimovicAC,Milan,6.42,144,1.0,,1(3)
Leandro Paredes,Juventus,6.41,969,1.0,,8(17)
Nedim Bajrami,Sassuolo,6.41,816,1.0,,7(11)
Filippo Ranocchia,Monza,6.41,528,1.0,,5(9)
Adrien Tamèze,Verona,6.41,3038,,,35(2)
Sergiño DestAC,Milan,6.41,328,,,2(6)
