"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Robert Lewandowski,,""$ 270,553"",""$ 14,068,743"",,""$ 14,068,743"",""$ 14,444,815"",Active,F,35,Poland,Barcelona,,"
"Carles Pérez,,""$ 25,598"",""$ 1,331,120"",,""$ 1,331,120"",""$ 1,366,702"",Active,F,25,Spain,Celta Vigo,,"
"Çağlar Söyüncü,,""$ 24,974"",""$ 1,298,653"",""$ 519,461"",""$ 1,818,114"",""$ 1,866,715"",Inactive,D,27,Turkey,Atletico Madrid,,"
"Joselu,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,333,368"",Loan,F,33,Spain,Real Madrid,,"
"David Soria,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,333,368"",Active,K,30,Spain,Getafe,,"
"Artem Dovbyk,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,333,368"",Active,F,26,Ukraine,Girona,,"
"Germán Pezzella,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,333,368"",Active,D,32,Argentina,Real Betis,,"
"Vicente Guaita,,""$ 23,934"",""$ 1,244,543"",,""$ 1,244,543"",""$ 1,277,811"",Active,K,37,Spain,Celta Vigo,,"
"Juanmi,,""$ 23,934"",""$ 1,244,543"",,""$ 1,244,543"",""$ 1,277,811"",Active,F,30,Spain,Cadiz,,"
"Hamari Traoré,,""$ 23,934"",""$ 1,244,543"",,""$ 1,244,543"",""$ 1,277,811"",Active,D,32,Mali,Real Sociedad,,"
"Yeray Álvarez,,""$ 23,934"",""$ 1,244,543"",,""$ 1,244,543"",""$ 1,277,811"",Active,D,29,Spain,Athletic Club,,"
"William Carvalho,,""$ 23,517"",""$ 1,222,898"",,""$ 1,222,898"",""$ 1,255,588"",Active,M,31,Portugal,Real Betis,,"
"Óliver Torres,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,222,254"",Active,M,29,Spain,Sevilla,,"
"Sergio Ramos,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,222,254"",Active,D,37,Spain,Sevilla,,"
"Isaac Romero,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,222,254"",Active,F,24,Spain,Sevilla,,"
"Sokratis,,""$ 22,893"",""$ 1,190,432"",,""$ 1,190,432"",""$ 1,222,254"",Active,D,35,Greece,Real Betis,,"
"Iker Muniain,,""$ 22,060"",""$ 1,147,144"",,""$ 1,147,144"",""$ 1,177,808"",Active,F,31,Spain,Athletic Club,,"
"Willian José,,""$ 22,060"",""$ 1,147,144"",,""$ 1,147,144"",""$ 1,177,808"",Active,F,32,Brazil,Real Betis,,"
"Jaime Mata,,""$ 21,436"",""$ 1,114,677"",,""$ 1,114,677"",""$ 1,144,474"",Active,F,35,Spain,Getafe,,"
"Filip Jørgensen,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,K,22,Denmark,Villarreal,,"
"Umar Sadiq,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,F,27,Nigeria,Real Sociedad,,"
"Pablo Barrios,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,M,20,Spain,Atletico Madrid,,"
"Marc Bartra,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,D,33,Spain,Real Betis,,"
"Raúl García,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,F,37,Spain,Athletic Club,,"
"Mikel Vesga,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,M,30,Spain,Athletic Club,,"
"Aritz Elustondo,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,D,29,Spain,Real Sociedad,,"
"Gorka Guruzeta,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,F,27,Spain,Athletic Club,,"
"Aitor Paredes,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,D,23,Spain,Athletic Club,,"
"Chimy Ávila,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,F,29,Argentina,Real Betis,,"
"Luís Maximiano,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Loan,K,25,Portugal,Almeria,,"
"Miguel Crespo,,""$ 20,812"",""$ 1,082,211"",""$ 541,106"",""$ 1,623,316"",""$ 1,666,709"",Loan,M,27,Portugal,Rayo Vallecano,,"
"Hugo Duro,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,F,24,Spain,Valencia,,"
"Luis Milla,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,M,29,Spain,Getafe,,"
"Nemanja Maksimovic,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,M,29,Serbia,Getafe,,"
"Isi Palazón,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,F,29,Spain,Rayo Vallecano,,"
"Florian Lejeune,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,D,32,France,Rayo Vallecano,,"
"Lucas Torró,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,111,140"",Active,M,29,Spain,Osasuna,,"
"Juan Foyth,,""$ 19,979"",""$ 1,038,923"",,""$ 1,038,923"",""$ 1,066,694"",Active,D,26,Argentina,Villarreal,,"
"Álex Baena,,""$ 19,979"",""$ 1,038,923"",,""$ 1,038,923"",""$ 1,066,694"",Active,F,22,Spain,Villarreal,,"
"Fran Beltrán,,""$ 19,979"",""$ 1,038,923"",,""$ 1,038,923"",""$ 1,066,694"",Active,M,24,Spain,Celta Vigo,,"
"Hugo Guillamón,,""$ 19,147"",""$ 995,634"",,""$ 995,634"",""$ 1,022,248"",Active,M,24,Spain,Valencia,,"
"Rafa Mir,,""$ 18,939"",""$ 984,812"",,""$ 984,812"",""$ 1,011,137"",Active,F,26,Spain,Sevilla,,"
"Étienne Capoue,,""$ 18,939"",""$ 984,812"",,""$ 984,812"",""$ 1,011,137"",Active,M,35,France,Villarreal,,"
"Jorge de Frutos,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 1,000,026"",Active,F,26,Spain,Rayo Vallecano,,"
"Óscar Valentín,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 1,000,026"",Active,M,29,Spain,Rayo Vallecano,,"
"Portu,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 1,000,026"",Active,F,31,Spain,Girona,,"
"Dimitri Foulquier,,""$ 18,731"",""$ 973,990"",,""$ 973,990"",""$ 1,000,026"",Active,D,30,Guadeloupe,Valencia,,"
"Máximo Perrone,,""$ 18,314"",""$ 952,346"",,""$ 952,346"",""$ 977,803"",Loan,M,21,Argentina,Las Palmas,,"
"Jesús Vallejo,,""$ 17,898"",""$ 930,701"",,""$ 930,701"",""$ 955,580"",Loan,D,27,Spain,Granada,,"
"Gonzalo Escalante,,""$ 17,898"",""$ 930,701"",,""$ 930,701"",""$ 955,580"",Active,M,30,Argentina,Cadiz,,"
