"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Yarek Gasiorowski,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,20,Spain,Valencia,,"
"Álex Muñoz,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,30,Spain,Las Palmas,,"
"Williot Swedberg,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,21,Sweden,Celta Vigo,,"
"Allan Nyom,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,36,Cameroon,Getafe,,"
"Alberto Moleiro,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,21,Spain,Las Palmas,,"
"Fran Pérez,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,22,Spain,Valencia,,"
"Juan Soriano,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,27,Spain,Leganes,,"
"Jiri Letacek,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,26,Czech Republic,Getafe,,"
"Pathé Ciss,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,M,30,Senegal,Rayo Vallecano,,"
"Karl Hein,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,K,22,Estonia,Valladolid,,"
"Matija Nastasić,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,31,Serbia,Leganes,,"
"Álvaro Tejero,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,28,Spain,Espanyol,,"
"Rodrigo Riquelme,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,24,Spain,Atletico Madrid,,"
"Bertuğ Yıldırım,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Loan,F,22,Turkey,Getafe,,"
"Chiquinho,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Loan,F,25,Portugal,Mallorca,,"
"Ilias Akhomach,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Active,F,20,Morocco,Villarreal,,"
"Sergio Carreira,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Active,D,24,Spain,Celta Vigo,,"
"Juanpe,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Active,D,33,Spain,Girona,,"
"Cenk Özkacar,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Loan,D,24,Turkey,Valladolid,,"
"Brian Oliván,,""$ 5,656"",""$ 294,096"",,""$ 294,096"",""$ 294,096"",Active,D,30,Spain,Espanyol,,"
"Unai García,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,33,Spain,Osasuna,,"
"Abdul Mumin,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,26,Ghana,Rayo Vallecano,,"
"Manu Fuster,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,27,Spain,Las Palmas,,"
"Dinko Horkas,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,25,Croatia,Las Palmas,,"
"Andy Pelmard,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Loan,D,24,France,Las Palmas,,"
"Jhon Solís,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,20,Colombia,Girona,,"
"Peter Federico,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,22,Dominican Republic,Getafe,,"
"Juan Cruz,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,24,Spain,Leganes,,"
"Juan Berrocal,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,26,Spain,Getafe,,"
"Álvaro Rodríguez,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Loan,F,20,Uruguay,Getafe,,"
"Pau Navarro,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,19,Spain,Villarreal,,"
"Marko Dmitrovic,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,33,Serbia,Leganes,,"
"Luis Pérez,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,30,Spain,Valladolid,,"
"Tamás Nikitscher,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,25,Hungary,Valladolid,,"
"Darko Brasanac,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,32,Serbia,Leganes,,"
"Sergi Guardiola,,""$ 5,221"",""$ 271,473"",,""$ 271,473"",""$ 271,473"",Active,F,33,Spain,Rayo Vallecano,,"
"Enric Franquesa,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Active,D,27,Spain,Leganes,,"
"José Gragera,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Active,M,24,Spain,Espanyol,,"
"Dário Essugo,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Loan,M,19,Portugal,Las Palmas,,"
"Selim Amallah,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,F,28,Morocco,Valladolid,,"
"Aridane Hernández,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,D,35,Spain,Rayo Vallecano,,"
"Carlos Romero,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Loan,D,23,Spain,Espanyol,,"
"Daniel Raba,,""$ 4,568"",""$ 237,539"",,""$ 237,539"",""$ 237,539"",Active,F,29,Spain,Leganes,,"
"Miguel de la Fuente,,""$ 4,568"",""$ 237,539"",,""$ 237,539"",""$ 237,539"",Active,F,25,Spain,Leganes,,"
"Diego García,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,24,Spain,Leganes,,"
"Pablo Durán,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,23,Spain,Celta Vigo,,"
"Viti Rozada,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,27,Spain,Las Palmas,,"
"Marvin Park,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,24,Spain,Las Palmas,,"
"Stanis Idumbo,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,19,Belgium,Sevilla,,"
"Jorge Herrando,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,23,Spain,Osasuna,,"
"Carlos Martín,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Loan,F,22,Spain,Alaves,,"
"Marc Bernal,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,17,Spain,Barcelona,,"
"Adama Boiro,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,22,Spain,Athletic Club,,"
"Roberto Fernández,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Loan,F,22,Spain,Espanyol,,"
"Mika Mármol,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,23,Spain,Las Palmas,,"
"Urko González de Zarate,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Loan,M,23,Spain,Espanyol,,"
"Javi Guerra,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,M,21,Spain,Valencia,,"
"Jesús Areso,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,D,25,Spain,Osasuna,,"
"Juan Cruz,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,D,32,Spain,Osasuna,,"
"Benito Ramírez,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,29,Spain,Las Palmas,,"
"Javi Puado,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,26,Spain,Espanyol,,"
"Pau Víctor,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,23,Spain,Barcelona,,"
"Juan Carlos,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,K,37,Spain,Girona,,"
"Abdel Abqar,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,25,Morocco,Alaves,,"
"Valery Fernández,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Loan,F,25,Spain,Mallorca,,"
"Jorge Sáenz,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,D,28,Spain,Leganes,,"
"Alfon González,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,F,25,Spain,Celta Vigo,,"
"Hugo Novoa,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,D,22,Spain,Alaves,,"
"André Ferreira,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,28,Portugal,Valladolid,,"
"Damián Rodríguez,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,21,Spain,Celta Vigo,,"
"Iker Álvarez,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,23,Andorra,Villarreal,,"
"Pau Cabanes,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,19,Spain,Alaves,,"
"Iker Losada,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,F,23,Spain,Celta Vigo,,"
"Santiago Mouriño,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,22,Uruguay,Alaves,,"
"Seydouba Cissé,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,23,Guinea,Leganes,,"
"Duk,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,24,Cape Verde,Leganes,,"
"Adrián Pica,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,22,Spain,Alaves,,"
"Manu Bueno,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,20,Spain,Sevilla,,"
"Adam Aznou,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,D,18,Morocco,Valladolid,,"
"Walid Cheddira,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,F,27,Morocco,Espanyol,,"
"Dominik Greif,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,K,27,Slovakia,Mallorca,,"
"Jesús Rodriguez,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,F,19,Spain,Real Betis,,"
"Julián Chicco,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,M,27,Argentina,Leganes,,"
"Jon Ander Olasagasti,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,M,24,Spain,Real Sociedad,,"
"Yvan Neyou,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,M,28,Cameroon,Leganes,,"
"Unai Gómez,,""$ 3,045"",""$ 158,359"",""$ 113,114"",""$ 271,473"",""$ 271,473"",Active,F,21,Spain,Athletic Club,,"
"David Torres,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,D,21,Spain,Valladolid,,"
"Leo Román,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,K,24,Spain,Mallorca,,"
"Jesús Owono,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,K,23,Equatorial Guinea,Alaves,,"
"Sergio González,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,32,Spain,Leganes,,"
"José Copete,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,25,Spain,Mallorca,,"
"Pablo Ramón,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,23,Spain,Espanyol,,"
"Justin Smith,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,M,22,Canada,Espanyol,,"
"Pablo Torre,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,21,Spain,Barcelona,,"
"Ángel Fortuño,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,23,Spain,Espanyol,,"
"César Tárrega,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,22,Spain,Valencia,,"
"Ander Astralaga,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,20,Spain,Barcelona,,"
"Ramón Terrats,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Loan,M,24,Spain,Getafe,,"
"Omar Sadik,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,20,Morocco,Espanyol,,"
"Iván Cuéllar,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,40,Spain,Mallorca,,"
"Antoniu Roca,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,22,Spain,Espanyol,,"
"David López,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,D,22,Spain,Mallorca,,"
"Marc Domènech,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,18,Spain,Mallorca,,"
"Juanma Herzog,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,D,20,Spain,Las Palmas,,"
"Christantus Uche,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,21,Nigeria,Getafe,,"
"Gabriel Misehouy,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,19,Netherlands,Girona,,"
"Min-su Kim,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,19,South Korea,Girona,,"
"Joni Montiel,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,26,Spain,Rayo Vallecano,,"
"Vladyslav Krapyvtsov,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,19,Ukraine,Girona,,"
"Alvin Abajas,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,21,Spain,Leganes,,"
"Pablo Ibáñez,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,M,26,Spain,Osasuna,,"
"Unai Marrero,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,23,Spain,Real Sociedad,,"
"Rafel Bauzà,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,20,Spain,Espanyol,,"
"Adrián Rodríguez,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,24,Argentina,Alaves,,"
"Pelayo Fernández,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,D,21,Spain,Rayo Vallecano,,"
"Mateo Flores,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,20,Spain,Real Betis,,"
"Fran Vieites,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,25,Spain,Real Betis,,"
"Adrià Altimira,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Loan,D,23,Spain,Leganes,,"
"Carlos Domínguez,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,23,Spain,Celta Vigo,,"
"Yellu Santiago,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,20,Spain,Getafe,,"
"Coba da Costa,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,22,Spain,Getafe,,"
"Alberto Risco,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,19,Spain,Getafe,,"
"Mario Martín,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Loan,M,20,Spain,Valladolid,,"
"Chuki,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Active,F,20,Spain,Valladolid,,"
