"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Takefusa Kubo,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,23,Japan,Real Sociedad,,"
"Saúl Ñíguez,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Loan,M,30,Spain,Sevilla,,"
"Borja Mayoral,,""$ 50,031"",""$ 2,601,620"",,""$ 2,601,620"",""$ 2,601,620"",Active,F,27,Spain,Getafe,,"
"İlkay Gündoğan,,""$ 48,944"",""$ 2,545,063"",,""$ 2,545,063"",""$ 2,545,063"",Inactive,M,33,Germany,Barcelona,,"
"José Gayà,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,D,29,Spain,Valencia,,"
"Vedat Muriqi,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,F,30,Kosovo,Mallorca,,"
"Andriy Lunin,,""$ 46,986"",""$ 2,443,260"",,""$ 2,443,260"",""$ 2,443,260"",Active,K,25,Ukraine,Real Madrid,,"
"Marcão,,""$ 45,681"",""$ 2,375,392"",,""$ 2,375,392"",""$ 2,375,392"",Active,D,28,Brazil,Sevilla,,"
"Yuri Berchiche,,""$ 44,593"",""$ 2,318,835"",,""$ 2,318,835"",""$ 2,318,835"",Active,D,35,Spain,Athletic Club,,"
"Tanguy Nianzou,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,22,France,Sevilla,,"
"Hugo Duro,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,25,Spain,Valencia,,"
"Loïc Badé,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,24,France,Sevilla,,"
"Marcos Alonso,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,34,Spain,Celta Vigo,,"
"Djibril Sow,,""$ 43,505"",""$ 2,262,278"",""$ 452,456"",""$ 2,714,734"",""$ 2,714,734"",Active,M,28,Switzerland,Sevilla,,"
