"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Robert Navarro,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,F,20,Spain,Real Sociedad,,"
"Cristian Rivero,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,K,24,Spain,Valencia,,"
"Amath Ndiaye,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,F,26,Senegal,Mallorca,,"
"Kike Pérez,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,M,25,Spain,Valladolid,,"
"José Mari,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,M,35,Spain,Cadiz,,"
"Aridane Hernández,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,D,33,Spain,Osasuna,,"
"Houboulang Mendes,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,D,24,Guinea-Bissau,Almeria,,"
"Keidi Bare,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,M,25,Albania,Espanyol,,"
"Arnau Martínez,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,D,19,Spain,Girona,,"
"Renato Tapia,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,M,27,Peru,Celta Vigo,,"
"Juan Cruz,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,F,22,Spain,Real Betis,,"
"Iago Herrerín,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,K,35,Spain,Valencia,,"
"Óscar Valentín,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,M,28,Spain,Rayo Vallecano,,"
"Álex Centelles,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,D,23,Spain,Almeria,,"
"Lázaro,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,F,20,Brazil,Almeria,,"
"Jon Ander Garrido,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Active,M,33,Spain,Cadiz,,"
"Sergi Guardiola,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 216,980"",Loan,F,31,Spain,Cadiz,,"
"Javi Puado,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 205,560"",Active,F,24,Spain,Espanyol,,"
"Lautaro Blanco,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 205,560"",Active,D,23,Argentina,Elche,,"
"Juan Carlos,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 205,560"",Active,K,35,Spain,Girona,,"
"Samú Costa,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 205,560"",Active,M,22,Portugal,Almeria,,"
"Valery Fernández,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,F,23,Spain,Girona,,"
"Arnau Tenas,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,K,21,Spain,Barcelona,,"
"Matija Nastasić,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,D,29,Serbia,Mallorca,,"
"Aimar Oroz,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,F,21,Spain,Osasuna,,"
"Rodrigo Riquelme,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Loan,F,22,Spain,Girona,,"
"Alejandro Catena,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,D,28,Spain,Rayo Vallecano,,"
"Dani Martín,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,K,24,Spain,Real Betis,,"
"Iván Martín,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Loan,F,23,Spain,Girona,,"
"Pep Chavarría,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,D,24,Spain,Rayo Vallecano,,"
"Mohamed-Ali Cho,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 194,140"",Active,F,19,France,Real Sociedad,,"
"Pere Milla,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 182,720"",Active,F,30,Spain,Elche,,"
"José Pozo,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 182,720"",Active,F,26,Spain,Rayo Vallecano,,"
"Ángel Rodríguez,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 182,720"",Active,F,35,Spain,Mallorca,,"
"David Gil,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 182,720"",Active,K,29,Spain,Cadiz,,"
"Esteban Saveljich,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 182,720"",Active,D,31,Montenegro,Rayo Vallecano,,"
"Chumi,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 182,720"",Active,D,23,Spain,Almeria,,"
"Iván Villar,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 171,300"",Active,K,25,Spain,Celta Vigo,,"
"Lucas Boyé,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 171,300"",Active,F,26,Argentina,Elche,,"
"José Carlos Lazo,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 171,300"",Active,F,26,Spain,Espanyol,,"
"Chris Ramos,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 171,300"",Active,F,26,Spain,Cadiz,,"
"Joaquín Fernández,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 171,300"",Active,D,26,Spain,Valladolid,,"
"Monchu,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Active,M,23,Spain,Valladolid,,"
"Borja García,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Active,F,32,Spain,Girona,,"
"Srdjan Babic,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Active,D,26,Serbia,Almeria,,"
"Abde Ezzalzouli,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Loan,F,21,Morocco,Osasuna,,"
"Salvi Sánchez,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Active,F,31,Spain,Rayo Vallecano,,"
"Dominik Greif,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Active,K,25,Slovakia,Mallorca,,"
"Tete Morente,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 159,880"",Active,F,26,Spain,Elche,,"
"Diego Mariño,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 148,460"",Active,K,32,Spain,Almeria,,"
"Vinicius Souza,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 148,460"",Loan,M,23,Brazil,Espanyol,,"
"Leo Román,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 148,460"",Active,K,22,Spain,Mallorca,,"
"Luca de la Torre,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 148,460"",Active,M,24,United States,Celta Vigo,,"
"Yan Couto,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Loan,D,20,Brazil,Girona,,"
"Williot Swedberg,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,F,19,Sweden,Celta Vigo,,"
"Kang-in Lee,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,F,21,South Korea,Mallorca,,"
"Stefan Mitrović,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,D,32,Serbia,Getafe,,"
"Gastón Álvarez,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Loan,D,22,Uruguay,Getafe,,"
"Gorka Guruzeta,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,F,26,Spain,Athletic Club,,"
"Víctor Chust,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,D,22,Spain,Cadiz,,"
"Nicolás Fernández Mercau,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,D,23,Argentina,Elche,,"
"Álex Sola,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,D,23,Spain,Real Sociedad,,"
"Andoni Zubiaurre,,""$ 2,497"",""$ 129,869"",,""$ 129,869"",""$ 137,040"",Active,K,26,Spain,Real Sociedad,,"
"Abdón Prats,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 125,620"",Active,F,30,Spain,Mallorca,,"
"Randy Nteka,,""$ 2,289"",""$ 119,047"",,""$ 119,047"",""$ 125,620"",Loan,F,25,France,Elche,,"
"Pablo Torre,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,M,19,Spain,Barcelona,,"
"Gerard Gumbau,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,M,28,Spain,Elche,,"
"Juanmi Latasa,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Loan,F,21,Spain,Getafe,,"
"Momo Mbaye,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,D,24,Senegal,Cadiz,,"
"José Copete,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,D,23,Spain,Mallorca,,"
"Gui Guedes,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,M,20,Portugal,Almeria,,"
"Axel Werner,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,K,26,Argentina,Elche,,"
"Oier Zarraga,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,M,24,Spain,Athletic Club,,"
"Ander Iru,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,K,24,Spain,Athletic Club,,"
"Santiago Arzamendia,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,D,24,Paraguay,Cadiz,,"
"Gabri Veiga,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,F,20,Spain,Celta Vigo,,"
"Fran García,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,D,23,Spain,Rayo Vallecano,,"
"César de la Hoz,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Active,M,30,Spain,Almeria,,"
"Ramón Terrats,,""$ 2,081"",""$ 108,224"",,""$ 108,224"",""$ 114,200"",Loan,M,21,Spain,Villarreal,,"
"Javi Hernández,,""$ 1,873"",""$ 97,402"",,""$ 97,402"",""$ 102,780"",Loan,D,24,Spain,Girona,,"
"Ángel Algobia,,""$ 1,873"",""$ 97,402"",,""$ 97,402"",""$ 102,780"",Active,M,23,Spain,Getafe,,"
"Pablo Ibáñez,,""$ 1,873"",""$ 97,402"",,""$ 97,402"",""$ 102,780"",Active,M,24,Spain,Osasuna,,"
"Josan,,""$ 1,873"",""$ 97,402"",,""$ 97,402"",""$ 102,780"",Active,F,33,Spain,Elche,,"
"Ibrahima Kébé,,""$ 1,873"",""$ 97,402"",,""$ 97,402"",""$ 102,780"",Active,M,22,Mali,Girona,,"
"Arnau Puigmal,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,M,22,Spain,Almeria,,"
"Marko Milovanovic,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,F,19,Serbia,Almeria,,"
"Iván Fresneda,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,D,18,Spain,Valladolid,,"
"John Donald,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,D,22,Spain,Elche,,"
"Andrés Martín,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,F,23,Spain,Rayo Vallecano,,"
"Cristhian Mosquera,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,D,18,Spain,Valencia,,"
"Mario Hernández,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,D,24,Spain,Rayo Vallecano,,"
"Alejandro Balde,,""$ 1,665"",""$ 86,580"",,""$ 86,580"",""$ 91,360"",Active,D,19,Spain,Barcelona,,"
"Gonzalo Verdú,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,D,34,Spain,Elche,,"
"Enzo Roco,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,D,30,Chile,Elche,,"
"Álvaro Aguado,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,M,26,Spain,Valladolid,,"
"Diego Conde,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,K,24,Spain,Getafe,,"
"Diego González,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,D,28,Spain,Elche,,"
"Helibelton Palacios,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,D,29,Colombia,Elche,,"
"Aitor Paredes,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,D,22,Spain,Athletic Club,,"
"Largie Ramazani,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,F,21,Belgium,Almeria,,"
"Carlos Domínguez,,""$ 1,457"",""$ 75,757"",,""$ 75,757"",""$ 79,940"",Active,D,21,Spain,Celta Vigo,,"
"Toni Fuidias,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 68,520"",Active,K,21,Spain,Girona,,"
"Miguel Ángel Morro,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 68,520"",Active,K,22,Spain,Rayo Vallecano,,"
"Joan García,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 68,520"",Active,K,21,Spain,Espanyol,,"
"Raúl Parra,,""$ 1,249"",""$ 64,935"",,""$ 64,935"",""$ 68,520"",Active,D,23,Spain,Cadiz,,"
"Diego Fuoli,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 57,100"",Active,K,25,Spain,Almeria,,"
"Martin Svidersky,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 57,100"",Active,M,20,Slovakia,Almeria,,"
"Lucas Rosa,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 57,100"",Active,D,22,Brazil,Valladolid,,"
"Rubén Sánchez,,""$ 1,041"",""$ 54,112"",,""$ 54,112"",""$ 57,100"",Active,D,21,Spain,Espanyol,,"
"Simo Keddari,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 34,260"",Active,D,17,Spain,Espanyol,,"
"Omar El Hilali,,$ 624,""$ 32,467"",,""$ 32,467"",""$ 34,260"",Active,D,19,Morocco,Espanyol,,"
Braian Cufré,,,,,,,Inactive,D,26,Argentina,Mallorca,,
Adnan Januzaj,,,,,,,Inactive,F,27,Belgium,Sevilla,,
João Félix,,,,,,,Inactive,F,23,Portugal,Atletico Madrid,,
Mickaël Malsa,,,,,,,Inactive,M,27,Martinique,Valladolid,,
