"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Sergi Roberto,,""$ 49,950"",""$ 2,597,388"",,""$ 2,597,388"",""$ 2,740,800"",Active,D,30,Spain,Barcelona,,"
"Borja Mayoral,,""$ 47,869"",""$ 2,489,164"",,""$ 2,489,164"",""$ 2,626,600"",Active,F,25,Spain,Getafe,,"
"José Gayà,,""$ 45,787"",""$ 2,380,939"",,""$ 2,380,939"",""$ 2,512,400"",Active,D,27,Spain,Valencia,,"
"Vedat Muriqi,,""$ 45,787"",""$ 2,380,939"",,""$ 2,380,939"",""$ 2,512,400"",Active,F,28,Kosovo,Mallorca,,"
"Stefan Savic,,""$ 44,955"",""$ 2,337,649"",,""$ 2,337,649"",""$ 2,466,720"",Active,D,32,Montenegro,Atletico Madrid,,"
"Jesús Navas,,""$ 43,914"",""$ 2,283,537"",,""$ 2,283,537"",""$ 2,409,620"",Active,D,37,Spain,Sevilla,,"
"Denis Suárez,,""$ 43,706"",""$ 2,272,714"",,""$ 2,272,714"",""$ 2,398,200"",Loan,F,29,Spain,Espanyol,,"
"Marcão,,""$ 43,706"",""$ 2,272,714"",,""$ 2,272,714"",""$ 2,398,200"",Active,D,26,Brazil,Sevilla,,"
"Unai Simón,,""$ 42,665"",""$ 2,218,602"",,""$ 2,218,602"",""$ 2,341,100"",Active,K,25,Spain,Athletic Club,,"
"Yuri Berchiche,,""$ 42,665"",""$ 2,218,602"",,""$ 2,218,602"",""$ 2,341,100"",Active,D,32,Spain,Athletic Club,,"
"Matt Doherty,,""$ 42,041"",""$ 2,186,135"",,""$ 2,186,135"",""$ 2,306,840"",Active,D,31,Ireland,Atletico Madrid,,"
"Tanguy Nianzou,,""$ 41,625"",""$ 2,164,490"",,""$ 2,164,490"",""$ 2,284,000"",Active,D,20,France,Sevilla,,"
"Edinson Cavani,,""$ 41,625"",""$ 2,164,490"",,""$ 2,164,490"",""$ 2,284,000"",Active,F,35,Uruguay,Valencia,,"
"Álex Remiro,,""$ 41,625"",""$ 2,164,490"",,""$ 2,164,490"",""$ 2,284,000"",Active,K,27,Spain,Real Sociedad,,"
"Roque Mesa,,""$ 41,625"",""$ 2,164,490"",,""$ 2,164,490"",""$ 2,284,000"",Active,M,33,Spain,Valladolid,,"
"Giovani Lo Celso,,""$ 41,209"",""$ 2,142,845"",,""$ 2,142,845"",""$ 2,261,160"",Loan,M,26,Argentina,Villarreal,,"
"José Giménez,,""$ 39,960"",""$ 2,077,910"",,""$ 2,077,910"",""$ 2,192,640"",Active,D,28,Uruguay,Atletico Madrid,,"
"Mouctar Diakhaby,,""$ 39,960"",""$ 2,077,910"",,""$ 2,077,910"",""$ 2,192,640"",Active,D,26,Guinea,Valencia,,"
"Nemanja Gudelj,,""$ 39,544"",""$ 2,056,265"",,""$ 2,056,265"",""$ 2,169,800"",Active,M,31,Serbia,Sevilla,,"
"Papu Gómez,,""$ 38,503"",""$ 2,002,153"",,""$ 2,002,153"",""$ 2,112,700"",Active,F,34,Argentina,Sevilla,,"
"Dani Parejo,,""$ 37,879"",""$ 1,969,686"",,""$ 1,969,686"",""$ 2,078,440"",Active,M,33,Spain,Villarreal,,"
"Pau Torres,,""$ 37,879"",""$ 1,969,686"",,""$ 1,969,686"",""$ 2,078,440"",Active,D,26,Spain,Villarreal,,"
"Nahuel Molina,,""$ 37,462"",""$ 1,948,041"",,""$ 1,948,041"",""$ 2,055,600"",Active,D,24,Argentina,Atletico Madrid,,"
"Gerard Moreno,,""$ 37,462"",""$ 1,948,041"",,""$ 1,948,041"",""$ 2,055,600"",Active,F,30,Spain,Villarreal,,"
"Justin Kluivert,,""$ 37,462"",""$ 1,948,041"",,""$ 1,948,041"",""$ 2,055,600"",Loan,F,23,Netherlands,Valencia,,"
"Mauro Arambarri,,""$ 37,462"",""$ 1,948,041"",,""$ 1,948,041"",""$ 2,055,600"",Active,M,27,Uruguay,Getafe,,"
"Francis Coquelin,,""$ 37,462"",""$ 1,948,041"",,""$ 1,948,041"",""$ 2,055,600"",Active,M,31,France,Villarreal,,"
"David López,,""$ 35,589"",""$ 1,850,639"",,""$ 1,850,639"",""$ 1,952,820"",Active,D,33,Spain,Girona,,"
"Joan Jordán,,""$ 35,381"",""$ 1,839,816"",,""$ 1,839,816"",""$ 1,941,400"",Active,M,28,Spain,Sevilla,,"
"Nico Williams,,""$ 34,965"",""$ 1,818,172"",,""$ 1,818,172"",""$ 1,918,560"",Active,F,20,Spain,Athletic Club,,"
"Ángel Correa,,""$ 34,965"",""$ 1,818,172"",,""$ 1,818,172"",""$ 1,918,560"",Active,F,27,Argentina,Atletico Madrid,,"
"Alfonso Pedraza,,""$ 33,300"",""$ 1,731,592"",,""$ 1,731,592"",""$ 1,827,200"",Active,D,26,Spain,Villarreal,,"
"Loïc Badé,,""$ 32,884"",""$ 1,709,947"",""$ 367,963"",""$ 2,077,910"",""$ 2,192,640"",Loan,D,22,France,Sevilla,,"
"Erik Lamela,,""$ 32,884"",""$ 1,709,947"",,""$ 1,709,947"",""$ 1,804,360"",Active,F,30,Argentina,Sevilla,,"
"Thomas Lemar,,""$ 32,467"",""$ 1,688,302"",,""$ 1,688,302"",""$ 1,781,520"",Active,F,27,France,Atletico Madrid,,"
"Iñaki Peña,,""$ 32,467"",""$ 1,688,302"",,""$ 1,688,302"",""$ 1,781,520"",Active,K,24,Spain,Barcelona,,"
"Mikel Merino,,""$ 32,051"",""$ 1,666,657"",,""$ 1,666,657"",""$ 1,758,680"",Active,M,26,Spain,Real Sociedad,,"
"Sergio Reguilón,,""$ 31,843"",""$ 1,655,835"",,""$ 1,655,835"",""$ 1,747,260"",Loan,D,26,Spain,Atletico Madrid,,"
"Alexander Sörloth,,""$ 31,427"",""$ 1,634,190"",,""$ 1,634,190"",""$ 1,724,420"",Loan,F,27,Norway,Real Sociedad,,"
"Djené,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,713,000"",Active,D,31,Togo,Getafe,,"
"Igor Zubeldia,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,713,000"",Active,D,26,Spain,Real Sociedad,,"
"Martin Braithwaite,,""$ 31,219"",""$ 1,623,367"",""$ 541,122"",""$ 2,164,490"",""$ 2,284,000"",Active,F,31,Denmark,Espanyol,,"
"Raúl de Tomás,,""$ 31,010"",""$ 1,612,545"",,""$ 1,612,545"",""$ 1,701,580"",Active,F,28,Spain,Rayo Vallecano,,"
"Jordan Amavi,,""$ 29,970"",""$ 1,558,433"",,""$ 1,558,433"",""$ 1,644,480"",Loan,D,28,France,Getafe,,"
"Martín Zubimendi,,""$ 29,970"",""$ 1,558,433"",,""$ 1,558,433"",""$ 1,644,480"",Active,M,23,Spain,Real Sociedad,,"
"Álex Collado,,""$ 29,970"",""$ 1,558,433"",,""$ 1,558,433"",""$ 1,644,480"",Loan,F,23,Spain,Elche,,"
"Ander Herrera,,""$ 29,970"",""$ 1,558,433"",""$ 313,851"",""$ 1,872,284"",""$ 1,975,660"",Active,M,33,Spain,Athletic Club,,"
"Asier Illarramendi,,""$ 29,970"",""$ 1,558,433"",,""$ 1,558,433"",""$ 1,644,480"",Active,M,32,Spain,Real Sociedad,,"
"Youssef En-Nesyri,,""$ 29,970"",""$ 1,558,433"",,""$ 1,558,433"",""$ 1,644,480"",Active,F,25,Morocco,Sevilla,,"
"Martín Montoya,,""$ 29,554"",""$ 1,536,788"",,""$ 1,536,788"",""$ 1,621,640"",Active,D,31,Spain,Real Betis,,"
"Iago Aspas,,""$ 28,929"",""$ 1,504,321"",,""$ 1,504,321"",""$ 1,587,380"",Active,F,35,Spain,Celta Vigo,,"
"Marcos Acuña,,""$ 28,929"",""$ 1,504,321"",,""$ 1,504,321"",""$ 1,587,380"",Active,D,31,Argentina,Sevilla,,"
"Raúl Albiol,,""$ 28,305"",""$ 1,471,853"",,""$ 1,471,853"",""$ 1,553,120"",Active,D,37,Spain,Villarreal,,"
"Andriy Lunin,,""$ 28,097"",""$ 1,461,031"",,""$ 1,461,031"",""$ 1,541,700"",Active,K,23,Ukraine,Real Madrid,,"
"Robin Le Normand,,""$ 27,889"",""$ 1,450,208"",,""$ 1,450,208"",""$ 1,530,280"",Active,D,26,France,Real Sociedad,,"
"Suso,,""$ 27,889"",""$ 1,450,208"",,""$ 1,450,208"",""$ 1,530,280"",Active,F,29,Spain,Sevilla,,"
"Fernando,,""$ 27,889"",""$ 1,450,208"",,""$ 1,450,208"",""$ 1,530,280"",Active,M,35,Brazil,Sevilla,,"
"Dani García,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,518,860"",Active,M,32,Spain,Athletic Club,,"
"Bono,,""$ 27,056"",""$ 1,406,918"",,""$ 1,406,918"",""$ 1,484,600"",Active,K,31,Morocco,Sevilla,,"
"Viktor Tsyhankov,,""$ 27,056"",""$ 1,406,918"",,""$ 1,406,918"",""$ 1,484,600"",Active,F,25,Ukraine,Girona,,"
