Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
423,Youssef Maleh,ma MAR,MF,Fiorentina,23,1998,7,297,42,8.7,3.3,4,64,0,3,14,7,1.29,3,6,-3,-0.91,-1.28,Matches
424,Youssef Maleh,ma MAR,MF,Lecce,23,1998,17,674,40,19.7,7.5,7,66,0,10,21,3,0.88,6,14,-8,-1.07,-0.90,Matches
425,Ruslan Malinovskyi,ua UKR,MF,Atalanta,29,1993,15,553,37,16.2,6.1,5,68,0,10,21,1,1.67,9,8,+1,+0.16,-0.37,Matches
426,Gianluca Mancini,it ITA,DF,Roma,26,1996,35,2858,82,83.6,31.8,33,84,23,2,41,2,1.69,35,28,+7,+0.22,-0.58,Matches
427,Rolando Mandragora,it ITA,MF,Fiorentina,25,1997,29,1950,67,57.0,21.7,22,82,11,7,22,5,1.55,29,22,+7,+0.32,+0.14,Matches
428,Federico Marchetti,it ITA,GK,Spezia,39,1983,1,66,66,1.9,0.7,0,,0,1,66,16,0.50,0,2,-2,-2.73,-1.95,Matches
429,Riccardo Marchizza,it ITA,DF,Sassuolo,24,1998,10,283,28,8.3,3.1,3,62,0,7,14,28,1.70,6,9,-3,-0.95,-0.64,Matches
430,Gian Marco Fantoni,it ITA,GK,Empoli,18,2004,0,,,,,0,,0,0,,3,,,,,,,Matches
431,Gian Marco Ferrari,it ITA,DF,Sassuolo,30,1992,33,2223,67,65.0,24.7,24,88,21,9,13,4,1.09,27,41,-14,-0.57,-0.57,Matches
432,Davide Marfella,it ITA,GK,Napoli,22,1999,0,,,,,0,,0,0,,37,,,,,,,Matches
433,Pablo Marí,es ESP,DF,Monza,28,1993,30,2487,83,72.7,27.6,28,86,25,2,35,1,1.43,37,37,0,0.00,+0.39,Matches
434,Mirko Marić,hr CRO,FW,Monza,27,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
435,Răzvan Marin,ro ROU,MF,Empoli,26,1996,33,2538,77,74.2,28.2,28,86,21,5,25,1,1.09,25,39,-14,-0.50,-0.70,Matches
436,Marlon,br BRA,DF,Monza,26,1995,28,1592,57,46.5,17.7,18,75,10,10,23,5,1.32,15,26,-11,-0.62,-0.97,Matches
437,Luca Marrone,it ITA,DF,Monza,32,1990,2,135,68,3.9,1.5,2,68,1,0,,6,0.00,1,4,-3,-2.00,-1.97,Matches
438,Tommaso Martinelli,it ITA,GK,Fiorentina,16,2006,0,,,,,0,,0,0,,4,,,,,,,Matches
439,Lautaro Martínez,ar ARG,FW,Inter,24,1997,38,2576,68,75.3,28.6,27,84,18,11,27,0,1.89,59,37,+22,+0.77,+0.02,Matches
