"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Juan Cuadrado,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,M,35,Colombia,Inter Milan,,"
"Duván Zapata,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Loan,F,32,Colombia,Torino,,"
"Federico Fazio,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,D,36,Argentina,Salernitana,,"
"Stephan El Shaarawy,,""$ 52,029"",""$ 2,705,528"",""$ 1,623,316"",""$ 4,328,844"",""$ 4,395,148"",Active,F,31,Italy,Roma,,"
"Renato Sanches,,""$ 74,922"",""$ 3,895,960"",,""$ 3,895,960"",""$ 3,955,633"",Loan,M,26,Portugal,Roma,,"
"Chris Smalling,,""$ 72,841"",""$ 3,787,738"",,""$ 3,787,738"",""$ 3,845,754"",Active,D,34,England,Roma,,"
"Fikayo Tomori,,""$ 72,841"",""$ 3,787,738"",,""$ 3,787,738"",""$ 3,845,754"",Active,D,26,England,AC Milan,,"
"Arkadiusz Milik,,""$ 72,841"",""$ 3,787,738"",,""$ 3,787,738"",""$ 3,845,754"",Active,F,29,Poland,Juventus,,"
"Olivier Giroud,,""$ 72,841"",""$ 3,787,738"",""$ 324,663"",""$ 4,112,402"",""$ 4,175,390"",Active,F,37,France,AC Milan,,"
"Andrea Cambiaso,,""$ 49,948"",""$ 2,597,306"",,""$ 2,597,306"",""$ 2,637,089"",Active,D,24,Italy,Juventus,,"
"Andrea Pinamonti,,""$ 49,948"",""$ 2,597,306"",,""$ 2,597,306"",""$ 2,637,089"",Active,F,24,Italy,Sassuolo,,"
"Elseid Hysaj,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Active,D,30,Albania,Lazio,,"
"Andrea Petagna,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Loan,F,28,Italy,Cagliari,,"
"Mattia Caldara,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Active,D,29,Italy,AC Milan,,"
"Rick Karsdorp,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Active,D,28,Netherlands,Roma,,"
"Daichi Kamada,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Active,F,27,Japan,Lazio,,"
"Nicolás González,,""$ 62,435"",""$ 3,246,633"",""$ 649,327"",""$ 3,895,960"",""$ 3,955,633"",Active,F,25,Argentina,Fiorentina,,"
"Marko Arnautovic,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Loan,F,34,Austria,Inter Milan,,"
"Moise Kean,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Active,F,23,Italy,Juventus,,"
"Rui Patrício,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Active,K,35,Portugal,Roma,,"
"Junior Messias,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,F,32,Brazil,Genoa,,"
"Riccardo Orsolini,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,F,27,Italy,Bologna,,"
"Stefano Sensi,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,M,28,Italy,Inter Milan,,"
"Tiago Djaló,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,D,23,Portugal,Juventus,,"
"Daniele Rugani,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,D,29,Italy,Juventus,,"
"Davide Calabria,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,D,27,Italy,AC Milan,,"
"Nicolò Rovella,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Loan,M,22,Italy,Lazio,,"
"Alex Meret,,""$ 41,624"",""$ 2,164,422"",""$ 541,106"",""$ 2,705,528"",""$ 2,746,967"",Active,K,26,Italy,Napoli,,"
"Stanislav Lobotka,,""$ 58,273"",""$ 3,030,191"",""$ 541,106"",""$ 3,571,296"",""$ 3,625,997"",Active,M,29,Slovakia,Napoli,,"
"Mike Maignan,,""$ 58,273"",""$ 3,030,191"",,""$ 3,030,191"",""$ 3,076,603"",Active,K,28,France,AC Milan,,"
"Houssem Aouar,,""$ 58,273"",""$ 3,030,191"",""$ 216,442"",""$ 3,246,633"",""$ 3,296,361"",Active,M,25,Algeria,Roma,,"
"Mattia Zaccagni,,""$ 39,542"",""$ 2,056,201"",,""$ 2,056,201"",""$ 2,087,695"",Active,F,28,Italy,Lazio,,"
"Leonardo Bonucci,,""$ 39,334"",""$ 2,045,379"",,""$ 2,045,379"",""$ 2,076,707"",Inactive,D,36,Italy,Juventus,,"
"André Zambo Anguissa,,""$ 56,192"",""$ 2,921,970"",""$ 324,663"",""$ 3,246,633"",""$ 3,296,361"",Active,M,28,Cameroon,Napoli,,"
"Diego Llorente,,""$ 56,192"",""$ 2,921,970"",,""$ 2,921,970"",""$ 2,966,725"",Loan,D,30,Spain,Roma,,"
"Giovanni Simeone,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,F,28,Argentina,Napoli,,"
"Marash Kumbulla,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Loan,D,23,Albania,Sassuolo,,"
"Adam Marusic,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,D,31,Montenegro,Lazio,,"
"Matías Vecino,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,M,32,Uruguay,Lazio,,"
"Mário Rui,,""$ 37,461"",""$ 1,947,980"",""$ 216,442"",""$ 2,164,422"",""$ 2,197,574"",Active,D,32,Portugal,Napoli,,"
"Amir Rrahmani,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,D,29,Kosovo,Napoli,,"
"Denzel Dumfries,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,M,27,Netherlands,Inter Milan,,"
"Luka Jovic,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,F,26,Serbia,AC Milan,,"
"Weston McKennie,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,M,25,United States,Juventus,,"
"Filip Kostic,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,M,31,Serbia,Juventus,,"
"Arthur,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Inactive,M,26,Brazil,Juventus,,"
"Matteo Darmian,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,D,34,Italy,Inter Milan,,"
"Arthur,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Loan,M,27,Brazil,Fiorentina,,"
"Charles De Ketelaere,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,F,23,Belgium,Atalanta,,"
"Yann Sommer,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,K,35,Switzerland,Inter Milan,,"
"Diego Demme,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,746,967"",Active,M,32,Germany,Napoli,,"
"Armando Izzo,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,867,938"",Active,D,31,Italy,Monza,,"
"Manuel Lazzari,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,867,938"",Active,M,30,Italy,Lazio,,"
"Cristiano Biraghi,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,867,938"",Active,D,31,Italy,Fiorentina,,"
"Vitinha,,""$ 33,715"",""$ 1,753,182"",,""$ 1,753,182"",""$ 1,780,035"",Loan,F,23,Portugal,Genoa,,"
"Juan Musso,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Active,K,29,Argentina,Atalanta,,"
"Antonio Sanabria,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Active,F,27,Paraguay,Torino,,"
