"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ola Solbakken,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Loan,F,26,Norway,Empoli,,"
"Maduka Okoye,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,25,Nigeria,Udinese,,"
"Sam Beukema,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,26,Netherlands,Bologna,,"
"Szymon Żurkowski,,""$ 15,227"",""$ 791,797"",""$ 226,228"",""$ 1,018,025"",""$ 1,018,025"",Loan,M,27,Poland,Empoli,,"
"Ardian Ismajli,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,28,Albania,Empoli,,"
"Kingsley Ehizibue,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,29,Netherlands,Udinese,,"
"Keinan Davis,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,26,England,Udinese,,"
"Stefano Turati,,""$ 10,006"",""$ 520,324"",,""$ 520,324"",""$ 520,324"",Loan,K,23,Italy,Monza,,"
"Darko Lazović,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,34,Serbia,Hellas Verona,,"
"Alieu Fadera,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,23,The Gambia,Como,,"
"Daniel Fila,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,22,Czech Republic,Venezia,,"
"Samuele Birindelli,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,25,Italy,Monza,,"
"Arijon Ibrahimovic,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Loan,F,19,Germany,Lazio,,"
"Alessandro Gabrielloni,,""$ 9,136"",""$ 475,078"",,""$ 475,078"",""$ 475,078"",Active,F,30,Italy,Como,,"
"Lautaro Valenti,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,26,Argentina,Parma,,"
"Adrian Benedyczak,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,24,Poland,Parma,,"
"Abdou Harroui,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,27,Morocco,Hellas Verona,,"
"Lassana Coulibaly,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,28,Mali,Lecce,,"
"Yordan Osorio,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,30,Venezuela,Parma,,"
"Caleb Ekuban,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,30,Ghana,Genoa,,"
"Ridgeciano Haps,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,31,Suriname,Venezia,,"
"Lucas Da Cunha,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,23,France,Como,,"
"Benjamin Siegrist,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Loan,K,33,Switzerland,Genoa,,"
"Benjamín Domínguez,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,21,Argentina,Bologna,,"
"Giovanni Fabbian,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,22,Italy,Bologna,,"
"Botond Balogh,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,22,Hungary,Parma,,"
"Rui Modesto,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,25,Angola,Udinese,,"
"Edoardo Goldaniga,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,31,Italy,Como,,"
"Tete Morente,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,28,Spain,Lecce,,"
"Gabriel Strefezza,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,27,Brazil,Como,,"
"Alessandro Deiola,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,29,Italy,Cagliari,,"
"Damián Pizarro,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,19,Chile,Udinese,,"
"Vasilije Adžić,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,18,Montenegro,Juventus,,"
"Gaetano Oristanio,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,22,Italy,Venezia,,"
"Sebastiano Esposito,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Loan,F,22,Italy,Empoli,,"
"Koni De Winter,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,22,Belgium,Genoa,,"
"Cheikh Niasse,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Loan,M,25,Senegal,Hellas Verona,,"
"Mathias Fjørtoft Løvik,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Norway,Parma,,"
"Federico Ravaglia,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,25,Italy,Bologna,,"
"Matías Moreno,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Argentina,Fiorentina,,"
"Alessandro Zanoli,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Loan,D,24,Italy,Genoa,,"
"Filip Marchwinski,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,23,Poland,Lecce,,"
"Gaby Jean,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,24,France,Lecce,,"
"Răzvan Sava,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,22,Romania,Udinese,,"
"Souleymane Isaak Touré,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,D,21,France,Udinese,,"
"Michel Ndary Adopo,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,M,24,France,Cagliari,,"
"Mattia Viti,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,D,23,Italy,Empoli,,"
"Alessandro Marcandalli,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,D,22,Italy,Venezia,,"
"Stefano Sabelli,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,32,Italy,Genoa,,"
"Patrick Cutrone,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,27,Italy,Como,,"
"Elia Caprile,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,K,23,Italy,Cagliari,,"
"Saba Sazonov,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,D,23,Georgia,Empoli,,"
"Lameck Banda,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,24,Zambia,Lecce,,"
"Tyronne Ebuehi,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,29,Nigeria,Empoli,,"
"Domen Crnigoj,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,29,Slovenia,Venezia,,"
"Joan González,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,23,Spain,Lecce,,"
"Simon Sohm,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,23,Switzerland,Parma,,"
"Flavius Daniliuc,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,D,23,Austria,Hellas Verona,,"
"Antoine Bernede,,""$ 7,178"",""$ 373,276"",,""$ 373,276"",""$ 373,276"",Loan,M,25,France,Hellas Verona,,"
"Gabriel Charpentier,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Active,F,25,Congo,Parma,,"
"Kialonda Gaspar,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Active,D,27,Angola,Lecce,,"
"Valentin Mihăilă,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,25,Romania,Parma,,"
"Ylber Ramadani,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,28,Albania,Lecce,,"
"Oussama El Azzouzi,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,23,Morocco,Bologna,,"
"Marin Šverko,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,27,Croatia,Venezia,,"
"Kacper Urbanski,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,M,20,Poland,Monza,,"
"Roberto Piccoli,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,F,24,Italy,Cagliari,,"
"Álex Valle,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,D,20,Spain,Como,,"
"Konan N’Dri,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,24,Cote d'Ivoire,Lecce,,"
"Rareș Burnete,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,21,Romania,Lecce,,"
"Santiago Pierotti,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,23,Argentina,Lecce,,"
"Riccardo Sottil,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,F,25,Italy,AC Milan,,"
"Joël Schingtienne,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,22,Belgium,Venezia,,"
"Samuel Mbangula,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,21,Belgium,Juventus,,"
"Carlo Pinsoglio,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,34,Italy,Juventus,,"
"Filip Stankovic,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,K,22,Serbia,Venezia,,"
"Keita Baldé,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,30,Senegal,Monza,,"
"Omari Forson,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,20,England,Monza,,"
"Daniel Mosquera,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,25,Colombia,Hellas Verona,,"
"Luis Hasa,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,M,21,Italy,Napoli,,"
"Nikita Contini,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,28,Italy,Napoli,,"
"Christian Früchtl,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,25,Germany,Lecce,,"
"Giovanni Leoni,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,18,Italy,Parma,,"
"Richie Sagrado,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,21,Belgium,Venezia,,"
"Mateo Pellegrino,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,23,Argentina,Parma,,"
"Riccardo Sottil,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Inactive,F,25,Italy,Fiorentina,,"
"Tino Anjorin,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,23,England,Empoli,,"
"Alberto Paleari,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,32,Italy,Torino,,"
"Antonio Donnarumma,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,34,Italy,Torino,,"
"Ivan Smolcic,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,24,Croatia,Como,,"
"Ange-Yoan Bonny,,""$ 9,136"",""$ 475,078"",,""$ 475,078"",""$ 475,078"",Active,F,21,France,Parma,,"
"Casper Tengstedt,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Loan,F,24,Denmark,Hellas Verona,,"
"Mirko Marić,,""$ 8,919"",""$ 463,767"",,""$ 463,767"",""$ 463,767"",Loan,F,29,Croatia,Venezia,,"
"Martin Frese,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Active,D,27,Denmark,Hellas Verona,,"
"Alan Matturro,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,20,Uruguay,Genoa,,"
"Georgios Kyriakopoulos,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,29,Greece,Monza,,"
"Jordan Zemura,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,25,Zimbabwe,Udinese,,"
"Tomas Suslov,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,22,Slovakia,Hellas Verona,,"
"Enzo Ebosse,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Inactive,D,25,Cameroon,Udinese,,"
"Lorenzo Montipò,,""$ 5,873"",""$ 305,408"",,""$ 305,408"",""$ 305,408"",Active,K,28,Italy,Hellas Verona,,"
"Mattia Felici,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,23,Italy,Cagliari,,"
"Iván Azón,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,22,Spain,Como,,"
"Dailon Livramento,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,23,Cape Verde,Hellas Verona,,"
"Daniele Ghilardi,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,22,Italy,Hellas Verona,,"
"Moutir Chajia,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,26,Belgium,Como,,"
"Diego Coppola,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,21,Italy,Hellas Verona,,"
"Estanis Pedrola,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Loan,F,21,Spain,Bologna,,"
"Lorenzo Lucca,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,24,Italy,Udinese,,"
"Simone Perilli,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,30,Italy,Hellas Verona,,"
"Matthias Braunöder,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,22,Austria,Como,,"
"David Pejičić,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,17,Slovenia,Udinese,,"
"Ignace Van der Brempt,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Loan,D,22,Belgium,Como,,"
"Nicola Leali,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,31,Italy,Genoa,,"
"Mario Balotelli,,""$ 5,438"",""$ 282,785"",""$ 169,671"",""$ 452,456"",""$ 452,456"",Active,F,34,Italy,Genoa,,"
"Danilo Veiga,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,22,Portugal,Lecce,,"
"Alessandro Berardi,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,34,Italy,Hellas Verona,,"
"Simone Pafundi,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,18,Italy,Udinese,,"
"Michael Svoboda,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,26,Austria,Venezia,,"
"Nikola Krstović,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,24,Montenegro,Lecce,,"
"Jay Idzes,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,24,Indonesia,Venezia,,"
"Oier Zarraga,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,26,Spain,Udinese,,"
"Jackson Tchatchoua,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,23,Cameroon,Hellas Verona,,"
"Matteo Prati,,""$ 5,221"",""$ 271,473"",,""$ 271,473"",""$ 271,473"",Active,M,21,Italy,Cagliari,,"
"Hamza Rafia,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,M,25,Tunisia,Lecce,,"
"Amine Salama,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Loan,F,24,France,Torino,,"
"Francesco Zampano,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,D,31,Italy,Venezia,,"
"Kevin Zeroli,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Loan,M,20,Italy,Monza,,"
"Bjarki Steinn Bjarkason,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,M,24,Iceland,Venezia,,"
"Pedro Pereira,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,27,Portugal,Monza,,"
"Simone Scuffet,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,K,28,Italy,Napoli,,"
"Paweł Dawidowicz,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,29,Poland,Hellas Verona,,"
"Jonas Rouhi,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,21,Sweden,Juventus,,"
"Tobias Slotsager,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,19,Denmark,Hellas Verona,,"
"Medon Berisha,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,21,Albania,Lecce,,"
"Balthazar Pierret,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,24,France,Lecce,,"
"Daniele Padelli,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,39,Italy,Udinese,,"
"Jacopo Fazzini,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,21,Italy,Empoli,,"
"Issa Doumbia,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,21,Italy,Venezia,,"
"Lorenzo Torriani,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,20,Italy,AC Milan,,"
"Luca Marianucci,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,20,Italy,Empoli,,"
"Lorenzo De Silvestri,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,37,Italy,Bologna,,"
"Hans Nicolussi Caviglia,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Loan,M,24,Italy,Venezia,,"
"Emirhan İlkhan,,""$ 5,873"",""$ 305,408"",,""$ 305,408"",""$ 305,408"",Active,M,20,Turkey,Torino,,"
"Patrizio Masini,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,M,24,Italy,Genoa,,"
"Arvid Brorsson,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,25,Sweden,Monza,,"
"Tiago Gabriel,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,20,Portugal,Lecce,,"
"Mathis Lambourde,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,19,France,Hellas Verona,,"
"Andri Fannar Baldursson,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,M,23,Iceland,Bologna,,"
"Alessio Zerbin,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Loan,F,25,Italy,Venezia,,"
"Lucas Gourna-Douath,,""$ 3,807"",""$ 197,949"",,""$ 197,949"",""$ 197,949"",Loan,M,21,France,Roma,,"
"Mohamed Kaba,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,23,France,Lecce,,"
"Thomas Kristensen,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,23,Denmark,Udinese,,"
"Liberato Cacace,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,24,New Zealand,Empoli,,"
"Jeff Ekhator,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,F,18,Italy,Genoa,,"
"Devis Vásquez,,""$ 5,221"",""$ 271,473"",,""$ 271,473"",""$ 271,473"",Loan,K,26,Colombia,Empoli,,"
"Alieu Njie,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,F,19,Sweden,Torino,,"
"Ali Dembélé,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,21,France,Torino,,"
"Marco Sala,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,D,25,Italy,Lecce,,"
"Raffaele Di Gennaro,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,31,Italy,Inter Milan,,"
"Yllan Okou,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,D,22,France,Hellas Verona,,"
"Sebastian Otoa,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,20,Denmark,Genoa,,"
"Edoardo Corvi,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,23,Italy,Parma,,"
"Buba Sangaré,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,17,Spain,Roma,,"
"Zanos Savva,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,19,Cyprus,Torino,,"
"Arthur Atta,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,M,22,France,Udinese,,"
"Iker Bravo,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,20,Spain,Udinese,,"
"Nicola Bagnolini,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,20,Italy,Bologna,,"
"Fali Candé,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,D,27,Guinea-Bissau,Venezia,,"
"Franco Carboni,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Loan,D,21,Argentina,Venezia,,"
"Matteo Grandi,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,32,Italy,Venezia,,"
"Elijah Scott,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,19,Germany,Lecce,,"
"Antoine Hainaut,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,22,France,Parma,,"
"Daniele Sommariva,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,K,27,Italy,Genoa,,"
"Daniel Oyegoke,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,D,22,England,Hellas Verona,,"
"Kingstone Mutandwa,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,F,22,Zambia,Cagliari,,"
"Stefan Leković,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Loan,D,21,Serbia,Monza,,"
"Alen Sherri,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,K,27,Albania,Cagliari,,"
"Cristo Muñoz,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,F,20,Spain,Lazio,,"
"Marco Palestra,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,M,19,Italy,Atalanta,,"
"Anas Haj Mohamed,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,F,19,Tunisia,Parma,,"
"Semuel Pizzignacco,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Loan,K,23,Italy,Monza,,"
"Junior Ajayi,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,20,Cote d'Ivoire,Hellas Verona,,"
"Lior Kassa,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Loan,M,19,Israel,Genoa,,"
"Matteo Palma,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,16,Germany,Udinese,,"
"Federico Brancolini,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,23,Italy,Empoli,,"
"Francesco Rossi,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,33,Italy,Atalanta,,"
"Joel Voelkerling Persson,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,22,Sweden,Lecce,,"
"Alessandro Bianco,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Loan,M,22,Italy,Monza,,"
"Pierre Bolchini,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,25,Italy,Como,,"
"Grigoris Kastanos,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Loan,F,27,Cyprus,Hellas Verona,,"
"Honest Ahanor,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,16,Italy,Genoa,,"
"Drissa Camara,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,M,22,Cote d'Ivoire,Parma,,"
"Andrea Mazza,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,20,Italy,Monza,,"
"Naj Razi,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,18,Ireland,Como,,"
"Samuele Vignato,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,F,20,Italy,Monza,,"
"Mauro Vigorito,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,34,Italy,Como,,"
"Giuseppe Mazzaglia,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,M,18,Italy,Como,,"
"Niccolò Pisilli,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,M,20,Italy,Roma,,"
"Filipe Bordon,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,D,19,Brazil,Lazio,,"
"Alessio Iovine,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,34,Italy,Como,,"
"Saba Goglichidze,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,D,20,Georgia,Empoli,,"
"Saad El Haddad,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,F,19,Morocco,Venezia,,"
