"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Marko Arnautovic,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,F,35,Austria,Inter Milan,,"
"Fikayo Tomori,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,D,27,England,AC Milan,,"
"Andrea Pinamonti,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Loan,F,25,Italy,Genoa,,"
"Andrea Cambiaso,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Active,D,24,Italy,Juventus,,"
"João Félix,,""$ 48,944"",""$ 2,545,063"",,""$ 2,545,063"",""$ 2,545,063"",Loan,F,25,Portugal,AC Milan,,"
"Samuel Gigot,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Loan,D,31,France,Lazio,,"
"David de Gea,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,K,34,Spain,Fiorentina,,"
"Tijjani Reijnders,,""$ 65,258"",""$ 3,393,417"",""$ 565,570"",""$ 3,958,986"",""$ 3,958,986"",Active,M,26,Netherlands,AC Milan,,"
"Riccardo Orsolini,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,28,Italy,Bologna,,"
"Ivan Provedel,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,K,30,Italy,Lazio,,"
"Nicolò Rovella,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Loan,M,23,Italy,Lazio,,"
"Nuno Tavares,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Loan,D,25,Portugal,Lazio,,"
"Mats Hummels,,""$ 43,505"",""$ 2,262,278"",""$ 1,131,139"",""$ 3,393,417"",""$ 3,393,417"",Active,D,36,Germany,Roma,,"
"Matías Soulé,,""$ 43,505"",""$ 2,262,278"",""$ 565,570"",""$ 2,827,847"",""$ 2,827,847"",Active,F,21,Argentina,Roma,,"
"Robin Gosens,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Loan,D,30,Germany,Fiorentina,,"
