Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Steven Skrzybski,Holstein Kiel,6.63,1328,5.0,3.0,15(9)
Chris Führich,Stuttgart,6.63,1990,2.0,3.0,23(10)
Rani Khedira,Union Berlin,6.63,2727,1.0,1.0,31(1)
Mattias Svanberg,Wolfsburg,6.63,1223,3.0,1.0,14(6)
Danny da Costa,Mainz,6.63,2011,,1.0,25
Adrian BeckFC,Heidenheim,6.63,1599,4.0,1.0,18(14)
Shuto Machino,Holstein Kiel,6.63,1899,11.0,2.0,23(8)
Manuel Neuer,Bayern,6.63,1980,,,22
James SandsSt.,Pauli,6.62,452,,,5(2)
Ellyes Skhiri,Eintracht Frankfurt,6.62,2236,1.0,1.0,26(4)
Tom Krauß,Bochum,6.61,1046,,,13(1)
Frank Onyeka,Augsburg,6.6,2597,,1.0,30(1)
Frans Krätzig,Stuttgart,6.6,57,,,1
Nicolas SeiwaldRBL,Desconocido,6.6,2084,,,20(10)
Tiago Tomás,Wolfsburg,6.59,1895,6.0,1.0,23(9)
Nnamdi Collins,Eintracht Frankfurt,6.59,1486,1.0,1.0,15(9)
Joakim Mæhle,Wolfsburg,6.59,2190,3.0,4.0,25(3)
Benedict Hollerbach,Union Berlin,6.59,2554,9.0,,30(4)
András Schäfer,Union Berlin,6.59,1538,1.0,1.0,17(9)
Tim Breithaupt,Augsburg,6.59,122,,1.0,2
Tom Rothe,Union Berlin,6.58,1673,3.0,3.0,19(7)
Jean-Mattéo Bahoya,Eintracht Frankfurt,6.58,924,2.0,3.0,10(14)
Lovro Majer,Wolfsburg,6.58,304,2.0,1.0,3(6)
Ameen Al Dakhil,Stuttgart,6.57,436,,,6(1)
Edmond Tapsoba,Leverkusen,6.57,2512,,,29
Marius Wolf,Augsburg,6.57,2166,1.0,3.0,28(4)
Mathias HonsakFC,Heidenheim,6.57,1176,5.0,1.0,12(10)
Philipp Lienhart,Freiburg,6.57,2772,1.0,,31(1)
Philipp TreuSt.,Pauli,6.57,2885,,2.0,33
Pavel Kaderábek,Hoffenheim,6.57,1576,2.0,,18(6)
Lukas KlostermannRBL,Desconocido,6.56,1835,1.0,,20(8)
Frank FellerFC,Heidenheim,6.56,121,,,1(1)
Valentin Gendrey,Hoffenheim,6.56,1416,1.0,1.0,14(8)
Nicolai Remberg,Holstein Kiel,6.56,2369,,1.0,26(6)
Gregor Kobel,Borussia Dortmund,6.56,2880,,,32
David NemethSt.,Pauli,6.56,2142,,1.0,24
Benedikt GimberFC,Heidenheim,6.55,2680,,,32
Carney Chukwuemeka,Borussia Dortmund,6.55,245,1.0,,1(9)
Josip Juranovic,Union Berlin,6.55,1159,,,13(4)
Julián Malatini,Werder Bremen,6.55,453,1.0,1.0,5(5)
Philipp SanderBorussia M.,Gladbach,6.55,1402,1.0,,16(11)
Phillip Tietz,Augsburg,6.54,1687,7.0,2.0,19(15)
Alexander Prass,Hoffenheim,6.54,1572,,1.0,19(4)
Kristijan Jakic,Augsburg,6.54,2310,,,27(4)
Finn Porath,Holstein Kiel,6.54,1969,2.0,2.0,20(11)
Maximilian Wittek,Bochum,6.54,2671,,,32(1)
Phil Harres,Holstein Kiel,6.54,1500,8.0,1.0,17(9)
Nathan Tella,Leverkusen,6.54,1364,2.0,4.0,17(10)
Giorgos Masouras,Bochum,6.53,1020,2.0,,12(2)
Lasse Rieß,Mainz,6.53,181,,,3
Joe ScallyBorussia M.,Gladbach,6.53,2587,,,30(2)
Kevin KamplRBL,Desconocido,6.53,1598,1.0,,18(8)
Issa Kaboré,Werder Bremen,6.53,307,,1.0,3(6)
El Chadaille BitshiabuRBL,Desconocido,6.53,1129,,,13(8)
Maarten VandevoordtRBL,Desconocido,6.53,428,,,4(2)
Oladapo AfolayanSt.,Pauli,6.53,1640,3.0,1.0,17(15)
Noah WeisshauptSt.,Pauli,6.53,1169,1.0,,13(6)
Kiliann Sildillia,Freiburg,6.52,794,2.0,,8(13)
Can Uzun,Eintracht Frankfurt,6.52,669,4.0,1.0,6(14)
Amadou HaidaraRBL,Desconocido,6.52,1325,,1.0,16(12)
Thomas Müller,Bayern,6.51,1218,1.0,4.0,12(18)
Michael Zetterer,Werder Bremen,6.51,3060,,,34
Nathan NgoumouBorussia M.,Gladbach,6.51,828,2.0,1.0,9(10)
Kevin Akpoguma,Hoffenheim,6.5,2216,,,23(9)
Johan Manzambi,Freiburg,6.5,333,2.0,1.0,4(7)
Tim SierslebenFC,Heidenheim,6.5,1185,,,14(2)
Andreas Skov Olsen,Wolfsburg,6.5,532,1.0,1.0,4(8)
Benedikt Pichler,Holstein Kiel,6.49,779,1.0,2.0,7(11)
Omar Haktab TraoréFC,Heidenheim,6.49,2622,,1.0,30
Christoph BaumgartnerRBL,Desconocido,6.49,1607,2.0,1.0,18(13)
Lasse Rosenboom,Holstein Kiel,6.49,1739,2.0,2.0,21(5)
Tymoteusz Puchacz,Holstein Kiel,6.49,396,,1.0,5(5)
Amine Adli,Leverkusen,6.49,758,2.0,,6(14)
Gerrit Holtmann,Bochum,6.49,1139,2.0,1.0,12(11)
Myron Boadu,Bochum,6.49,1045,7.0,1.0,11(8)
Sacha Boey,Bayern,6.49,594,,2.0,6(7)
Andreas Hanche-Olsen,Mainz,6.48,1279,1.0,1.0,12(10)
Bazoumana Touré,Hoffenheim,6.48,609,,3.0,7(6)
Lukás Hrádecky,Leverkusen,6.48,2610,,,29
Anthony Jung,Werder Bremen,6.48,1898,,,20(8)
Jonas OmlinBorussia M.,Gladbach,6.48,980,,,11(1)
Erhan Masovic,Bochum,6.48,907,1.0,1.0,10(5)
Niklas DorschFC,Heidenheim,6.48,1350,2.0,2.0,19(3)
Alexander Nübel,Stuttgart,6.47,3060,,1.0,34
Christian Günter,Freiburg,6.47,2324,2.0,2.0,27(2)
Armin Gigovic,Holstein Kiel,6.47,1862,5.0,1.0,23(7)
Woo-yeong Jeong,Union Berlin,6.47,1272,3.0,2.0,17(6)
Marcel Sabitzer,Borussia Dortmund,6.47,1616,1.0,,18(8)
Josha Vagnoman,Stuttgart,6.47,1836,1.0,1.0,19(7)
Ramon Hendriks,Stuttgart,6.47,1143,,1.0,10(15)
Mahmoud Dahoud,Eintracht Frankfurt,6.47,362,1.0,1.0,3(6)
Sebastiaan Bornauw,Wolfsburg,6.46,784,2.0,1.0,8(7)
Marvin FriedrichBorussia M.,Gladbach,6.46,980,,1.0,9(13)
Robin Gosens,Union Berlin,6.46,90,,,1
Salih Özcan,Borussia Dortmund,6.46,387,,,3(8)
El Bilal Touré,Stuttgart,6.46,351,2.0,1.0,3(9)
Luca Jaquez,Stuttgart,6.46,253,,,2(3)
Fabian Rieder,Stuttgart,6.46,867,1.0,3.0,8(13)
Emiliano Buendía,Leverkusen,6.46,256,2.0,,3(8)
Luca Philipp,Hoffenheim,6.45,540,,,6
Niklas Süle,Borussia Dortmund,6.45,1059,,,12(3)
Lennard MaloneyFC,Heidenheim,6.45,765,,,10(1)
Max Geschwill,Holstein Kiel,6.45,1284,1.0,2.0,13(6)
Oliver Burke,Werder Bremen,6.45,900,5.0,,9(16)
Alexander Meyer,Borussia Dortmund,6.45,180,,,2
Mads Roerslev,Wolfsburg,6.45,297,,,2(5)
Patrick Osterhage,Freiburg,6.45,2275,1.0,,27(3)
Kevin Vogt,Union Berlin,6.45,1372,1.0,,16(2)
Finn Becker,Hoffenheim,6.44,666,,1.0,7(6)
Nicolas Höfler,Freiburg,6.44,784,,,7(13)
Farès Chaïbi,Eintracht Frankfurt,6.44,1011,1.0,3.0,10(16)
Lars RitzkaSt.,Pauli,6.44,922,1.0,,11(10)
Lutsharel GeertruidaRBL,Desconocido,6.44,1558,1.0,,17(7)
Jakub Kaminski,Wolfsburg,6.44,1125,,2.0,12(10)
Haris Tabakovic,Hoffenheim,6.44,811,3.0,1.0,6(16)
Lucas Tousart,Union Berlin,6.43,561,,1.0,6(9)
