Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Samú Costa,Mallorca,6.68,2307,1.0,1.0,26(8)
Jonathan Viera,Almeria,6.67,923,,3.0,12
Jesús Areso,Osasuna,6.66,2663,1.0,6.0,29(8)
Antonio Rüdiger,Real Madrid,6.66,2708,1.0,,30(3)
Gabriel Paulista,Atletico,6.66,406,,,5
Rubén Peña,Osasuna,6.66,2105,,2.0,26(3)
Óscar Mingueza,Celta Vigo,6.66,3004,2.0,2.0,33(5)
Chris Ramos,Cadiz,6.66,2627,5.0,1.0,30(7)
Luis Rioja,Deportivo Alaves,6.66,2515,5.0,4.0,31(6)
Fermín López,Barcelona,6.65,1446,8.0,,14(17)
Marc Roca,Real Betis,6.65,1988,2.0,2.0,24(2)
Andreas Christensen,Barcelona,6.65,1999,2.0,2.0,27(3)
Marcos Llorente,Atletico,6.65,2573,6.0,4.0,29(8)
Dani Vivian,Athletic Club,6.65,2879,,,31(2)
Óscar Valentín,Rayo Vallecano,6.65,2702,1.0,,32(2)
Kieran Tierney,Real Sociedad,6.65,1244,,2.0,14(6)
Saúl,Atletico,6.65,1365,1.0,5.0,14(20)
Momo Mbaye,Cadiz,6.65,286,,,2(2)
Predrag Rajkovic,Mallorca,6.65,3240,,,36
Julián Araujo,Las Palmas,6.65,1462,1.0,,15(10)
Jailson,Celta Vigo,6.64,893,,1.0,9(5)
Beñat Prados,Athletic Club,6.64,1452,,,16(10)
Aleksandar Radovanovic,Almeria,6.64,572,,,8(1)
Igor Zubeldia,Real Sociedad,6.64,2524,,2.0,29(1)
Marcos Acuña,Sevilla,6.64,1304,1.0,2.0,18(3)
Cristhian Mosquera,Valencia,6.64,3075,,,33(3)
Gonçalo Guedes,Villarreal,6.64,951,3.0,2.0,9(8)
Oihan Sancet,Athletic Club,6.64,1993,4.0,5.0,25(5)
Rubén García,Osasuna,6.63,1552,3.0,2.0,19(11)
Ferland Mendy,Real Madrid,6.63,1727,,,21(2)
Iker Muñoz,Osasuna,6.63,1855,4.0,,20(8)
Dani Rodríguez,Mallorca,6.63,2635,2.0,4.0,31(5)
Willian José,Real Betis,6.63,1984,10.0,5.0,25(8)
Santi Comesaña,Villarreal,6.63,1656,2.0,,20(7)
Augusto Batalla,Granada,6.63,1530,,,17
Aihen Muñoz,Real Sociedad,6.63,1120,,2.0,11(10)
Mika Mármol,Las Palmas,6.63,3181,,1.0,36
André Almeida,Valencia,6.63,975,2.0,1.0,12(6)
Matteo Gabbia,Villarreal,6.62,479,,,6(1)
Diego López,Valencia,6.62,2672,3.0,6.0,30(6)
Luiz Felipe,Real Betis,6.62,360,,,4
Mikel Vesga,Athletic Club,6.61,1537,3.0,1.0,18(9)
Alberto Moleiro,Las Palmas,6.61,1811,3.0,3.0,21(7)
Jon Guridi,Deportivo Alaves,6.61,2697,3.0,4.0,34(2)
Sergio Herrera,Osasuna,6.61,2870,,,32
Antonio Sivera,Deportivo Alaves,6.61,3060,,,34
Jon Pacheco,Real Sociedad,6.61,1521,1.0,1.0,16(7)
Marcos Peña,Almeria,6.61,438,,,4(3)
Suso,Sevilla,6.61,1516,1.0,4.0,15(14)
Pathé Ciss,Rayo Vallecano,6.61,1661,1.0,,16(15)
Rubén Duarte,Deportivo Alaves,6.6,1877,2.0,1.0,21(7)
Ander Herrera,Athletic Club,6.6,1023,,3.0,10(13)
Hamari Traoré,Real Sociedad,6.6,2301,,2.0,27(4)
Javi López,Deportivo Alaves,6.6,2387,1.0,3.0,25(7)
Nemanja Radonjic,Mallorca,6.6,350,,,4(7)
Álvaro García,Rayo Vallecano,6.6,2492,6.0,1.0,30(2)
Chadi Riad,Real Betis,6.6,2165,,,24(2)
Abdul Mumin,Rayo Vallecano,6.6,1695,1.0,,19(1)
Juanlu Sánchez,Sevilla,6.6,1178,,2.0,11(15)
Iñigo Martínez,Barcelona,6.6,1293,,,13(7)
Andoni Gorosabel,Deportivo Alaves,6.6,2865,1.0,,33(3)
Julen Agirrezabala,Athletic Club,6.6,236,,,2(2)
Álex Suárez,Las Palmas,6.59,2569,2.0,,30(2)
José María Giménez,Atletico,6.59,1325,,,14(8)
Mikel Oyarzabal,Real Sociedad,6.59,2160,9.0,3.0,23(10)
Luís Maximiano,Almeria,6.59,2970,,,33
Íñigo Lekue,Athletic Club,6.59,2001,,2.0,22(5)
Bertrand Traoré,Villarreal,6.59,568,1.0,,6(5)
Héctor Fort,Barcelona,6.59,322,,2.0,4(3)
Pacha Espino,Rayo Vallecano,6.58,2514,,1.0,29(2)
David Soria,Getafe,6.58,3414,,,38
Fran García,Real Madrid,6.58,1397,1.0,5.0,15(10)
Carlos Protesoni,Deportivo Alaves,6.58,1122,3.0,1.0,10(19)
Adrià Pedrosa,Sevilla,6.58,1750,1.0,4.0,15(16)
Youssouf Sabaly,Real Betis,6.57,1048,,1.0,12
Aritz Elustondo,Real Sociedad,6.57,809,,1.0,7(8)
Miguel Rubio,Granada,6.57,1561,1.0,,17(2)
Ferran Torres,Barcelona,6.57,1203,7.0,2.0,12(17)
Moi Gómez,Osasuna,6.57,2012,3.0,,23(5)
Stefan Savic,Atletico,6.57,1631,,,19(4)
Aleksandar Sedlar,Deportivo Alaves,6.57,949,1.0,,11
Juan Iglesias,Getafe,6.57,1420,,2.0,17(7)
Manu Sánchez,Celta Vigo,6.57,1776,,5.0,20(6)
Ilias Akhomach,Villarreal,6.57,1514,2.0,2.0,17(14)
Aitor Paredes,Athletic Club,6.57,2708,1.0,,31(3)
Lucas Torró,Osasuna,6.56,1794,1.0,,21(7)
Alejandro Balde,Barcelona,6.56,1378,,1.0,15(3)
Álex Sola,Deportivo Alaves,6.56,1261,,3.0,14(15)
Gastón Álvarez,Getafe,6.56,2538,2.0,,29(5)
Yeray Álvarez,Athletic Club,6.56,1156,,,14(5)
Javi Hernández,Cadiz,6.56,2518,1.0,2.0,28(2)
Giovanni González,Mallorca,6.56,2466,1.0,1.0,27(7)
Ander Barrenetxea,Real Sociedad,6.55,1440,4.0,1.0,20(9)
Stole Dimitrievski,Rayo Vallecano,6.55,3330,,,37
Boubakary Soumaré,Sevilla,6.55,2288,,1.0,26(2)
Antonio Blanco,Deportivo Alaves,6.55,2437,,1.0,29(4)
Sokratis Papastathopoulos,Real Betis,6.55,1135,,,12(3)
Joseph Aidoo,Celta Vigo,6.55,407,,,4(2)
Copete,Mallorca,6.55,1339,1.0,1.0,17(2)
Érik Lamela,Sevilla,6.55,459,2.0,,5(8)
Nacho,Real Madrid,6.54,1741,,1.0,18(11)
César Azpilicueta,Atletico,6.54,1423,,2.0,14(11)
Sergi Canós,Valencia,6.54,1236,1.0,2.0,15(12)
Javi Guerra,Valencia,6.54,2505,4.0,1.0,28(8)
Alex Berenguer,Athletic Club,6.54,1582,7.0,3.0,15(20)
Marko Dmitrovic,Sevilla,6.54,1170,,,13
Jesús Navas,Sevilla,6.53,2012,,2.0,25(4)
Pablo Maffeo,Mallorca,6.53,1458,1.0,2.0,17(5)
Lucien Agoumé,Sevilla,6.53,778,,,9(3)
Martin Valjent,Mallorca,6.53,2355,,1.0,28
Dodi Lukébakio,Sevilla,6.53,1127,5.0,1.0,12(11)
Sergio Ruiz,Granada,6.53,2504,,4.0,31(5)
Rafa Marín,Deportivo Alaves,6.53,2441,,,27(6)
Anthony Lozano,Almeria,6.53,778,3.0,,10(3)
Éder Militão,Real Madrid,6.53,497,,,6(4)
Rodrigo Riquelme,Atletico,6.52,1527,3.0,5.0,17(17)
Enzo Loiodice,Las Palmas,6.52,1793,,1.0,19(15)
Abdel Abqar,Deportivo Alaves,6.52,2316,,,27
Sergio Akieme,Almeria,6.52,1676,2.0,,19
Bruno Langa,Almeria,6.52,819,1.0,,9(2)
Léo Baptistão,Almeria,6.52,1844,6.0,,22(10)
Edgar González,Almeria,6.51,2529,2.0,,30(1)
Fali,Cadiz,6.51,2552,,,30
Sheraldo Becker,Real Sociedad,6.51,774,2.0,2.0,8(7)
Unai López,Rayo Vallecano,6.51,2127,1.0,2.0,28(7)
Dion Lopy,Almeria,6.51,1921,,,23(7)
Nacho Vidal,Mallorca,6.51,417,,,5(3)
Portu,Girona,6.51,1180,7.0,5.0,11(22)
Raúl Albiol,Villarreal,6.5,2036,,1.0,24(2)
Alfonso Pedraza,Villarreal,6.5,1120,1.0,3.0,14(5)
Ignasi Miquel,Granada,6.5,2992,1.0,1.0,33(1)
Iván Balliu,Rayo Vallecano,6.5,2876,,1.0,32(1)
Sandro Ramírez,Las Palmas,6.5,1818,1.0,3.0,21(6)
Héctor Bellerín,Real Betis,6.5,1715,,1.0,20(3)
Gonzalo Villar,Granada,6.5,1790,1.0,3.0,21(14)
Victor Chust,Cadiz,6.5,1870,,1.0,22
Saúl Coco,Las Palmas,6.5,2295,1.0,,26(4)
Aridane Hernández,Rayo Vallecano,6.49,1691,,,19
Mihailo Ristic,Celta Vigo,6.49,809,,,9(3)
Gabriel Paulista,Valencia,6.49,1401,,,16(2)
Kike García,Deportivo Alaves,6.49,1424,3.0,2.0,15(18)
Damián Rodríguez,Celta Vigo,6.49,258,,2.0,3(2)
Cristhian Stuani,Girona,6.49,784,9.0,3.0,5(26)
Fernando,Sevilla,6.49,461,,,5(3)
Nahuel Tenaglia,Deportivo Alaves,6.49,1131,1.0,,11(14)
Williot Swedberg,Celta Vigo,6.48,434,5.0,,4(11)
Jorge Herrando,Osasuna,6.48,1644,,,18(1)
Nahuel Molina,Atletico,6.48,1860,2.0,3.0,19(11)
Francis Coquelin,Villarreal,6.48,912,,,10(7)
Enes Ünal,Getafe,6.48,138,,1.0,1(2)
Pablo Busto,Real Betis,6.48,42,,,0(2)
Ander Guevara,Deportivo Alaves,6.47,2937,1.0,,33(4)
Arnau Martínez,Girona,6.47,1242,,2.0,14(7)
Damián Suárez,Getafe,6.47,1307,,2.0,16(1)
Aimar Oroz,Osasuna,6.47,2351,2.0,1.0,26(7)
Juanmi Latasa,Getafe,6.47,1557,2.0,,15(17)
Munir El Haddadi,Las Palmas,6.47,2471,3.0,2.0,32(6)
Manu Morlanes,Mallorca,6.47,1611,,2.0,16(19)
Memphis Depay,Atletico,6.46,892,5.0,1.0,9(14)
Iza Carcelén,Cadiz,6.46,2609,,,29(6)
Beñat Turrientes,Real Sociedad,6.46,1692,,1.0,19(10)
Fran Pérez,Valencia,6.46,2070,1.0,4.0,27(5)
Imanol García de Albéniz,Athletic Club,6.46,520,,,5(4)
Johan Mojica,Osasuna,6.46,2041,,3.0,22(8)
Kiko Femenía,Villarreal,6.46,1581,,,16(7)
Kamil Józwiak,Granada,6.46,573,,1.0,7(4)
Umar Sadiq,Real Sociedad,6.45,1078,3.0,1.0,12(14)
Alejandro Catena,Osasuna,6.45,2536,1.0,3.0,28(2)
Srdjan Babic,Almeria,6.45,90,,,1
Myrto Uzuni,Granada,6.45,2460,11.0,1.0,28(6)
Cenk Özkacar,Valencia,6.45,1596,,,18(5)
Álex Centelles,Almeria,6.45,980,,1.0,11(3)
Carlos Domínguez,Celta Vigo,6.44,1586,,,18(4)
Alberto Moreno,Villarreal,6.44,1490,2.0,2.0,17(10)
Pejiño,Las Palmas,6.44,501,2.0,,6(11)
Facundo Pellistri,Granada,6.44,1221,2.0,1.0,14(1)
Eric Bailly,Villarreal,6.44,839,,,9(1)
Yarek Gasiorowski,Valencia,6.44,733,,,7(7)
