Player_Name,Team,Rating,Mins,Goals,Assists,Apps
VitinhaPSG,Desconocido,6.74,2461,2.0,3.0,29(7)
Christopher Jullien,Montpellier,6.74,2696,,2.0,30
Saîf-Eddine Khaoui,Clermont Foot,6.74,2036,7.0,3.0,23(11)
Jérémy Le Douaron,Brest,6.73,2080,10.0,3.0,24(8)
Azzedine Ounahi,Angers,6.73,1137,,,13(2)
Castello Lukeba,Lyon,6.73,2986,2.0,,33(1)
Mama Baldé,Troyes,6.73,2672,12.0,3.0,30(4)
Gideon Mensah,Auxerre,6.73,2263,,,26
Ante Palaversa,Troyes,6.73,29,1.0,,0(2)
Sofiane Diop,Nice,6.73,1231,1.0,4.0,14(8)
Jubal,Auxerre,6.73,3216,3.0,1.0,35(2)
Leonardo Balerdi,Marseille,6.73,2643,,1.0,30(5)
Quentin Merlin,Nantes,6.73,1803,1.0,2.0,22(2)
Badredine Bouanani,Nice,6.72,861,,4.0,9(10)
Lovro Majer,Rennes,6.72,1670,2.0,5.0,18(14)
Laurent Abergel,Lorient,6.72,2351,,1.0,28(1)
Deiver Machado,Lens,6.72,2206,4.0,3.0,26(7)
Warmed Omari,Rennes,6.72,1363,,,15(1)
MarquinhosPSG,Desconocido,6.72,2718,2.0,,30(3)
Théo Sainte-Luce,Montpellier,6.72,535,1.0,1.0,7(2)
Lucien Agoumé,Troyes,6.71,1097,,1.0,14(1)
Désiré Doué,Rennes,6.71,1116,3.0,1.0,11(15)
Vito Mannone,Lorient,6.71,1607,,,17(1)
Mario Lemina,Nice,6.71,844,,,11(3)
Angel Gomes,Lille,6.71,2836,2.0,6.0,34(2)
Arthur Theate,Rennes,6.71,3129,4.0,,35
André Gomes,Lille,6.71,1628,3.0,2.0,18(8)
Steve Mandanda,Rennes,6.7,3016,,1.0,34
Marco Bizot,Brest,6.7,3330,,,37
Zakaria Aboukhlal,Toulouse,6.7,2480,10.0,5.0,28(9)
Farès Chaïbi,Toulouse,6.7,2345,5.0,5.0,24(12)
Jean-Charles Castelletto,Nantes,6.69,2569,,,30(2)
Aaron Ramsey,Nice,6.69,1588,1.0,1.0,18(9)
Tiago Djaló,Lille,6.69,2022,2.0,,24(1)
Gédéon Kalulu,Lorient,6.69,2442,,4.0,28(1)
Han-Noah Massengo,Auxerre,6.69,1119,,,13(1)
Nuno da Costa,Auxerre,6.69,2017,5.0,4.0,23(10)
Anthony Lopes,Lyon,6.69,2817,,,32
Andy Delort,Nice,6.68,781,6.0,1.0,9(5)
Jeffinho,Lyon,6.68,443,1.0,,4(5)
Alexander Nübel,Monaco,6.68,3420,,,38
Jonas Omlin,Montpellier,6.68,1168,,,14
Karl Toko-Ekambi,Rennes,6.68,973,3.0,2.0,11(6)
Youssouf Ndayishimiye,Nice,6.68,566,1.0,,6(4)
Joris Chotard,Montpellier,6.67,2461,,6.0,26(9)
Bamo Meïté,Lorient,6.67,1504,1.0,,17(1)
Nicolas Pallois,Nantes,6.67,2217,1.0,,26
Dimitri Payet,Marseille,6.67,828,4.0,3.0,9(15)
Bafodé Diakité,Lille,6.66,2656,3.0,,29(4)
Chrislain Matsima,Monaco,6.66,446,,1.0,5(3)
Jeanuël Belocian,Rennes,6.66,508,,,6(2)
Quentin Bernard,Auxerre,6.66,630,,1.0,7
Lilian Brassier,Brest,6.66,3094,,,35(1)
Anthony Rouault,Toulouse,6.65,3316,2.0,,37
Maximiliano Caufriez,Clermont Foot,6.65,2224,1.0,,25(1)
Cheick Keita,Reims,6.65,688,,,8(1)
Maxime Le Marchand,Strasbourg,6.65,2018,,,23(3)
Issiaga Sylla,Toulouse,6.65,1376,,,16(1)
Grejohn Kyei,Clermont Foot,6.65,2244,10.0,3.0,26(11)
Thijs Dallinga,Toulouse,6.65,2363,12.0,1.0,28(8)
Ruslan Malinovskyi,Marseille,6.65,1232,1.0,1.0,13(7)
Ismaël Doukouré,Strasbourg,6.65,2301,1.0,1.0,25(3)
Joe Rodon,Rennes,6.65,1418,1.0,,16
Mostafa Mohamed,Nantes,6.64,1936,8.0,2.0,18(18)
Julien Laporte,Lorient,6.64,1656,,,19(1)
Eliesse Ben Seghir,Monaco,6.64,1060,4.0,1.0,13(6)
Gabriel Suazo,Toulouse,6.63,1258,,1.0,14(4)
Vincent Le Goff,Lorient,6.63,3330,,,37
Mahdi Camara,Brest,6.63,1825,2.0,,20(11)
Mattéo Guendouzi,Marseille,6.63,2113,2.0,4.0,25(8)
Hamza Sakhi,Auxerre,6.63,1660,1.0,2.0,18(9)
Lucas Chevalier,Lille,6.63,2880,,,32
Flavien Tait,Rennes,6.62,1685,2.0,2.0,19(11)
Arnaud Kalimuendo,Rennes,6.62,1862,7.0,3.0,24(6)
