Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
448,Hugo Rölleke,de GER,GK,Bochum,18,2005,0,,,,,0,,0,0,,2,,,,,,,Matches
449,Moritz Römling,de GER,FW,Bochum,22,2001,0,,,,,0,,0,0,,2,,,,,,,Matches
450,Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,26,1997,4,76,19,2.5,0.8,0,,0,4,19,2,1.00,2,2,0,0.00,+1.69,Matches
451,Max Rosenfelder,de GER,DF,Freiburg,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
452,Anthony Rouault,fr FRA,DF,Stuttgart,22,2001,22,1010,46,33.0,11.2,11,77,5,11,15,4,2.18,27,15,+12,+1.07,-0.12,Matches
453,Jérôme Roussillon,gp GLP,"DF,MF",Union Berlin,30,1993,23,752,33,24.6,8.4,8,72,2,15,12,3,1.13,10,12,-2,-0.24,+0.66,Matches
454,Fabian Rüdlin,de GER,MF,Freiburg,26,1997,1,7,7,0.2,0.1,0,,0,1,7,7,0.00,0,1,-1,-12.86,-12.50,Matches
455,Julian Ryerson,no NOR,DF,Dortmund,25,1997,21,1767,84,57.7,19.6,20,86,14,1,45,3,2.00,35,24,+11,+0.56,-0.41,Matches
456,Frederik Rønnow,dk DEN,GK,Union Berlin,30,1992,33,2970,90,97.1,33.0,33,90,33,0,,0,1.00,33,56,-23,-0.70,+1.30,Matches
457,Marcel Sabitzer,at AUT,MF,Dortmund,29,1994,25,1961,78,64.1,21.8,23,84,18,2,16,2,1.88,44,26,+18,+0.83,+0.25,Matches
458,Roland Sallai,hu HUN,"MF,FW",Freiburg,26,1997,27,1840,68,60.1,20.4,22,79,5,5,21,0,1.33,26,35,-9,-0.44,-0.15,Matches
459,Diadie Samassékou,ml MLI,MF,Hoffenheim,27,1996,1,1,1,0.0,0.0,0,,0,1,1,10,3.00,0,0,0,0.00,0.00,Matches
460,Jadon Sancho,eng ENG,"MF,FW",Dortmund,23,2000,14,947,68,30.9,10.5,11,78,2,3,28,2,1.86,19,11,+8,+0.76,+0.04,Matches
461,Leroy Sané,de GER,MF,Bayern Munich,27,1996,27,2137,79,69.8,23.7,25,84,16,2,24,0,2.19,67,26,+41,+1.73,+0.95,Matches
462,Mohamed Sankoh,nl NED,FW,Stuttgart,19,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
463,Kauã Santos,br BRA,GK,Eintracht Frankfurt,20,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
464,Amin Sarr,se SWE,"MF,FW",Wolfsburg,22,2001,14,386,28,12.6,4.3,2,68,0,12,21,6,0.71,2,8,-6,-1.40,-1.10,Matches
465,Bouna Sarr,sn SEN,DF,Bayern Munich,31,1992,2,106,53,3.5,1.2,1,90,1,1,16,8,3.00,4,2,+2,+1.70,+0.27,Matches
466,Kein Sato,jp JPN,FW,Werder Bremen,22,2001,0,,,,,0,,0,0,,3,,,,,,,Matches
467,Joe Scally,us USA,"DF,MF",Gladbach,20,2002,31,2236,72,73.1,24.8,25,85,19,6,20,3,1.06,42,50,-8,-0.32,+0.01,Matches
468,András Schäfer,hu HUN,MF,Union Berlin,24,1999,20,1214,61,39.7,13.5,14,74,4,6,30,0,1.00,13,24,-11,-0.82,-0.13,Matches
469,Patrik Schick,cz CZE,FW,Leverkusen,27,1996,20,1063,53,34.7,11.8,12,76,3,8,19,4,2.50,25,7,+18,+1.52,-0.59,Matches
470,Stefan Schimmer,de GER,FW,Heidenheim,29,1994,16,153,10,5.0,1.7,0,,0,16,10,18,0.81,2,3,-1,-0.59,-0.46,Matches
471,Xaver Schlager,at AUT,MF,RB Leipzig,25,1997,29,2477,85,80.9,27.5,29,85,22,0,,0,1.93,64,32,+32,+1.16,+0.24,Matches
472,Tim Schleinitz,de GER,MF,Union Berlin,18,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
473,Keven Schlotterbeck,de GER,DF,Freiburg,26,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
474,Keven Schlotterbeck,de GER,DF,Bochum,26,1997,27,2185,81,71.4,24.3,24,90,23,3,10,2,1.07,33,48,-15,-0.62,+1.13,Matches
475,Nico Schlotterbeck,de GER,DF,Dortmund,23,1999,33,2859,87,93.4,31.8,32,88,29,1,28,1,1.82,62,41,+21,+0.66,-1.13,Matches
476,Romano Schmid,at AUT,"MF,FW",Werder Bremen,23,2000,33,2601,79,85.0,28.9,30,84,13,3,23,0,1.27,43,48,-5,-0.17,+0.02,Matches
477,Kenneth Schmidt,de GER,DF,Freiburg,21,2002,5,68,14,2.2,0.8,0,,0,5,14,7,0.80,1,4,-3,-3.97,-3.67,Matches
478,Benno Schmitz,de GER,DF,Köln,28,1994,22,1155,53,37.7,12.8,13,80,7,9,13,8,0.73,12,19,-7,-0.55,+0.64,Matches
479,Fabian Schnellhardt,de GER,MF,Darmstadt 98,29,1994,10,235,24,7.7,2.6,2,64,0,8,13,13,0.30,1,7,-6,-2.30,-0.70,Matches
480,Florian Schock,de GER,GK,Stuttgart,22,2001,0,,,,,0,,0,0,,3,,,,,,,Matches
481,Max Scholze,de GER,FW,Bayern Munich,18,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
482,Jan Schöppner,de GER,MF,Heidenheim,24,1999,26,1998,77,65.3,22.2,23,84,16,3,21,8,1.31,31,32,-1,-0.05,+0.29,Matches
483,Marcel Schuhen,de GER,GK,Darmstadt 98,30,1993,31,2790,90,91.2,31.0,31,90,31,0,,2,0.52,29,76,-47,-1.52,+1.48,Matches
484,Philipp Schulze,de GER,GK,Wolfsburg,20,2003,0,,,,,0,,0,0,,4,,,,,,,Matches
485,Marvin Schwäbe,de GER,GK,Köln,28,1995,34,3060,90,100.0,34.0,34,90,34,0,,0,0.79,28,60,-32,-0.94,,Matches
486,Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1,90,90,2.9,1.0,1,90,1,0,,28,0.00,0,2,-2,-2.00,-1.30,Matches
487,Dennis Seimen,de GER,GK,Stuttgart,17,2005,0,,,,,0,,0,0,,6,,,,,,,Matches
488,Nicolas Seiwald,at AUT,MF,RB Leipzig,22,2001,21,718,34,23.5,8.0,6,74,2,15,18,13,1.76,16,14,+2,+0.25,-1.13,Matches
489,Davie Selke,de GER,FW,Köln,28,1995,19,1265,67,41.3,14.1,16,75,5,3,20,1,0.74,9,24,-15,-1.07,-0.21,Matches
490,Benjamin Šeško,si SVN,FW,RB Leipzig,20,2003,31,1526,49,49.9,17.0,17,74,2,14,19,2,2.00,34,22,+12,+0.71,-0.82,Matches
491,Kevin Sessa,de GER,MF,Heidenheim,23,2000,30,1011,34,33.0,11.2,7,70,0,23,23,2,1.27,21,14,+7,+0.62,+1.15,Matches
492,Aaron Seydel,de GER,FW,Darmstadt 98,27,1996,16,619,39,20.2,6.9,5,72,2,11,23,2,0.50,6,15,-9,-1.31,+0.42,Matches
493,Tim Siersleben,de GER,DF,Heidenheim,23,2000,14,910,65,29.7,10.1,10,86,9,4,14,19,1.14,13,23,-10,-0.99,-1.20,Matches
494,Kiliann Sildillia,fr FRA,DF,Freiburg,21,2002,27,1806,67,59.0,20.1,20,86,17,7,13,4,1.33,26,33,-7,-0.35,+0.08,Matches
495,Mohamed Simakan,fr FRA,DF,RB Leipzig,23,2000,32,2138,67,69.9,23.8,23,84,13,9,24,0,1.91,49,30,+19,+0.80,-1.05,Matches
496,Simon Simoni,al ALB,GK,Eintracht Frankfurt,19,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
497,Xavi Simons,nl NED,MF,RB Leipzig,20,2003,32,2653,83,86.7,29.5,32,83,10,0,,0,2.00,69,28,+41,+1.39,+2.05,Matches
498,Tobias Sippel,de GER,GK,Gladbach,35,1988,0,,,,,0,,0,0,,4,,,,,,,Matches
499,Tim Skarke,de GER,"FW,MF",Darmstadt 98,26,1996,30,2404,80,78.6,26.7,29,82,13,1,32,0,0.57,22,69,-47,-1.76,-0.52,Matches
500,Ellyes Skhiri,tn TUN,MF,Eintracht Frankfurt,28,1995,27,2168,80,70.8,24.1,24,88,18,3,22,0,1.41,36,32,+4,+0.17,+0.47,Matches
501,Robert Skov,dk DEN,MF,Hoffenheim,27,1996,25,1260,50,41.2,14.0,14,70,2,11,26,6,1.28,28,32,-4,-0.29,-0.49,Matches
502,Hrvoje Smolčić,hr CRO,DF,Eintracht Frankfurt,22,2000,11,347,32,11.3,3.9,3,87,2,8,11,20,1.73,4,6,-2,-0.52,-0.62,Matches
503,Danilo Soares,br BRA,MF,Bochum,31,1991,5,351,70,11.5,3.9,3,88,2,2,44,11,0.60,3,6,-3,-0.77,+0.19,Matches
504,Borna Sosa,hr CRO,"DF,MF",Stuttgart,25,1998,2,46,23,1.5,0.5,0,,0,2,23,0,1.50,0,4,-4,-7.83,-9.11,Matches
