Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Daniel James,Leeds,6.44,199,,,2(2)
Victor Kristiansen,Leicester,6.44,895,,1.0,11(1)
Ederson,Man City,6.44,3150,,1.0,35
Paul Onuachu,Southampton,6.44,405,,,4(7)
Jacob Murphy,Newcastle,6.44,1246,4.0,2.0,14(22)
Eddie Nketiah,Arsenal,6.44,1073,4.0,1.0,9(21)
Gavin Bazunu,Southampton,6.44,2880,,,32
Hugo Bueno,Wolves,6.44,1316,,1.0,16(5)
Craig Dawson,West Ham,6.44,720,,,8
Emmanuel Dennis,Nottingham Forest,6.44,715,2.0,2.0,6(13)
Harry Wilson,Fulham,6.43,1099,2.0,3.0,13(16)
Mads Roerslev,Brentford,6.43,1103,,,12(8)
James Garner,Everton,6.43,798,,1.0,7(9)
Odsonne Édouard,Crystal Palace,6.43,1806,5.0,2.0,20(15)
Luke Thomas,Leicester,6.43,1072,,,11(6)
Bryan Gil,Tottenham,6.43,148,,1.0,2(2)
Wayne Hennessey,Nottingham Forest,6.43,271,,,3(1)
Albert Sambi Lokonga,Crystal Palace,6.42,536,,,6(3)
Illan Meslier,Leeds,6.42,3060,,,34
Robert Sánchez,Brighton,6.42,2070,,,23
Weston McKennie,Leeds,6.42,1440,,1.0,16(3)
Joel Robles,Leeds,6.42,360,,,4
Oliver Skipp,Tottenham,6.42,1499,1.0,,18(5)
Emerson,West Ham,6.42,1323,1.0,,16(6)
Junior Firpo,Leeds,6.42,1368,1.0,1.0,14(5)
Brenden Aaronson,Leeds,6.41,2384,1.0,3.0,28(8)
Lewis Cook,Bournemouth,6.41,1715,,2.0,18(10)
Enock Mwepu,Brighton,6.41,211,,1.0,2(4)
Neeskens Kebano,Fulham,6.41,766,,3.0,9(8)
Kristoffer Ajer,Brentford,6.41,766,,,9
Pablo Fornals,West Ham,6.41,1506,3.0,1.0,17(15)
Lucas Digne,Aston Villa,6.41,1501,1.0,,18(10)
Chris Richards,Crystal Palace,6.4,444,,,4(5)
Ryan Sessegnon,Tottenham,6.4,811,2.0,,9(8)
Juan Larios,Southampton,6.4,152,,,2(3)
Nathaniel Phillips,Liverpool,6.4,66,,,1(1)
Frank Onyeka,Brentford,6.39,845,,2.0,8(13)
Cristiano Ronaldo,Man Utd,6.39,520,1.0,,4(6)
Denis Zakaria,Chelsea,6.39,413,,,5(2)
Scott McKenna,Nottingham Forest,6.39,1574,,,19(1)
Ben Johnson,West Ham,6.39,863,,,9(8)
Matt Targett,Newcastle,6.39,603,,,6(11)
Cheikhou Kouyaté,Nottingham Forest,6.38,880,1.0,,10(11)
James Bree,Southampton,6.38,368,,,4(1)
Gonçalo Guedes,Wolves,6.38,710,1.0,1.0,8(5)
Remo Freuler,Nottingham Forest,6.38,2167,,,24(4)
Pedro Neto,Wolves,6.38,972,,,14(5)
Pablo Sarabia,Wolves,6.38,772,1.0,,9(4)
Theo Walcott,Southampton,6.38,1134,2.0,2.0,13(7)
Wout Weghorst,Man Utd,6.38,797,,1.0,10(7)
Ricardo Pereira,Leicester,6.38,453,1.0,1.0,5(5)
Philippe Coutinho,Aston Villa,6.37,783,1.0,,7(13)
Fábio Carvalho,Liverpool,6.37,343,2.0,,4(9)
Ludwig Augustinsson,Aston Villa,6.37,80,,,1(2)
Steve Cook,Nottingham Forest,6.37,959,,,11(1)
Bertrand Traoré,Aston Villa,6.36,227,2.0,,1(7)
Zanka,Brentford,6.36,1098,,,11(7)
Patrick Bamford,Leeds,6.36,1523,4.0,2.0,18(10)
Édouard Mendy,Chelsea,6.36,855,,,9(1)
Alejandro Garnacho,Man Utd,6.35,563,3.0,2.0,5(14)
Jeremy Sarmiento,Brighton,6.35,169,,1.0,1(8)
Kieffer Moore,Bournemouth,6.35,1278,4.0,,12(15)
Raúl Jiménez,Wolves,6.35,843,,1.0,8(7)
Jaidon Anthony,Bournemouth,6.35,1248,3.0,1.0,11(19)
Danny Ings,West Ham,6.35,771,2.0,2.0,7(10)
Isaac Price,Everton,6.35,32,,,0(1)
Mark Travers,Bournemouth,6.35,1035,,,11(1)
Mikkel Damsgaard,Brentford,6.35,982,,,9(17)
Mason Holgate,Everton,6.35,508,,,5(3)
Deniz Undav,Brighton,6.34,623,5.0,,6(16)
Cole Palmer,Man City,6.34,359,,1.0,2(12)
