"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Maxence Lacroix,,""$ 39,960"",""$ 2,077,910"",,""$ 2,077,910"",""$ 2,170,946"",Active,D,22,France,Wolfsburg,,"
"Yannick Gerhardt,,""$ 39,752"",""$ 2,067,088"",,""$ 2,067,088"",""$ 2,159,639"",Active,M,28,Germany,Wolfsburg,,"
"Jonas Hector,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,D,32,Germany,Koln,,"
"Timo Horn,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,K,29,Germany,Koln,,"
"Amadou Haidara,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,M,25,Mali,Leipzig,,"
"Kevin Trapp,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,K,32,Germany,Eintracht Frankfurt,,"
"Mario Götze,,""$ 38,711"",""$ 2,012,976"",""$ 865,796"",""$ 2,878,772"",""$ 3,007,664"",Active,F,31,Germany,Eintracht Frankfurt,,"
"Christoph Kramer,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,M,31,Germany,Monchengladbach,,"
"Angeliño,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Loan,D,26,Spain,Hoffenheim,,"
"Munas Dabbur,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,F,30,Israel,Hoffenheim,,"
"Thomas Delaney,,""$ 38,295"",""$ 1,991,331"",,""$ 1,991,331"",""$ 2,080,490"",Loan,M,31,Denmark,Hoffenheim,,"
"Julian Weigl,,""$ 37,462"",""$ 1,948,041"",""$ 346,318"",""$ 2,294,359"",""$ 2,397,086"",Loan,M,27,Germany,Monchengladbach,,"
"Luca Waldschmidt,,""$ 37,462"",""$ 1,948,041"",,""$ 1,948,041"",""$ 2,035,262"",Active,F,26,Germany,Wolfsburg,,"
"Josuha Guilavogui,,""$ 36,422"",""$ 1,893,929"",,""$ 1,893,929"",""$ 1,978,727"",Active,M,32,France,Wolfsburg,,"
"Marius Wolf,,""$ 36,422"",""$ 1,893,929"",,""$ 1,893,929"",""$ 1,978,727"",Active,D,27,Germany,Borussia Dortmund,,"
"Jude Bellingham,,""$ 35,797"",""$ 1,861,461"",,""$ 1,861,461"",""$ 1,944,805"",Active,M,19,England,Borussia Dortmund,,"
"Kerem Demirbay,,""$ 35,381"",""$ 1,839,816"",,""$ 1,839,816"",""$ 1,922,191"",Active,M,29,Germany,Bayer Leverkusen,,"
"Sardar Azmoun,,""$ 35,381"",""$ 1,839,816"",,""$ 1,839,816"",""$ 1,922,191"",Active,F,28,Iran,Bayer Leverkusen,,"
"Marcus Thuram,,""$ 35,381"",""$ 1,839,816"",,""$ 1,839,816"",""$ 1,922,191"",Active,F,25,France,Monchengladbach,,"
"Suat Serdar,,""$ 34,549"",""$ 1,796,527"",,""$ 1,796,527"",""$ 1,876,963"",Active,M,25,Germany,Hertha Berlin,,"
"Jonas Omlin,,""$ 33,300"",""$ 1,731,592"",,""$ 1,731,592"",""$ 1,809,121"",Active,K,29,Switzerland,Monchengladbach,,"
"Marcel Halstenberg,,""$ 33,092"",""$ 1,720,770"",,""$ 1,720,770"",""$ 1,797,814"",Active,D,31,Germany,Leipzig,,"
"Konrad Laimer,,""$ 33,092"",""$ 1,720,770"",,""$ 1,720,770"",""$ 1,797,814"",Active,M,25,Austria,Leipzig,,"
"Oliver Baumann,,""$ 33,092"",""$ 1,720,770"",,""$ 1,720,770"",""$ 1,797,814"",Active,K,32,Germany,Hoffenheim,,"
"Kasper Dolberg,,""$ 33,092"",""$ 1,720,770"",,""$ 1,720,770"",""$ 1,797,814"",Loan,F,25,Denmark,Hoffenheim,,"
"Youssoufa Moukoko,,""$ 33,092"",""$ 1,720,770"",""$ 1,720,770"",""$ 3,441,539"",""$ 3,595,629"",Active,F,18,Germany,Borussia Dortmund,,"
"Jonathan Tah,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,696,051"",Active,D,26,Germany,Bayer Leverkusen,,"
"Mergim Berisha,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,696,051"",Loan,F,24,Germany,Augsburg,,"
"Ozan Kabak,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,696,051"",Active,D,22,Turkey,Hoffenheim,,"
"Nadiem Amiri,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,696,051"",Active,M,26,Germany,Bayer Leverkusen,,"
"Mattias Svanberg,,""$ 31,219"",""$ 1,623,367"",,""$ 1,623,367"",""$ 1,696,051"",Active,M,24,Sweden,Wolfsburg,,"
"Sebastiaan Bornauw,,""$ 31,010"",""$ 1,612,545"",,""$ 1,612,545"",""$ 1,684,744"",Active,D,23,Belgium,Wolfsburg,,"
"Ralf Fährmann,,""$ 30,802"",""$ 1,601,723"",,""$ 1,601,723"",""$ 1,673,437"",Active,K,34,Germany,Schalke 04,,"
"Lars Stindl,,""$ 30,802"",""$ 1,601,723"",,""$ 1,601,723"",""$ 1,673,437"",Active,F,34,Germany,Monchengladbach,,"
"Danny Latza,,""$ 30,386"",""$ 1,580,078"",,""$ 1,580,078"",""$ 1,650,823"",Active,M,33,Germany,Schalke 04,,"
"Leonardo Bittencourt,,""$ 29,137"",""$ 1,515,143"",,""$ 1,515,143"",""$ 1,582,981"",Active,F,29,Germany,Werder Bremen,,"
"Lukas Hradecky,,""$ 28,721"",""$ 1,493,498"",,""$ 1,493,498"",""$ 1,560,367"",Active,K,33,Finland,Bayer Leverkusen,,"
"Lucas Tousart,,""$ 28,721"",""$ 1,493,498"",,""$ 1,493,498"",""$ 1,560,367"",Active,M,25,France,Hertha Berlin,,"
"Santos Borré,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,F,27,Colombia,Eintracht Frankfurt,,"
