"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Diadié Samassékou,,""$ 45,028"",""$ 2,341,458"",,""$ 2,341,458"",""$ 2,341,458"",Active,M,29,Mali,Hoffenheim,,"
"Piero Hincapié,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,23,Ecuador,Bayer Leverkusen,,"
"Hiroki Ito,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,25,Japan,Bayern Munich,,"
"Aster Vranckx,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,M,22,Belgium,Wolfsburg,,"
"Sacha Boey,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,24,France,Bayern Munich,,"
"Salih Özcan,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,M,27,Turkey,Borussia Dortmund,,"
"Maximilian Beier,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,22,Germany,Borussia Dortmund,,"
"Joakim Maehle,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,27,Denmark,Wolfsburg,,"
"Robin Hack,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,26,Germany,Monchengladbach,,"
"Ridle Baku,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,26,Germany,Leipzig,,"
"Andreas Skov Olsen,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,25,Denmark,Wolfsburg,,"
"Maximilian Philipp,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,30,Germany,Freiburg,,"
"Robert Andrich,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,M,30,Germany,Bayer Leverkusen,,"
"Nico Elvedi,,""$ 41,330"",""$ 2,149,164"",,""$ 2,149,164"",""$ 2,149,164"",Active,D,28,Switzerland,Monchengladbach,,"
"Yannick Gerhardt,,""$ 41,330"",""$ 2,149,164"",,""$ 2,149,164"",""$ 2,149,164"",Active,M,30,Germany,Wolfsburg,,"
"André Silva,,""$ 40,460"",""$ 2,103,919"",""$ 1,199,007"",""$ 3,302,926"",""$ 3,302,926"",Inactive,F,29,Portugal,Leipzig,,"
"Mergim Berisha,,""$ 40,460"",""$ 2,103,919"",,""$ 2,103,919"",""$ 2,103,919"",Loan,F,26,Germany,Augsburg,,"
"Oliver Baumann,,""$ 40,460"",""$ 2,103,919"",,""$ 2,103,919"",""$ 2,103,919"",Active,K,34,Germany,Hoffenheim,,"
"Mario Götze,,""$ 40,460"",""$ 2,103,919"",""$ 904,911"",""$ 3,008,830"",""$ 3,008,830"",Active,F,32,Germany,Eintracht Frankfurt,,"
"Hugo Ekitiké,,""$ 40,460"",""$ 2,103,919"",""$ 904,911"",""$ 3,008,830"",""$ 3,008,830"",Active,F,22,France,Eintracht Frankfurt,,"
"Kevin Trapp,,""$ 40,460"",""$ 2,103,919"",,""$ 2,103,919"",""$ 2,103,919"",Active,K,34,Germany,Eintracht Frankfurt,,"
"Julian Weigl,,""$ 39,155"",""$ 2,036,050"",""$ 361,964"",""$ 2,398,015"",""$ 2,398,015"",Active,M,29,Germany,Monchengladbach,,"
"Tim Kleindienst,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,29,Germany,Monchengladbach,,"
"Amine Adli,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,24,Morocco,Bayer Leverkusen,,"
"Nicolas Seiwald,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,23,Austria,Leipzig,,"
"Jan-Niklas Beste,,""$ 39,155"",""$ 2,036,050"",""$ 509,013"",""$ 2,545,063"",""$ 2,545,063"",Active,F,26,Germany,Freiburg,,"
"Elye Wahi,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,22,France,Eintracht Frankfurt,,"
"Nathan Tella,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,25,Nigeria,Bayer Leverkusen,,"
"Mario Hermoso,,""$ 38,067"",""$ 1,979,493"",,""$ 1,979,493"",""$ 1,979,493"",Loan,D,29,Spain,Bayer Leverkusen,,"
"Jens Stage,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,M,28,Denmark,Werder Bremen,,"
"Mahmoud Dahoud,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,M,29,Syria,Eintracht Frankfurt,,"
