"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Tidiam Gomis,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,18,France,Leipzig,,"
"Lukas Ullrich,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,20,Germany,Monchengladbach,,"
"Julián Malatini,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,23,Argentina,Werder Bremen,,"
"Derrick Köhn,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,D,26,Germany,Werder Bremen,,"
"Karol Mets,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,31,Estonia,St Pauli,,"
"Omar Traoré,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,27,Germany,Heidenheim,,"
"Thomas Keller,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,25,Germany,Heidenheim,,"
"Luca Philipp,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,24,Germany,Hoffenheim,,"
"Gabriel Vidovic,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,21,Croatia,Bayern Munich,,"
"Jannik Huth,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,30,Germany,Freiburg,,"
"Kauã Santos,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,21,Brazil,Eintracht Frankfurt,,"
"Fredrik Jensen,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,27,Finland,Augsburg,,"
"Marvin Schulz,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Active,M,30,Germany,Holstein Kiel,,"
"Florent Muslija,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Active,F,26,Kosovo,Freiburg,,"
"Thomas Dähne,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Active,K,31,Germany,Holstein Kiel,,"
"Jakov Medic,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Loan,D,26,Croatia,Bochum,,"
"Lucas Höler,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Active,F,30,Germany,Freiburg,,"
"Benedict Hollerbach,,""$ 5,873"",""$ 305,408"",,""$ 305,408"",""$ 305,408"",Active,F,23,Germany,Union Berlin,,"
"Erik Ahlstrand,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,23,Sweden,St Pauli,,"
"Manuel Gulde,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,33,Germany,Freiburg,,"
"Alexander Bernhardsson,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,26,Sweden,Holstein Kiel,,"
"Keke Topp,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,20,Germany,Werder Bremen,,"
"Patrick Erras,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,30,Germany,Holstein Kiel,,"
"Bartosz Bialek,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,23,Poland,Wolfsburg,,"
"Cole Campbell,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,18,United States,Borussia Dortmund,,"
"Leonidas Stergiou,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,22,Switzerland,Stuttgart,,"
"Tobias Sippel,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,36,Germany,Monchengladbach,,"
"Nick Woltemade,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,22,Germany,Stuttgart,,"
"Andreas Albers,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,34,Denmark,St Pauli,,"
"Bence Dárdai,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,19,Germany,Wolfsburg,,"
"Justin Diehl,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,20,Germany,Stuttgart,,"
"Mohamed Amoura,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Loan,F,24,Algeria,Wolfsburg,,"
"Dennis Seimen,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,K,19,Germany,Stuttgart,,"
"Andrej Ilic,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Loan,F,24,Serbia,Union Berlin,,"
"Shuto Machino,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,F,25,Japan,Holstein Kiel,,"
"Sascha Burchert,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,K,35,Germany,St Pauli,,"
"Lewis Holtby,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,M,34,Germany,Holstein Kiel,,"
"Norman Theuerkauf,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,M,38,Germany,Heidenheim,,"
"Julian Niehues,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,M,23,Germany,Heidenheim,,"
"Daniel Batz,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,34,Germany,Mainz,,"
"Lasse Rieß,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,23,Germany,Mainz,,"
"Adam Dzwigala,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,29,Poland,St Pauli,,"
"Lars Ritzka,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,26,Germany,St Pauli,,"
"David Zec,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,25,Slovenia,Holstein Kiel,,"
"Alejo Sarco,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,19,Argentina,Bayer Leverkusen,,"
"Stefan Schimmer,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,30,Germany,Heidenheim,,"
"Markus Kolke,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,34,Germany,Werder Bremen,,"
"Filippo Mané,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,19,Italy,Borussia Dortmund,,"
"Krisztián Lisztes,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,19,Hungary,Eintracht Frankfurt,,"
"Jens Grahl,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,36,Germany,Eintracht Frankfurt,,"
"Silas Ostrzinski,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,21,Germany,Borussia Dortmund,,"
"Patrick Drewes,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,32,Germany,Bochum,,"
"Nelson Weiper,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,F,19,Germany,Mainz,,"
"Finn Ole Becker,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,M,24,Germany,Hoffenheim,,"
"Laurin Ulrich,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,F,20,Germany,Stuttgart,,"
"Yvandro Borges Sanches,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,F,20,Luxembourg,Monchengladbach,,"
"Colin Kleine-Bekel,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,D,22,Germany,Holstein Kiel,,"
"Stefan Drljaca,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,K,25,Germany,Stuttgart,,"
"Ivan Prtajin,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,28,Croatia,Union Berlin,,"
"Ivan Nekic,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,24,Croatia,Holstein Kiel,,"
"Bruno Ogbus,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,D,19,Switzerland,Freiburg,,"
"Oscar Højlund,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,M,20,Denmark,Eintracht Frankfurt,,"
"Timon Weiner,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,K,26,Germany,Holstein Kiel,,"
"Kiliann Sildillia,,""$ 3,698"",""$ 192,294"",,""$ 192,294"",""$ 192,294"",Active,D,22,France,Freiburg,,"
"Wahid Faghir,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,F,21,Denmark,Stuttgart,,"
"Arthur Chaves,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,D,24,Brazil,Hoffenheim,,"
"Luca Kerber,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,M,22,Germany,Heidenheim,,"
"Jakob Busk,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Loan,K,31,Denmark,Hoffenheim,,"
"Elias Saad,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,F,25,Tunisia,St Pauli,,"
"Niklas Klinger,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,K,29,Germany,Wolfsburg,,"
"Carl Johansson,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,D,30,Sweden,Holstein Kiel,,"
"Erencan Yardımcı,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,F,23,Turkey,Hoffenheim,,"
"Carl Klaus,,""$ 3,480"",""$ 180,982"",,""$ 180,982"",""$ 180,982"",Active,K,31,Germany,Union Berlin,,"
"Leo Scienza,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,26,Brazil,Heidenheim,,"
"Yusuf Kabadayi,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,21,Germany,Augsburg,,"
"Ben Voll,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,24,Germany,St Pauli,,"
"Nikolas Veratschnig,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,22,Austria,Mainz,,"
"Henri Koudossou,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,D,25,Germany,Augsburg,,"
"Igor Matanovic,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,21,Croatia,Eintracht Frankfurt,,"
"Mio Backhaus,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,K,20,Germany,Werder Bremen,,"
"Samuel Bamba,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,20,Germany,Bochum,,"
"Max Moerstedt,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,F,19,Germany,Hoffenheim,,"
"Kjell Wätjen,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,18,Germany,Borussia Dortmund,,"
"Mats Pannewig,,""$ 3,263"",""$ 169,671"",,""$ 169,671"",""$ 169,671"",Active,M,20,Germany,Bochum,,"
"Tim Oermann,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,D,21,Germany,Bochum,,"
"Marko Ivezic,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,D,23,Serbia,Holstein Kiel,,"
"Vitus Eicher,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,K,34,Germany,Heidenheim,,"
"Fin Stevens,,""$ 3,045"",""$ 158,359"",,""$ 158,359"",""$ 158,359"",Active,D,21,Wales,St Pauli,,"
"Robert Gumny,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,D,26,Poland,Augsburg,,"
"Lasse Rosenboom,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,D,23,Germany,Holstein Kiel,,"
"Nicolai Remberg,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,M,24,Germany,Holstein Kiel,,"
"Marcel Lotka,,""$ 2,828"",""$ 147,048"",,""$ 147,048"",""$ 147,048"",Active,K,23,Germany,Borussia Dortmund,,"
"Paul Tschernuth,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,K,23,Austria,Heidenheim,,"
"Maxim Dal,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,D,19,Germany,Mainz,,"
"Maximilian Breunig,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,F,24,Germany,Heidenheim,,"
"Dominik Javorcek,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,D,22,Slovakia,Holstein Kiel,,"
"Luka Janes,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,M,21,Germany,Heidenheim,,"
"Jordy Makengo,,""$ 2,610"",""$ 135,737"",,""$ 135,737"",""$ 135,737"",Active,D,23,France,Freiburg,,"
"Phil Harres,,""$ 2,393"",""$ 124,425"",,""$ 124,425"",""$ 124,425"",Active,F,22,Germany,Holstein Kiel,,"
"Max Geschwill,,""$ 2,393"",""$ 124,425"",,""$ 124,425"",""$ 124,425"",Active,D,23,Germany,Holstein Kiel,,"
"David Preu,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,20,Germany,Union Berlin,,"
"Finn Porath,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,27,Germany,Holstein Kiel,,"
"Viggo Gebel,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,17,Germany,Leipzig,,"
"Mathys Angély,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,17,France,Wolfsburg,,"
"Niklas Jahn,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,M,20,Germany,Bochum,,"
"Jarzinho Malanga,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,18,Germany,Stuttgart,,"
"Mohamed Sankoh,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,F,21,Netherlands,Stuttgart,,"
"Eric Oelschlägel,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,29,Germany,St Pauli,,"
"Philipp Treu,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,D,24,Germany,St Pauli,,"
"Daniel Klein,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,23,Germany,Augsburg,,"
"Paul Grave,,""$ 2,175"",""$ 113,114"",,""$ 113,114"",""$ 113,114"",Active,K,23,Germany,Bochum,,"
"Lúkas Petersson,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,K,20,Iceland,Hoffenheim,,"
"Niklas Swider,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Active,M,18,Germany,Monchengladbach,,"
"Noah Weißhaupt,,""$ 1,958"",""$ 101,803"",,""$ 101,803"",""$ 101,803"",Loan,F,23,Germany,St Pauli,,"
"Florian Micheler,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,M,19,Austria,Hoffenheim,,"
"Frank Feller,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,21,Germany,Heidenheim,,"
"Tarek Buchmann,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,D,19,Germany,Bayern Munich,,"
"Marcel Engelhardt,,""$ 1,740"",""$ 90,491"",,""$ 90,491"",""$ 90,491"",Active,K,31,Germany,Holstein Kiel,,"
"Shio Fukuda,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,20,Japan,Monchengladbach,,"
"Tom Bischof,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,19,Germany,Hoffenheim,,"
"David Mokwa,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,20,France,Hoffenheim,,"
"Muhammad Dahaba,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,D,19,Germany,St Pauli,,"
"Robert Wagner,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Loan,M,21,Germany,St Pauli,,"
"Marwin Schmitz,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,18,Germany,St Pauli,,"
"Abdoulie Ceesay,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,21,The Gambia,St Pauli,,"
"Luca Novodomsky,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,K,19,Germany,Bayer Leverkusen,,"
"Romeo Aigbekaen,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,20,Germany,St Pauli,,"
"Matija Marsenic,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,20,Montenegro,Bayer Leverkusen,,"
"Scott Banks,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,23,Scotland,St Pauli,,"
"Carlo Boukhalfa,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,M,25,Germany,St Pauli,,"
"Sören Ahlers,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,K,27,Germany,St Pauli,,"
"Andu Kelati,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,22,Germany,Holstein Kiel,,"
"Leon Opitz,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,19,Germany,Werder Bremen,,"
"Christopher Negele,,""$ 1,523"",""$ 79,180"",,""$ 79,180"",""$ 79,180"",Active,F,19,Germany,Heidenheim,,"
"Marco Komenda,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,D,28,Germany,Holstein Kiel,,"
"Mohammed Tolba,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,D,20,Germany,Bochum,,"
"Luca Raimund,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,19,Germany,Stuttgart,,"
"Bennit Bröger,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,18,Germany,Wolfsburg,,"
"David Odogu,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,D,18,Germany,Wolfsburg,,"
"Mahmut Kücüksahin,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,M,20,Turkey,Augsburg,,"
"Lennart Koerdt,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,20,Germany,Bochum,,"
"Anrie Chase,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,D,20,Japan,Stuttgart,,"
"Moritz Broschinski,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,24,Germany,Bochum,,"
"Mert Kömür,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,F,19,Germany,Augsburg,,"
"Aurel Wagbe,,""$ 1,305"",""$ 67,868"",,""$ 67,868"",""$ 67,868"",Active,M,21,Germany,Holstein Kiel,,"
"Tyler Doğan,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Active,K,19,Turkey,Holstein Kiel,,"
"Noahkai Banks,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Active,D,18,United States,Augsburg,,"
"Oluwaseun Ogbemudia,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Active,D,18,Germany,Union Berlin,,"
"Abdenego Nankishi,,""$ 1,088"",""$ 56,557"",,""$ 56,557"",""$ 56,557"",Active,F,22,Germany,Werder Bremen,,"
Naby Keïta,,,,,,,Inactive,M,29,Guinea,Werder Bremen,,
Silas Katompa Mvumpa,,,,,,,Inactive,F,25,Democratic Republic of the Congo,Stuttgart,,
