Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
507,Jesús Navas,es ESP,"MF,FW",Sevilla,38,1985,15,424,28,12.4,4.7,3,66,0,12,19,3,1.47,5,6,-1,-0.21,+0.15,Matches
508,Yvan Neyou,cm CMR,MF,Leganés,27,1997,30,2312,77,67.6,25.7,27,83,15,3,26,1,0.90,24,36,-12,-0.47,-0.06,Matches
509,Tanguy Nianzou,fr FRA,DF,Sevilla,22,2002,6,518,86,15.1,5.8,6,86,4,0,,4,1.83,7,5,+2,+0.35,+0.81,Matches
510,Saúl Ñíguez,es ESP,MF,Sevilla,29,1994,24,1553,65,45.4,17.3,17,80,8,7,27,2,1.00,14,20,-6,-0.35,-0.01,Matches
511,Tamás Nikitscher,hu HUN,"MF,DF",Valladolid,24,1999,13,858,66,25.1,9.5,9,86,8,4,20,4,0.08,3,25,-22,-2.31,-0.83,Matches
512,Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,1,12,12,0.4,0.1,0,,0,1,12,0,0.00,0,0,0,0.00,-1.00,Matches
513,Hugo Novoa,es ESP,"MF,DF",Alavés,21,2003,5,237,47,6.9,2.6,2,90,2,3,19,20,1.20,4,6,-2,-0.76,-0.53,Matches
514,Randy Nteka,ao ANG,FW,Rayo Vallecano,26,1997,24,1129,47,33.0,12.5,16,62,0,8,17,9,1.17,10,16,-6,-0.48,-0.56,Matches
515,Lucas Núñez,es ESP,MF,Valencia,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches
516,Unai Núñez,es ESP,DF,Athletic Club,27,1997,10,645,65,18.9,7.2,7,85,5,3,18,23,1.60,9,5,+4,+0.56,-0.12,Matches
517,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,2673,89,78.2,29.7,30,89,29,0,,4,1.13,32,39,-7,-0.24,+0.49,Matches
518,Allan Nyom,cm CMR,"MF,DF",Getafe,36,1988,20,887,44,25.9,9.9,10,75,5,10,13,2,0.95,8,12,-4,-0.41,-0.37,Matches
519,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,3240,90,94.7,36.0,36,90,36,0,,0,1.94,63,30,+33,+0.92,-1.58,Matches
520,Lucas Ocampos,ar ARG,"MF,FW",Sevilla,30,1994,2,175,88,5.1,1.9,2,88,1,0,,0,0.50,3,3,0,0.00,+0.36,Matches
521,Álvaro Odriozola,es ESP,DF,Real Sociedad,28,1995,2,43,22,1.3,0.5,0,,0,2,22,17,0.00,0,0,0,0.00,+0.29,Matches
522,Sixtus Ogbuehi,ng NGA,FW,Osasuna,21,2003,0,,,,,0,,0,0,,3,,,,,,,Matches
523,Thiago Ojeda,ar ARG,MF,Villarreal,21,2003,1,8,8,0.2,0.1,0,,0,1,8,3,1.00,0,0,0,0.00,-0.53,Matches
524,Aingeru Olabarrieta,es ESP,MF,Athletic Club,18,2005,1,54,54,1.6,0.6,1,54,0,0,,2,3.00,0,0,0,0.00,-0.67,Matches
525,Olasagasti,es ESP,MF,Real Sociedad,23,2000,22,857,39,25.1,9.5,7,66,0,15,26,16,1.41,12,8,+4,+0.42,+0.95,Matches
526,Brian Oliván,es ESP,DF,Espanyol,30,1994,17,1017,60,29.7,11.3,12,75,7,5,23,8,1.00,12,16,-4,-0.35,-0.09,Matches
527,Lucas Oliveira Rosa,br BRA,DF,Valladolid,24,2000,21,1890,90,55.3,21.0,21,90,21,0,,0,0.57,12,45,-33,-1.57,+0.25,Matches
528,Alexis Olmedo,es ESP,DF,Barcelona,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches
529,Dani Olmo,es ESP,MF,Barcelona,26,1998,25,1212,48,35.4,13.5,13,66,0,12,30,2,2.28,40,10,+30,+2.23,+0.88,Matches
530,Aimar Oroz,es ESP,MF,Osasuna,22,2001,37,2966,80,86.7,33.0,35,83,16,2,29,0,1.41,47,41,+6,+0.18,+2.16,Matches
531,Ángel Ortíz,es ESP,DF,Real Betis,20,2004,5,353,71,10.3,3.9,4,86,3,1,9,2,1.40,8,6,+2,+0.51,+0.36,Matches
532,Eneko Ortiz,es ESP,MF,Alavés,21,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
533,Pedro Ortiz,es ESP,MF,Sevilla,23,2000,0,,,,,0,,0,0,,15,,,,,,,Matches
534,Asier Osambela,es ESP,MF,Osasuna,20,2004,0,,,,,0,,0,0,,4,,,,,,,Matches
535,Gabriel Osei Misehouy,nl NED,FW,Girona,19,2005,9,257,29,7.5,2.9,1,90,1,8,21,19,0.56,2,3,-1,-0.35,+0.08,Matches
536,David Otorbi,es ESP,FW,Valencia,16,2007,1,14,14,0.4,0.2,0,,0,1,14,1,0.00,0,0,0,0.00,+0.26,Matches
537,Jesús Owono,gq EQG,GK,Alavés,23,2001,6,487,81,14.2,5.4,5,90,5,1,37,26,0.83,5,7,-2,-0.37,-0.12,Matches
538,Mikel Oyarzabal,es ESP,FW,Real Sociedad,27,1997,35,2250,64,65.8,25.0,28,74,8,7,26,2,1.29,24,26,-2,-0.08,+0.61,Matches
539,Cenk Özkacar,tr TUR,DF,Valencia,23,2000,0,,,,,0,,0,0,,2,,,,,,,Matches
540,Cenk Özkacar,tr TUR,DF,Valladolid,23,2000,11,757,69,22.1,8.4,8,80,7,3,38,17,0.09,4,16,-12,-1.43,+0.33,Matches
541,Fernando Pacheco,es ESP,GK,Espanyol,32,1992,0,,,,,0,,0,0,,30,,,,,,,Matches
542,Jon Pacheco,es ESP,DF,Real Sociedad,23,2001,14,854,61,25.0,9.5,9,80,7,5,27,15,0.86,4,13,-9,-0.95,-0.88,Matches
543,Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,321,64,9.4,3.6,3,90,3,2,26,8,1.00,4,6,-2,-0.56,-1.34,Matches
544,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,29,1994,35,2162,62,63.2,24.0,25,78,10,10,21,0,1.43,26,27,-1,-0.04,+0.17,Matches
545,Joaquín Panichelli,ar ARG,FW,Alavés,21,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
546,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,23,1812,79,53.0,20.1,21,85,16,2,15,11,1.57,32,20,+12,+0.60,-0.13,Matches
547,Daniel Parejo,es ESP,MF,Villarreal,35,1989,36,2273,63,66.5,25.3,26,78,11,10,26,0,1.89,54,36,+18,+0.71,+0.56,Matches
548,Iago Parente,es ESP,DF,Valladolid,18,2006,1,71,71,2.1,0.8,1,71,0,0,,4,0.00,0,0,0,0.00,+1.72,Matches
549,Álvaro Pascual,es ESP,FW,Sevilla,22,2002,8,408,51,11.9,4.5,4,67,0,4,35,2,0.88,7,7,0,0.00,+0.39,Matches
